Symbol,Date,Close,High,Low,Open,Volume,Name
PGR,1998-05-29,11.4895,11.573,11.3595,11.5325,2278800,PGR
PGR,1998-06-01,11.8177,11.8332,11.5,11.5625,1628400,PGR
PGR,1998-06-02,11.8332,11.9792,11.7188,11.8225,1144800,PGR
PGR,1998-06-03,11.5312,11.9323,11.5312,11.855,1479600,PGR
PGR,1998-06-04,11.6668,11.6668,11.401,11.51,985200,PGR
PGR,1998-06-05,11.7812,11.7812,11.5418,11.645,1251600,PGR
PGR,1998-06-08,11.8438,11.8595,11.7657,11.8025,655200,PGR
PGR,1998-06-09,12.0312,12.125,11.7188,11.72,1969200,PGR
PGR,1998-06-10,12.052,12.2605,12.0,12.0375,956400,PGR
PGR,1998-06-11,11.7865,12.1198,11.776,12.0625,1262400,PGR
PGR,1998-06-12,11.8907,11.9323,11.7082,11.8325,2642400,PGR
PGR,1998-06-15,11.7032,11.875,11.6668,11.8325,957600,PGR
PGR,1998-06-16,11.8125,11.8125,11.625,11.75,1722000,PGR
PGR,1998-06-17,12.0365,12.0625,11.8332,11.8332,1470000,PGR
PGR,1998-06-18,12.0312,12.1145,12.0208,12.0825,856800,PGR
PGR,1998-06-19,12.073,12.1145,12.026,12.1145,1101600,PGR
PGR,1998-06-22,12.125,12.1615,12.0418,12.0525,1246800,PGR
PGR,1998-06-23,12.1927,12.198,12.1407,12.1675,397200,PGR
PGR,1998-06-24,12.4895,12.5,12.1095,12.11,1125600,PGR
PGR,1998-06-25,12.3698,12.5,12.3332,12.4075,729600,PGR
PGR,1998-06-26,12.323,12.4115,12.1668,12.39,1168800,PGR
PGR,1998-06-29,12.3332,12.4635,12.302,12.345,1353600,PGR
PGR,1998-06-30,11.75,12.3438,11.75,12.3325,3296400,PGR
PGR,1998-07-01,12.8125,12.849,12.1042,12.105,6985200,PGR
PGR,1998-07-02,12.8645,12.9115,12.7082,12.8125,1522800,PGR
PGR,1998-07-03,12.8645,12.9115,12.7082,12.8125,0,PGR
PGR,1998-07-06,12.8125,13.0625,12.7188,12.845,1722000,PGR
PGR,1998-07-07,12.7135,12.8125,12.672,12.8125,1498800,PGR
PGR,1998-07-08,12.7395,12.8855,12.6875,12.735,1654800,PGR
