Symbol,Date,Close,High,Low,Open,Volume,Name
PHM,1998-05-29,6.665,6.743,6.594,6.594,656000,PHM
PHM,1998-06-01,6.672,6.805,6.625,6.64,455200,PHM
PHM,1998-06-02,6.5,6.672,6.454,6.67,508399,PHM
PHM,1998-06-03,6.625,6.907,6.469,6.5,542000,PHM
PHM,1998-06-04,6.547,6.563,6.344,6.56,778800,PHM
PHM,1998-06-05,6.719,6.75,6.532,6.55,247200,PHM
PHM,1998-06-08,6.704,6.938,6.704,6.72,283200,PHM
PHM,1998-06-09,6.75,6.782,6.5,6.5,704000,PHM
PHM,1998-06-10,6.766,6.891,6.719,6.78,370800,PHM
PHM,1998-06-11,6.547,6.766,6.516,6.76,286400,PHM
PHM,1998-06-12,6.516,6.532,6.438,6.51,426000,PHM
PHM,1998-06-15,6.407,6.563,6.36,6.49,854000,PHM
PHM,1998-06-16,6.563,6.625,6.375,6.41,769600,PHM
PHM,1998-06-17,6.407,6.563,6.375,6.55,811600,PHM
PHM,1998-06-18,6.329,6.422,6.329,6.42,800000,PHM
PHM,1998-06-19,6.657,6.719,6.297,6.3,804800,PHM
PHM,1998-06-22,7.125,7.125,6.657,6.66,1307600,PHM
PHM,1998-06-23,7.485,7.516,7.25,7.44,2218800,PHM
PHM,1998-06-24,7.594,7.625,7.438,7.49,916800,PHM
PHM,1998-06-25,7.719,7.719,7.422,7.422,504800,PHM
PHM,1998-06-26,7.625,7.75,7.625,7.72,474400,PHM
PHM,1998-06-29,7.594,7.766,7.485,7.7,510000,PHM
PHM,1998-06-30,7.469,7.547,7.422,7.547,1733200,PHM
PHM,1998-07-01,7.625,7.657,7.469,7.47,1025199,PHM
PHM,1998-07-02,7.641,7.641,7.579,7.63,518000,PHM
PHM,1998-07-03,7.641,7.641,7.579,7.63,0,PHM
PHM,1998-07-06,7.782,7.797,7.641,7.641,1173200,PHM
PHM,1998-07-07,7.844,7.875,7.829,7.875,1056800,PHM
PHM,1998-07-08,7.969,7.969,7.844,7.86,1213600,PHM
PHM,1998-07-09,7.875,7.969,7.86,7.969,1362000,PHM
PHM,1998-07-10,8.11,8.125,7.938,7.94,1537200,PHM
PHM,1998-07-13,8.266,8.266,8.079,8.13,1117600,PHM
PHM,1998-07-14,8.219,8.532,8.157,8.3,1250800,PHM
PHM,1998-07-15,8.094,8.219,8.079,8.17,667200,PHM
PHM,1998-07-16,8.141,8.141,8.11,8.13,778400,PHM
PHM,1998-07-17,8.047,8.141,7.985,8.14,738800,PHM
PHM,1998-07-20,8.125,8.219,8.0,8.0,1050400,PHM
PHM,1998-07-21,8.125,8.188,8.047,8.17,1198800,PHM
PHM,1998-07-22,7.954,8.079,7.922,8.06,546000,PHM
PHM,1998-07-23,7.766,7.969,7.75,7.95,1050400,PHM
PHM,1998-07-24,7.454,7.735,7.438,7.7,1251600,PHM
PHM,1998-07-27,7.172,7.469,6.969,7.469,1884800,PHM
PHM,1998-07-28,7.125,7.157,7.032,7.157,1262400,PHM
PHM,1998-07-29,7.204,7.219,7.094,7.2,1111600,PHM
PHM,1998-07-30,7.313,7.438,7.204,7.204,798000,PHM
PHM,1998-07-31,7.079,7.344,7.063,7.34,537200,PHM
PHM,1998-08-03,7.422,7.532,6.985,7.09,893200,PHM
PHM,1998-08-04,7.297,7.5,7.25,7.47,1109200,PHM
PHM,1998-08-05,7.438,7.516,7.329,7.36,1657600,PHM
PHM,1998-08-06,7.829,7.86,7.407,7.41,986800,PHM
PHM,1998-08-07,8.172,8.375,7.813,7.86,1104800,PHM
PHM,1998-08-10,7.969,8.141,7.969,8.14,490400,PHM
PHM,1998-08-11,7.969,7.969,7.86,7.91,1061600,PHM
PHM,1998-08-12,8.266,8.329,7.969,7.97,1009600,PHM
PHM,1998-08-13,8.188,8.297,8.172,8.28,1406400,PHM
PHM,1998-08-14,8.188,8.25,8.141,8.19,1103200,PHM
PHM,1998-08-17,8.016,8.219,7.985,8.219,690800,PHM
PHM,1998-08-18,8.391,8.391,8.0,8.03,1426800,PHM
PHM,1998-08-19,8.375,8.485,8.344,8.44,564800,PHM
PHM,1998-08-20,8.641,8.719,8.375,8.38,1046400,PHM
PHM,1998-08-21,8.532,8.594,8.313,8.594,470800,PHM
PHM,1998-08-24,8.782,8.829,8.5,8.5,1056400,PHM
PHM,1998-08-25,8.86,9.047,8.844,8.85,935200,PHM
PHM,1998-08-26,8.719,8.938,8.719,8.86,1304800,PHM
