Symbol,Date,Close,High,Low,Open,Volume,Name
PNW,1998-05-29,44.938,45.0,43.813,43.813,255699,PNW
PNW,1998-06-01,45.625,46.0,44.875,44.88,225900,PNW
PNW,1998-06-02,45.625,45.813,44.875,45.81,185700,PNW
PNW,1998-06-03,45.813,46.063,45.313,45.69,270900,PNW
PNW,1998-06-04,45.063,46.0,45.0,45.94,351800,PNW
PNW,1998-06-05,45.625,45.625,45.0,45.06,119600,PNW
PNW,1998-06-08,45.313,45.625,45.125,45.44,89100,PNW
PNW,1998-06-09,45.625,45.813,45.25,45.25,98300,PNW
PNW,1998-06-10,45.938,46.0,45.438,45.44,194000,PNW
PNW,1998-06-11,45.75,46.188,45.375,46.188,395700,PNW
PNW,1998-06-12,46.125,46.188,45.625,45.94,129000,PNW
PNW,1998-06-15,45.688,46.125,45.5,45.88,224400,PNW
PNW,1998-06-16,45.75,46.188,45.438,45.88,286300,PNW
PNW,1998-06-17,45.125,46.0,44.75,45.94,281100,PNW
PNW,1998-06-18,44.938,45.438,44.813,45.38,211700,PNW
PNW,1998-06-19,45.188,45.188,44.688,45.06,172500,PNW
PNW,1998-06-22,45.0,45.563,45.0,45.0,119700,PNW
PNW,1998-06-23,45.563,45.75,44.875,44.88,207500,PNW
PNW,1998-06-24,45.5,45.625,45.25,45.56,290200,PNW
PNW,1998-06-25,44.563,45.375,44.563,45.375,154100,PNW
PNW,1998-06-26,44.813,44.938,44.313,44.313,135400,PNW
PNW,1998-06-29,45.375,45.438,44.625,44.63,152100,PNW
PNW,1998-06-30,45.0,45.375,44.813,45.375,192700,PNW
PNW,1998-07-01,45.375,45.563,44.938,45.19,383100,PNW
PNW,1998-07-02,45.25,45.438,45.125,45.13,68500,PNW
PNW,1998-07-03,45.25,45.438,45.125,45.13,0,PNW
PNW,1998-07-06,45.188,45.25,45.0,45.19,190900,PNW
PNW,1998-07-07,45.0,45.25,44.938,45.13,59100,PNW
PNW,1998-07-08,45.0,45.125,44.875,45.125,93300,PNW
PNW,1998-07-09,44.375,45.375,44.375,44.75,159800,PNW
PNW,1998-07-10,44.438,44.875,44.375,44.5,115500,PNW
PNW,1998-07-13,43.813,44.313,43.688,44.25,358800,PNW
PNW,1998-07-14,44.0,44.25,43.813,43.813,318100,PNW
PNW,1998-07-15,44.0,44.125,43.5,43.94,204100,PNW
PNW,1998-07-16,44.438,44.438,44.0,44.0,80200,PNW
PNW,1998-07-17,44.063,44.5,44.0,44.31,129399,PNW
PNW,1998-07-20,44.438,44.5,44.063,44.063,205800,PNW
PNW,1998-07-21,44.25,44.5,44.063,44.44,114300,PNW
PNW,1998-07-22,43.938,44.25,43.813,44.25,169400,PNW
PNW,1998-07-23,43.438,43.688,43.125,43.688,123800,PNW
PNW,1998-07-24,43.0,43.75,42.813,43.63,169200,PNW
PNW,1998-07-27,43.25,43.438,42.688,43.25,256699,PNW
PNW,1998-07-28,42.5,43.25,42.313,43.25,278300,PNW
PNW,1998-07-29,42.563,42.75,42.5,42.75,406500,PNW
PNW,1998-07-30,42.75,42.938,42.25,42.25,495100,PNW
PNW,1998-07-31,42.75,42.938,42.313,42.75,244600,PNW
PNW,1998-08-03,42.563,42.875,42.563,42.69,165400,PNW
PNW,1998-08-04,41.375,42.5,41.375,42.38,325200,PNW
PNW,1998-08-05,41.188,41.813,40.75,41.38,258500,PNW
PNW,1998-08-06,41.813,41.938,41.0,41.06,133200,PNW
PNW,1998-08-07,42.438,42.5,41.813,41.813,148900,PNW
PNW,1998-08-10,41.875,42.188,41.75,42.188,175900,PNW
PNW,1998-08-11,41.75,41.75,40.063,41.63,191500,PNW
PNW,1998-08-12,42.563,43.125,41.625,41.63,374900,PNW
PNW,1998-08-13,41.438,42.75,40.813,42.56,596200,PNW
PNW,1998-08-14,41.188,41.688,41.0,41.44,275500,PNW
PNW,1998-08-17,41.438,42.063,40.875,41.0,207200,PNW
PNW,1998-08-18,41.375,41.75,41.063,41.063,322100,PNW
PNW,1998-08-19,40.875,41.313,40.688,41.31,717200,PNW
PNW,1998-08-20,40.625,41.063,40.5,40.5,376000,PNW
PNW,1998-08-21,41.375,41.438,40.313,40.63,197500,PNW
PNW,1998-08-24,41.875,42.375,41.25,41.25,229800,PNW
PNW,1998-08-25,42.25,42.625,41.875,41.88,690500,PNW
PNW,1998-08-26,42.063,42.875,41.75,42.13,580500,PNW
PNW,1998-08-27,41.625,42.063,41.438,41.88,395900,PNW
PNW,1998-08-28,42.313,42.5,41.375,41.63,515399,PNW
PNW,1998-08-31,43.188,43.75,42.375,42.38,433400,PNW
PNW,1998-09-01,42.313,43.25,42.0,43.13,758000,PNW
PNW,1998-09-02,41.313,42.563,41.313,42.56,685000,PNW
PNW,1998-09-03,41.0,41.313,40.688,40.81,346900,PNW
PNW,1998-09-04,41.5,41.563,40.813,41.25,215700,PNW
PNW,1998-09-07,41.5,41.563,40.813,41.25,0,PNW
PNW,1998-09-08,41.625,41.875,40.813,41.5,179300,PNW
PNW,1998-09-09,41.25,41.75,40.813,41.75,312100,PNW
PNW,1998-09-10,41.75,42.438,41.313,41.5,502900,PNW
PNW,1998-09-11,42.25,42.375,41.75,42.0,176500,PNW
PNW,1998-09-14,42.438,42.625,42.125,42.13,192300,PNW
PNW,1998-09-15,42.938,42.938,42.063,42.19,153100,PNW
PNW,1998-09-16,43.5,43.5,42.625,42.69,172900,PNW
PNW,1998-09-17,43.875,43.875,42.875,43.25,144900,PNW
PNW,1998-09-18,43.5,44.0,43.25,43.75,249700,PNW
PNW,1998-09-21,43.188,43.375,42.813,43.25,143900,PNW
PNW,1998-09-22,43.5,44.0,43.063,43.063,165900,PNW
PNW,1998-09-23,43.563,43.938,43.5,43.5,375400,PNW
PNW,1998-09-24,43.0,43.5,42.875,43.5,360900,PNW
PNW,1998-09-25,43.438,43.875,42.625,42.88,331400,PNW
PNW,1998-09-28,43.063,43.438,42.875,43.38,439400,PNW
PNW,1998-09-29,44.25,44.25,43.0,43.0,247000,PNW
PNW,1998-09-30,44.813,44.813,43.5,43.75,395000,PNW
PNW,1998-10-01,45.125,45.188,44.438,44.63,153300,PNW
PNW,1998-10-02,46.0,46.625,45.25,45.25,434000,PNW
PNW,1998-10-05,46.938,47.063,45.75,46.13,365900,PNW
PNW,1998-10-06,46.438,47.25,45.625,46.94,487500,PNW
PNW,1998-10-07,48.219,48.938,47.313,47.5,1096500,PNW
PNW,1998-10-08,48.875,49.25,47.5,47.63,404200,PNW
PNW,1998-10-09,46.875,48.875,46.75,48.875,736500,PNW
PNW,1998-10-12,45.125,46.063,44.125,46.0,821800,PNW
PNW,1998-10-13,45.375,45.438,44.875,45.25,649500,PNW
PNW,1998-10-14,44.938,46.0,44.938,45.38,611700,PNW
PNW,1998-10-15,46.0,46.188,44.813,44.813,760400,PNW
PNW,1998-10-16,44.625,46.063,44.25,46.06,141700,PNW
PNW,1998-10-19,43.5,44.375,43.25,44.375,360900,PNW
PNW,1998-10-20,43.563,44.344,43.5,43.75,414200,PNW
PNW,1998-10-21,43.0,43.625,43.0,43.56,302400,PNW
PNW,1998-10-22,43.5,43.625,43.125,43.25,306900,PNW
PNW,1998-10-23,43.313,43.625,42.5,43.625,265300,PNW
PNW,1998-10-26,43.875,44.0,43.063,43.31,320000,PNW
PNW,1998-10-27,44.188,44.438,44.0,44.0,545300,PNW
PNW,1998-10-28,44.375,45.063,44.25,44.31,205900,PNW
PNW,1998-10-29,43.875,44.125,43.688,43.88,4914300,PNW
PNW,1998-10-30,43.813,44.063,43.563,43.94,179800,PNW
