Symbol,Date,Close,High,Low,Open,Volume,Name
PVH,1998-05-29,13.0,13.125,12.875,12.94,113200,PVH
PVH,1998-06-01,12.938,13.0,12.875,13.0,18300,PVH
PVH,1998-06-02,13.0,13.063,12.813,12.94,22700,PVH
PVH,1998-06-03,13.25,13.25,13.0,13.0,15600,PVH
PVH,1998-06-04,13.375,13.375,13.188,13.19,8200,PVH
PVH,1998-06-05,13.188,13.438,13.063,13.438,10800,PVH
PVH,1998-06-08,13.5,13.5,13.188,13.19,21100,PVH
PVH,1998-06-09,13.625,13.688,13.375,13.5,35200,PVH
PVH,1998-06-10,13.313,13.5,13.25,13.5,25700,PVH
PVH,1998-06-11,13.25,13.25,13.063,13.25,34600,PVH
PVH,1998-06-12,13.0,13.125,13.0,13.0,49400,PVH
PVH,1998-06-15,13.0,13.125,12.813,12.88,45200,PVH
PVH,1998-06-16,13.125,13.25,12.938,13.0,25900,PVH
PVH,1998-06-17,13.063,13.25,13.0,13.25,54000,PVH
PVH,1998-06-18,13.0,13.188,12.813,13.06,13800,PVH
PVH,1998-06-19,12.875,13.188,12.875,13.13,26000,PVH
PVH,1998-06-22,13.188,13.188,13.0,13.0,16900,PVH
PVH,1998-06-23,13.5,13.5,13.125,13.13,21500,PVH
PVH,1998-06-24,14.688,14.875,13.5,13.5,137700,PVH
PVH,1998-06-25,14.625,14.875,14.5,14.5,73500,PVH
PVH,1998-06-26,14.75,14.75,14.563,14.563,63000,PVH
PVH,1998-06-29,14.375,15.0,14.125,14.75,60800,PVH
PVH,1998-06-30,14.75,14.75,14.25,14.25,180500,PVH
PVH,1998-07-01,14.125,14.625,14.125,14.625,669000,PVH
PVH,1998-07-02,14.438,14.625,14.125,14.13,44500,PVH
PVH,1998-07-03,14.438,14.625,14.125,14.13,0,PVH
PVH,1998-07-06,14.25,14.313,14.125,14.31,26900,PVH
PVH,1998-07-07,14.063,14.125,13.938,14.06,26500,PVH
PVH,1998-07-08,13.938,14.125,13.938,13.94,17300,PVH
PVH,1998-07-09,14.188,14.25,14.0,14.06,10900,PVH
PVH,1998-07-10,14.125,14.375,14.063,14.063,41300,PVH
PVH,1998-07-13,14.188,14.188,14.063,14.188,45600,PVH
PVH,1998-07-14,14.188,14.313,14.063,14.063,36900,PVH
PVH,1998-07-15,14.438,14.5,14.188,14.31,29400,PVH
PVH,1998-07-16,14.5,14.5,14.313,14.44,264900,PVH
PVH,1998-07-17,14.563,15.0,14.5,14.5,186200,PVH
PVH,1998-07-20,15.0,15.125,14.438,14.44,110700,PVH
PVH,1998-07-21,14.75,15.0,14.625,14.88,50400,PVH
PVH,1998-07-22,14.25,14.688,14.25,14.688,147300,PVH
PVH,1998-07-23,13.5,14.313,13.5,14.31,43400,PVH
PVH,1998-07-24,12.938,13.5,12.938,13.5,133200,PVH
PVH,1998-07-27,12.875,13.0,12.563,12.94,113000,PVH
PVH,1998-07-28,12.938,13.063,12.875,12.94,32599,PVH
PVH,1998-07-29,13.375,13.438,13.0,13.0,103900,PVH
PVH,1998-07-30,14.25,14.25,13.438,13.44,197100,PVH
PVH,1998-07-31,13.75,14.313,13.75,14.25,96500,PVH
PVH,1998-08-03,13.375,13.75,13.375,13.75,16400,PVH
PVH,1998-08-04,12.938,13.375,12.875,13.375,34600,PVH
PVH,1998-08-05,12.938,13.188,12.75,13.06,56200,PVH
PVH,1998-08-06,12.75,12.938,12.625,12.938,63400,PVH
PVH,1998-08-07,12.688,12.813,12.688,12.75,32599,PVH
PVH,1998-08-10,12.563,12.813,12.563,12.81,39900,PVH
PVH,1998-08-11,12.0,12.438,11.875,12.438,117400,PVH
PVH,1998-08-12,12.25,12.25,12.125,12.13,18600,PVH
PVH,1998-08-13,12.313,12.375,12.188,12.25,21700,PVH
PVH,1998-08-14,12.375,12.438,12.25,12.38,61100,PVH
PVH,1998-08-17,12.438,12.563,12.25,12.5,225800,PVH
PVH,1998-08-18,13.063,13.5,12.375,12.38,50200,PVH
PVH,1998-08-19,12.5,13.0,12.438,13.0,256900,PVH
PVH,1998-08-20,12.25,12.563,12.25,12.5,110600,PVH
PVH,1998-08-21,11.875,12.375,11.75,12.375,28100,PVH
PVH,1998-08-24,12.0,12.125,11.938,12.0,74600,PVH
PVH,1998-08-25,12.0,12.25,11.813,12.0,280100,PVH
PVH,1998-08-26,11.813,12.25,11.813,12.13,50000,PVH
PVH,1998-08-27,11.0,11.688,10.875,11.688,36700,PVH
PVH,1998-08-28,10.9375,11.0,10.5625,11.0,21100,PVH
PVH,1998-08-31,9.438,10.938,9.438,10.938,42900,PVH
PVH,1998-09-01,9.0,9.688,8.938,9.63,72900,PVH
PVH,1998-09-02,9.813,9.938,9.0,9.0,42100,PVH
PVH,1998-09-03,9.813,10.125,9.625,9.69,33900,PVH
PVH,1998-09-04,9.75,9.875,9.688,9.75,24600,PVH
PVH,1998-09-07,9.75,9.875,9.688,9.75,0,PVH
PVH,1998-09-08,9.938,10.125,9.875,9.88,13900,PVH
PVH,1998-09-09,10.0,10.125,9.938,10.06,33700,PVH
PVH,1998-09-10,9.625,10.0,9.625,9.81,34400,PVH
PVH,1998-09-11,9.938,9.938,9.5,9.63,36300,PVH
PVH,1998-09-14,10.188,10.188,9.875,10.0,49500,PVH
PVH,1998-09-15,10.313,10.5,10.063,10.063,35200,PVH
PVH,1998-09-16,10.375,10.563,10.313,10.313,106300,PVH
PVH,1998-09-17,10.188,10.25,10.0,10.25,89400,PVH
PVH,1998-09-18,10.688,10.688,10.313,10.44,24100,PVH
PVH,1998-09-21,10.688,10.688,10.625,10.688,16700,PVH
PVH,1998-09-22,10.75,11.0,10.375,10.75,34500,PVH
PVH,1998-09-23,10.375,10.875,10.375,10.875,25900,PVH
PVH,1998-09-24,10.313,10.5,10.0,10.38,42900,PVH
PVH,1998-09-25,9.938,10.25,9.75,10.19,45300,PVH
PVH,1998-09-28,10.0,10.125,9.875,10.06,30200,PVH
PVH,1998-09-29,9.75,10.188,9.75,10.13,53700,PVH
PVH,1998-09-30,9.5,9.625,9.375,9.625,34700,PVH
PVH,1998-10-01,8.875,9.5,8.875,9.38,181600,PVH
PVH,1998-10-02,8.875,9.188,8.875,8.88,47800,PVH
PVH,1998-10-05,7.875,8.75,7.75,8.63,177400,PVH
PVH,1998-10-06,7.813,8.188,7.813,8.0,85000,PVH
PVH,1998-10-07,7.313,7.75,7.25,7.75,43900,PVH
PVH,1998-10-08,6.75,7.375,6.75,7.25,134300,PVH
PVH,1998-10-09,7.0,7.0,6.5,6.88,194000,PVH
PVH,1998-10-12,6.875,7.188,6.875,7.0,198100,PVH
PVH,1998-10-13,7.375,7.438,6.875,7.0,115000,PVH
PVH,1998-10-14,7.75,7.75,7.3125,7.3125,8300,PVH
PVH,1998-10-15,8.0,8.125,7.5,7.63,70900,PVH
PVH,1998-10-16,8.5,8.563,8.188,8.19,65400,PVH
PVH,1998-10-19,8.75,8.938,8.5,8.5,31800,PVH
PVH,1998-10-20,9.875,9.875,8.625,8.63,125099,PVH
PVH,1998-10-21,10.188,10.25,9.875,9.88,30900,PVH
PVH,1998-10-22,10.125,10.375,10.125,10.31,103100,PVH
PVH,1998-10-23,10.25,10.5,10.125,10.13,49900,PVH
PVH,1998-10-26,10.438,10.75,10.375,10.38,23400,PVH
PVH,1998-10-27,10.375,10.688,10.375,10.5,47400,PVH
PVH,1998-10-28,9.563,10.25,9.438,10.25,45300,PVH
PVH,1998-10-29,9.625,9.625,9.313,9.313,44400,PVH
PVH,1998-10-30,9.188,9.563,8.813,9.5,48800,PVH
PVH,1998-11-02,9.688,9.75,9.25,9.25,21900,PVH
PVH,1998-11-03,9.688,9.813,9.563,9.81,43600,PVH
