Symbol,Date,Close,High,Low,Open,Volume,Name
PWR,1998-05-29,8.5,8.792,8.459,8.76,111150,PWR
PWR,1998-06-01,8.5,8.667,8.417,8.59,67350,PWR
PWR,1998-06-02,8.667,8.667,8.375,8.42,17100,PWR
PWR,1998-06-03,8.792,8.792,8.583,8.59,10050,PWR
PWR,1998-06-04,9.083,9.167,8.709,8.76,28950,PWR
PWR,1998-06-05,9.0,9.125,8.959,9.125,76500,PWR
PWR,1998-06-08,9.25,9.25,9.042,9.042,74250,PWR
PWR,1998-06-09,10.25,10.25,9.333,9.34,36150,PWR
PWR,1998-06-10,10.0,10.417,10.0,10.417,150450,PWR
PWR,1998-06-11,9.917,10.083,9.833,9.92,4200,PWR
PWR,1998-06-12,9.667,9.833,9.542,9.833,11100,PWR
PWR,1998-06-15,9.5,9.542,9.5,9.5,4350,PWR
PWR,1998-06-16,10.125,10.25,9.583,9.59,55500,PWR
PWR,1998-06-17,10.5,10.667,10.25,10.26,29700,PWR
PWR,1998-06-18,10.333,10.5,10.333,10.5,9300,PWR
PWR,1998-06-19,9.917,10.167,9.917,10.167,20700,PWR
PWR,1998-06-22,9.875,9.917,9.833,9.917,11400,PWR
PWR,1998-06-23,9.875,9.917,9.792,9.8,11550,PWR
PWR,1998-06-24,9.875,10.0,9.833,9.92,3900,PWR
PWR,1998-06-25,9.917,9.959,9.875,9.959,4500,PWR
PWR,1998-06-26,9.875,9.959,9.875,9.959,31350,PWR
PWR,1998-06-29,9.833,9.917,9.833,9.917,19950,PWR
PWR,1998-06-30,9.792,9.833,9.75,9.833,8250,PWR
PWR,1998-07-01,9.25,9.709,9.25,9.709,35700,PWR
PWR,1998-07-02,9.583,9.583,9.333,9.34,9000,PWR
PWR,1998-07-03,9.583,9.583,9.333,9.34,0,PWR
PWR,1998-07-06,9.75,10.0,9.625,9.63,48600,PWR
PWR,1998-07-07,9.625,9.833,9.417,9.833,15450,PWR
PWR,1998-07-08,9.667,9.709,9.667,9.709,21900,PWR
PWR,1998-07-09,9.459,9.667,9.417,9.667,16200,PWR
PWR,1998-07-10,9.459,9.542,9.375,9.5,18600,PWR
PWR,1998-07-13,9.417,9.417,9.292,9.38,4650,PWR
PWR,1998-07-14,9.417,9.542,9.333,9.42,13500,PWR
PWR,1998-07-15,9.167,9.333,9.167,9.333,20400,PWR
PWR,1998-07-16,9.167,9.25,9.0,9.09,11250,PWR
PWR,1998-07-17,9.459,9.459,9.25,9.26,14100,PWR
PWR,1998-07-20,9.459,9.459,9.333,9.459,7500,PWR
PWR,1998-07-21,9.417,9.417,9.333,9.38,7350,PWR
PWR,1998-07-22,9.417,9.459,9.375,9.38,5550,PWR
PWR,1998-07-23,9.375,9.375,9.333,9.375,26250,PWR
PWR,1998-07-24,9.333,9.459,9.333,9.459,21750,PWR
PWR,1998-07-27,9.125,9.25,9.083,9.25,3300,PWR
PWR,1998-07-28,8.833,9.083,8.583,9.04,32700,PWR
PWR,1998-07-29,8.333,8.833,8.333,8.8,15900,PWR
PWR,1998-07-30,8.167,8.5,8.167,8.42,226800,PWR
PWR,1998-07-31,8.417,8.583,8.209,8.26,38250,PWR
PWR,1998-08-03,8.583,9.0,8.333,8.5,25350,PWR
PWR,1998-08-04,8.209,8.583,8.125,8.583,25500,PWR
PWR,1998-08-05,8.292,8.292,8.167,8.21,6750,PWR
PWR,1998-08-06,9.709,9.833,8.313,8.34,86850,PWR
PWR,1998-08-07,9.125,10.083,9.125,9.8,54900,PWR
PWR,1998-08-10,9.333,9.583,9.209,9.21,33000,PWR
PWR,1998-08-11,9.25,9.417,9.209,9.417,29400,PWR
PWR,1998-08-12,9.333,9.417,9.209,9.34,33750,PWR
PWR,1998-08-13,9.333,9.417,9.25,9.26,63299,PWR
PWR,1998-08-14,9.25,9.333,9.209,9.3,81300,PWR
PWR,1998-08-17,9.209,9.25,9.167,9.17,11700,PWR
PWR,1998-08-18,9.709,10.25,9.667,10.01,78300,PWR
PWR,1998-08-19,9.917,10.042,9.917,9.92,25500,PWR
PWR,1998-08-20,9.875,9.917,9.833,9.917,3150,PWR
PWR,1998-08-21,9.6667,9.7917,9.6667,9.7083,85498,PWR
PWR,1998-08-24,9.667,10.083,9.583,9.84,51000,PWR
PWR,1998-08-25,9.75,9.833,9.667,9.67,30450,PWR
PWR,1998-08-26,9.667,9.833,9.583,9.67,13500,PWR
PWR,1998-08-27,9.417,9.583,9.375,9.583,5400,PWR
PWR,1998-08-28,9.5,9.583,9.292,9.42,53100,PWR
PWR,1998-08-31,8.75,9.583,8.75,9.583,30000,PWR
PWR,1998-09-01,8.75,8.833,8.5,8.54,26250,PWR
PWR,1998-09-02,8.709,8.75,8.583,8.67,24900,PWR
PWR,1998-09-03,8.583,8.709,8.583,8.67,12300,PWR
PWR,1998-09-04,8.542,8.625,8.5,8.625,9750,PWR
PWR,1998-09-07,8.542,8.625,8.5,8.625,0,PWR
PWR,1998-09-08,8.667,8.75,8.583,8.63,8550,PWR
PWR,1998-09-09,8.667,8.667,8.625,8.667,2100,PWR
PWR,1998-09-10,8.333,8.625,8.333,8.625,11250,PWR
PWR,1998-09-11,8.625,8.667,8.292,8.3,13800,PWR
PWR,1998-09-14,8.6667,8.7917,8.6667,8.6667,17698,PWR
PWR,1998-09-15,8.833,8.833,8.667,8.76,22050,PWR
PWR,1998-09-16,8.5,8.833,8.333,8.833,31649,PWR
PWR,1998-09-17,8.25,8.583,8.0,8.583,20250,PWR
PWR,1998-09-18,8.5,8.667,8.333,8.34,35700,PWR
PWR,1998-09-21,8.333,8.417,8.292,8.417,25650,PWR
PWR,1998-09-22,8.333,8.417,8.333,8.417,7050,PWR
PWR,1998-09-23,8.209,8.25,8.083,8.25,8400,PWR
PWR,1998-09-24,8.209,8.209,8.125,8.209,4650,PWR
PWR,1998-09-25,8.167,8.209,8.083,8.209,4500,PWR
PWR,1998-09-28,8.333,8.333,8.25,8.26,3750,PWR
PWR,1998-09-29,8.25,8.292,8.25,8.26,4800,PWR
PWR,1998-09-30,8.209,8.25,8.167,8.25,9900,PWR
PWR,1998-10-01,8.209,8.209,8.167,8.17,45600,PWR
PWR,1998-10-02,8.209,8.209,8.167,8.17,25350,PWR
PWR,1998-10-05,8.0,8.125,8.0,8.125,46650,PWR
PWR,1998-10-06,8.25,8.25,8.083,8.09,37350,PWR
PWR,1998-10-07,8.209,8.209,8.209,8.209,900,PWR
PWR,1998-10-08,7.833,8.167,7.5,8.167,93600,PWR
PWR,1998-10-09,7.709,7.917,7.709,7.917,46200,PWR
PWR,1998-10-12,7.917,7.959,7.709,7.71,5550,PWR
PWR,1998-10-13,8.042,8.042,7.959,8.0,5100,PWR
PWR,1998-10-14,7.833,8.125,7.75,8.0,16950,PWR
PWR,1998-10-15,7.875,7.875,7.875,7.875,900,PWR
PWR,1998-10-16,7.875,7.875,7.667,7.84,6150,PWR
PWR,1998-10-19,7.8333,7.8333,7.75,7.7917,3298,PWR
PWR,1998-10-20,8.333,8.375,7.917,7.92,32099,PWR
PWR,1998-10-21,8.667,8.667,8.333,8.34,14550,PWR
PWR,1998-10-22,8.625,8.625,8.625,8.625,150,PWR
PWR,1998-10-23,8.5,8.583,8.5,8.583,31350,PWR
PWR,1998-10-26,8.833,8.833,8.417,8.42,8100,PWR
PWR,1998-10-27,8.583,8.833,8.583,8.833,18000,PWR
PWR,1998-10-28,8.542,8.542,8.5,8.5,8700,PWR
PWR,1998-10-29,8.917,8.917,8.625,8.63,356550,PWR
PWR,1998-10-30,9.625,9.625,8.917,8.92,66000,PWR
PWR,1998-11-02,10.75,11.083,9.709,9.71,165900,PWR
PWR,1998-11-03,10.667,11.583,10.667,10.93,108900,PWR
PWR,1998-11-04,10.209,10.667,10.167,10.667,79650,PWR
PWR,1998-11-05,10.417,10.667,10.292,10.3,76950,PWR
PWR,1998-11-06,10.875,11.0,10.583,10.59,261299,PWR
PWR,1998-11-09,11.667,12.083,11.042,11.05,118650,PWR
PWR,1998-11-10,11.667,12.5,11.667,11.67,307950,PWR
PWR,1998-11-11,11.917,12.0,11.75,11.76,16500,PWR
PWR,1998-11-12,11.667,12.5,11.667,11.93,307950,PWR
PWR,1998-11-13,11.583,11.667,11.583,11.667,99450,PWR
PWR,1998-11-16,11.417,11.583,11.292,11.583,131850,PWR
PWR,1998-11-17,11.333,11.5,11.333,11.38,42750,PWR
PWR,1998-11-18,11.25,11.25,11.0,11.17,87000,PWR
PWR,1998-11-19,11.542,11.583,11.25,11.34,21750,PWR
PWR,1998-11-20,12.0,12.125,11.583,11.59,41700,PWR
PWR,1998-11-23,11.75,12.0833,11.75,12.0,9148,PWR
PWR,1998-11-24,12.292,12.333,11.333,11.67,150150,PWR
PWR,1998-11-25,12.292,12.333,11.333,11.67,0,PWR
PWR,1998-11-26,12.292,12.333,11.333,11.67,0,PWR
PWR,1998-11-27,12.833,12.917,12.833,12.88,4200,PWR
PWR,1998-11-30,12.75,12.917,12.5,12.67,48000,PWR
PWR,1998-12-01,13.125,13.125,12.75,12.76,73350,PWR
PWR,1998-12-02,13.459,13.459,13.167,13.21,146700,PWR
PWR,1998-12-03,13.333,13.667,13.25,13.43,242100,PWR
PWR,1998-12-04,13.417,13.417,13.333,13.34,162300,PWR
PWR,1998-12-07,14.709,14.833,13.333,13.43,140250,PWR
PWR,1998-12-08,14.75,15.333,14.583,14.76,79500,PWR
PWR,1998-12-09,14.667,14.833,14.542,14.76,77250,PWR
PWR,1998-12-10,14.583,14.917,14.417,14.59,98100,PWR
PWR,1998-12-11,14.083,14.5,14.083,14.5,130500,PWR
PWR,1998-12-14,13.917,14.083,13.917,14.083,24900,PWR
PWR,1998-12-15,13.792,13.833,13.667,13.833,8400,PWR
PWR,1998-12-16,14.083,14.167,13.792,13.8,75450,PWR
PWR,1998-12-17,14.0,14.583,14.0,14.17,95550,PWR
PWR,1998-12-18,14.375,14.5,14.083,14.09,66450,PWR
PWR,1998-12-21,14.083,14.25,13.959,14.25,42150,PWR
PWR,1998-12-22,13.667,14.125,13.583,14.125,84450,PWR
PWR,1998-12-23,13.667,13.667,13.667,13.667,6000,PWR
PWR,1998-12-24,14.042,14.209,13.667,13.67,118800,PWR
PWR,1998-12-25,14.042,14.209,13.667,13.67,0,PWR
PWR,1998-12-28,14.333,14.417,14.042,14.05,39900,PWR
PWR,1998-12-29,14.583,14.667,14.25,14.26,65100,PWR
PWR,1998-12-30,14.667,14.667,14.5,14.59,16650,PWR
PWR,1998-12-31,14.709,15.333,14.709,14.76,39600,PWR
PWR,1999-01-01,14.709,15.333,14.709,14.76,0,PWR
PWR,1999-01-04,14.709,14.833,14.583,14.76,61650,PWR
PWR,1999-01-05,14.5,14.709,14.417,14.709,40800,PWR
PWR,1999-01-06,14.833,14.833,14.5,14.55,70350,PWR
PWR,1999-01-07,14.917,14.917,14.833,14.917,21750,PWR
PWR,1999-01-08,14.75,15.0,14.75,14.84,49050,PWR
PWR,1999-01-11,14.833,14.833,14.667,14.71,16049,PWR
PWR,1999-01-12,14.833,14.959,14.75,14.84,58650,PWR
PWR,1999-01-13,14.75,14.833,14.667,14.76,6000,PWR
PWR,1999-01-14,14.709,14.833,14.667,14.76,9300,PWR
PWR,1999-01-15,15.083,15.083,14.792,14.8,52050,PWR
PWR,1999-01-18,15.083,15.083,14.792,14.8,0,PWR
PWR,1999-01-19,15.959,15.959,15.25,15.26,59100,PWR
PWR,1999-01-20,16.417,16.5,15.917,16.01,77700,PWR
PWR,1999-01-21,16.417,16.583,16.417,16.51,19950,PWR
PWR,1999-01-22,16.459,16.5,16.459,16.47,18450,PWR
PWR,1999-01-25,15.917,16.459,15.917,16.43,27150,PWR
PWR,1999-01-26,15.5,15.959,15.333,15.959,203850,PWR
PWR,1999-01-27,16.959,17.333,15.833,15.84,3580950,PWR
PWR,1999-01-28,17.875,17.959,16.917,17.05,319950,PWR
PWR,1999-01-29,18.75,19.833,17.667,17.97,283500,PWR
PWR,1999-02-01,18.709,19.25,18.5,18.72,272850,PWR
PWR,1999-02-02,18.167,18.917,18.167,18.84,378900,PWR
PWR,1999-02-03,18.5,18.5,17.9167,18.1667,100948,PWR
PWR,1999-02-04,19.0,19.417,18.583,18.6,116100,PWR
PWR,1999-02-05,19.333,19.833,19.083,19.1,246150,PWR
PWR,1999-02-08,19.292,19.542,19.0,19.43,90600,PWR
PWR,1999-02-09,17.5,19.333,17.5,19.333,141600,PWR
PWR,1999-02-10,17.917,18.0,17.083,17.43,103050,PWR
PWR,1999-02-11,18.333,18.833,18.0,18.1,171000,PWR
PWR,1999-02-12,17.917,18.667,17.833,18.43,133500,PWR
PWR,1999-02-15,17.917,18.667,17.833,18.43,0,PWR
PWR,1999-02-16,17.167,18.0,17.0,17.93,47850,PWR
PWR,1999-02-17,17.5,18.083,17.167,17.43,78150,PWR
PWR,1999-02-18,17.417,17.5,17.333,17.34,33150,PWR
PWR,1999-02-19,17.917,18.083,17.417,17.43,48000,PWR
PWR,1999-02-22,18.167,18.459,17.959,18.01,65700,PWR
PWR,1999-02-23,18.083,18.167,17.959,18.1,189450,PWR
PWR,1999-02-24,18.542,18.583,18.042,18.05,229200,PWR
PWR,1999-02-25,17.917,18.417,17.813,18.417,256799,PWR
PWR,1999-02-26,18.0,18.167,17.917,18.1,121200,PWR
PWR,1999-03-01,18.0,18.167,17.5,18.1,143550,PWR
PWR,1999-03-02,18.0,18.0,17.833,18.0,54900,PWR
PWR,1999-03-03,18.167,18.25,18.042,18.1,57000,PWR
PWR,1999-03-04,18.0,18.167,17.917,18.167,106050,PWR
PWR,1999-03-05,17.917,18.0,17.792,17.93,85950,PWR
PWR,1999-03-08,17.5,18.083,17.5,18.083,176250,PWR
PWR,1999-03-09,17.333,17.5,17.0,17.5,217800,PWR
PWR,1999-03-10,17.083,17.417,17.083,17.417,40950,PWR
PWR,1999-03-11,16.833,17.0,16.75,17.0,55200,PWR
PWR,1999-03-12,16.542,16.75,16.417,16.75,26550,PWR
PWR,1999-03-15,16.959,16.959,16.625,16.63,22800,PWR
PWR,1999-03-16,17.042,17.083,17.0,17.083,230400,PWR
PWR,1999-03-17,17.292,17.333,17.042,17.05,65550,PWR
PWR,1999-03-18,17.083,17.292,17.083,17.292,4950,PWR
PWR,1999-03-19,17.209,17.333,17.083,17.18,34050,PWR
PWR,1999-03-22,17.167,17.292,17.167,17.292,7500,PWR
PWR,1999-03-23,16.75,17.083,16.75,17.083,11400,PWR
PWR,1999-03-24,16.25,16.959,16.209,16.93,37200,PWR
PWR,1999-03-25,15.292,16.167,15.167,16.167,191700,PWR
PWR,1999-03-26,15.333,15.375,14.667,15.17,122250,PWR
PWR,1999-03-29,15.75,15.75,15.333,15.34,41700,PWR
PWR,1999-03-30,15.709,15.833,15.583,15.833,27150,PWR
PWR,1999-03-31,16.959,17.167,15.875,15.88,148500,PWR
PWR,1999-04-01,16.75,16.959,16.667,16.959,36450,PWR
PWR,1999-04-02,16.75,16.959,16.667,16.959,0,PWR
PWR,1999-04-05,16.417,16.667,16.417,16.667,64199,PWR
PWR,1999-04-06,16.375,16.5,16.375,16.5,11850,PWR
PWR,1999-04-07,16.167,16.5,16.167,16.47,79500,PWR
PWR,1999-04-08,15.917,16.167,15.833,16.167,33000,PWR
PWR,1999-04-09,16.1667,16.1667,15.75,15.75,100498,PWR
PWR,1999-04-12,16.125,16.333,16.125,16.333,17700,PWR
PWR,1999-04-13,16.5,16.75,16.083,16.09,12450,PWR
PWR,1999-04-14,16.792,16.792,16.25,16.51,19800,PWR
PWR,1999-04-15,17.875,17.875,16.583,16.67,73800,PWR
PWR,1999-04-16,18.625,18.9167,17.6667,17.9167,42148,PWR
PWR,1999-04-19,17.917,18.75,17.917,18.6,33300,PWR
PWR,1999-04-20,19.75,20.0,17.875,17.93,394800,PWR
PWR,1999-04-21,19.833,20.25,19.667,19.68,180150,PWR
PWR,1999-04-22,19.625,21.167,19.583,20.01,244050,PWR
PWR,1999-04-23,19.25,19.583,19.125,19.583,142050,PWR
PWR,1999-04-26,18.583,19.25,18.583,19.25,48600,PWR
PWR,1999-04-27,17.292,18.417,17.167,18.417,78150,PWR
PWR,1999-04-28,17.875,18.0,17.209,17.22,61050,PWR
PWR,1999-04-29,18.959,19.167,17.959,17.97,101100,PWR
PWR,1999-04-30,19.209,19.333,19.167,19.3,158850,PWR
PWR,1999-05-03,20.75,20.959,19.292,19.3,610950,PWR
PWR,1999-05-04,22.333,23.333,20.667,20.68,594450,PWR
PWR,1999-05-05,22.167,22.417,21.75,22.18,130500,PWR
PWR,1999-05-06,21.917,22.083,21.333,22.083,69000,PWR
PWR,1999-05-07,21.917,22.0,21.833,21.97,38250,PWR
PWR,1999-05-10,21.959,22.333,21.833,22.01,241350,PWR
PWR,1999-05-11,20.167,22.167,20.0,21.97,201300,PWR
PWR,1999-05-12,20.292,20.583,19.75,20.34,219000,PWR
PWR,1999-05-13,21.459,21.625,20.209,20.34,367350,PWR
PWR,1999-05-14,21.167,21.5,20.917,21.43,130649,PWR
PWR,1999-05-17,21.083,21.083,20.75,21.083,49800,PWR
PWR,1999-05-18,22.0,22.209,21.25,21.26,385950,PWR
PWR,1999-05-19,21.709,22.459,21.667,22.05,340950,PWR
PWR,1999-05-20,22.083,22.292,21.667,21.88,300450,PWR
PWR,1999-05-21,22.667,22.667,22.083,22.1,168300,PWR
PWR,1999-05-24,23.0,23.833,22.833,22.84,230400,PWR
PWR,1999-05-25,23.083,23.583,22.917,23.18,136050,PWR
PWR,1999-05-26,22.792,23.083,22.417,23.083,142500,PWR
PWR,1999-05-27,22.75,22.833,22.667,22.72,66600,PWR
PWR,1999-05-28,22.625,22.667,22.583,22.667,18450,PWR
PWR,1999-05-31,22.625,22.667,22.583,22.667,0,PWR
PWR,1999-06-01,22.709,22.792,22.667,22.792,54450,PWR
PWR,1999-06-02,22.0,22.625,21.583,22.625,99750,PWR
PWR,1999-06-03,22.167,22.75,22.0,22.01,109950,PWR
PWR,1999-06-04,22.292,22.333,22.083,22.22,17250,PWR
PWR,1999-06-07,22.667,22.667,22.417,22.43,89550,PWR
PWR,1999-06-08,23.375,24.1667,22.6667,22.6667,99298,PWR
PWR,1999-06-09,23.333,23.5,23.292,23.35,90000,PWR
PWR,1999-06-10,23.25,23.333,23.083,23.333,58200,PWR
PWR,1999-06-11,22.917,23.25,22.833,23.25,66000,PWR
PWR,1999-06-14,22.5,23.0,22.459,23.0,61950,PWR
PWR,1999-06-15,22.75,22.75,22.417,22.47,178500,PWR
PWR,1999-06-16,23.209,23.333,22.833,22.84,51450,PWR
PWR,1999-06-17,23.417,23.5,23.125,23.14,206850,PWR
PWR,1999-06-18,24.667,25.083,23.459,23.47,330750,PWR
PWR,1999-06-21,25.875,26.042,24.75,24.77,324900,PWR
PWR,1999-06-22,25.333,25.375,25.083,25.18,78450,PWR
PWR,1999-06-23,24.375,25.333,24.042,25.333,95400,PWR
PWR,1999-06-24,24.125,24.417,24.083,24.417,7500,PWR
PWR,1999-06-25,24.375,24.459,24.083,24.14,113850,PWR
PWR,1999-06-28,25.5,25.75,24.292,24.39,313800,PWR
PWR,1999-06-29,25.417,25.667,25.292,25.51,246000,PWR
PWR,1999-06-30,29.333,29.583,25.313,25.43,766650,PWR
PWR,1999-07-01,26.542,28.167,26.417,28.167,317850,PWR
PWR,1999-07-02,26.625,26.667,26.083,26.6,74850,PWR
PWR,1999-07-05,26.625,26.667,26.083,26.6,0,PWR
PWR,1999-07-06,26.583,26.583,26.25,26.55,130350,PWR
PWR,1999-07-07,26.333,26.5,26.209,26.5,43350,PWR
PWR,1999-07-08,25.917,26.209,25.333,26.209,75450,PWR
PWR,1999-07-09,26.209,26.333,25.75,25.85,89250,PWR
PWR,1999-07-12,26.583,26.583,25.833,26.31,92250,PWR
PWR,1999-07-13,26.917,27.709,26.396,26.6,303000,PWR
PWR,1999-07-14,25.959,26.875,25.5,26.875,193950,PWR
PWR,1999-07-15,26.459,26.459,25.833,25.97,52050,PWR
PWR,1999-07-16,26.333,26.75,26.209,26.35,123450,PWR
PWR,1999-07-19,25.375,26.167,25.375,26.167,60450,PWR
PWR,1999-07-20,25.125,25.5,25.083,25.47,31950,PWR
PWR,1999-07-21,25.167,25.333,25.0,25.1,33600,PWR
PWR,1999-07-22,24.625,24.667,23.917,24.667,423900,PWR
PWR,1999-07-23,23.583,24.5,23.333,24.5,266400,PWR
PWR,1999-07-26,22.9583,23.4167,22.5833,23.4167,131698,PWR
PWR,1999-07-27,24.0,24.5,22.875,22.88,233700,PWR
PWR,1999-07-28,22.4167,24.0,22.4167,24.0,140548,PWR
PWR,1999-07-29,21.417,22.625,20.833,22.6,222750,PWR
PWR,1999-07-30,20.709,22.0,20.667,21.51,162300,PWR
PWR,1999-08-02,21.583,21.75,20.875,20.88,100350,PWR
PWR,1999-08-03,20.875,21.583,20.833,21.43,220500,PWR
PWR,1999-08-04,20.042,21.0,19.875,20.88,241050,PWR
PWR,1999-08-05,20.0,21.667,19.833,20.55,716100,PWR
PWR,1999-08-06,19.833,20.0,19.709,20.0,216600,PWR
PWR,1999-08-09,20.417,20.459,19.917,19.93,140850,PWR
PWR,1999-08-10,20.583,20.667,20.333,20.51,141600,PWR
PWR,1999-08-11,21.292,22.083,21.0,21.01,195900,PWR
PWR,1999-08-12,21.75,21.75,21.083,21.38,178050,PWR
PWR,1999-08-13,21.5,21.917,21.5,21.84,31350,PWR
PWR,1999-08-16,21.083,21.583,20.417,21.583,137550,PWR
PWR,1999-08-17,21.167,21.167,20.917,21.1,234750,PWR
PWR,1999-08-18,21.125,21.25,20.917,21.18,100350,PWR
PWR,1999-08-19,21.125,21.167,21.0,21.167,72300,PWR
PWR,1999-08-20,20.0,21.042,20.0,21.042,128399,PWR
PWR,1999-08-23,17.417,20.0,17.333,19.68,744000,PWR
PWR,1999-08-24,15.959,17.292,14.625,17.292,2658000,PWR
PWR,1999-08-25,15.625,16.333,15.333,16.17,928650,PWR
PWR,1999-08-26,14.0,16.042,13.667,15.76,1469850,PWR
PWR,1999-08-27,14.167,14.417,13.417,14.01,938250,PWR
PWR,1999-08-30,15.167,15.292,14.083,14.34,848700,PWR
PWR,1999-08-31,14.959,15.792,14.25,15.76,615000,PWR
PWR,1999-09-01,15.25,15.333,14.833,15.13,181800,PWR
PWR,1999-09-02,16.083,16.167,15.0,15.17,457350,PWR
PWR,1999-09-03,16.709,16.75,16.333,16.67,492750,PWR
PWR,1999-09-06,16.709,16.75,16.333,16.67,0,PWR
PWR,1999-09-07,17.083,17.167,16.417,16.72,229050,PWR
PWR,1999-09-08,18.0,18.25,17.0,18.01,342750,PWR
PWR,1999-09-09,18.0,18.25,17.667,18.01,426450,PWR
PWR,1999-09-10,18.667,19.0,18.417,18.68,393900,PWR
PWR,1999-09-13,18.792,19.083,18.667,18.84,136050,PWR
PWR,1999-09-14,17.75,19.125,17.667,18.8,214350,PWR
PWR,1999-09-15,17.209,17.667,16.792,17.667,389250,PWR
PWR,1999-09-16,16.917,17.333,16.833,17.3,162600,PWR
PWR,1999-09-17,17.459,17.5,16.75,16.76,97200,PWR
PWR,1999-09-20,18.917,19.083,17.625,17.64,196800,PWR
PWR,1999-09-21,17.625,18.75,17.5,18.75,657000,PWR
