Symbol,Date,Close,High,Low,Open,Volume,Name
RCL,1998-05-29,34.844,34.969,34.5,34.969,468400,RCL
RCL,1998-06-01,34.875,35.219,34.563,34.88,187400,RCL
RCL,1998-06-02,35.125,35.125,34.469,34.91,485800,RCL
RCL,1998-06-03,34.844,35.25,34.813,35.19,262800,RCL
RCL,1998-06-04,35.438,35.438,34.563,34.75,211400,RCL
RCL,1998-06-05,35.75,35.907,35.313,35.69,299200,RCL
RCL,1998-06-08,36.594,36.875,35.688,35.69,322400,RCL
RCL,1998-06-09,37.25,37.719,36.75,36.75,296000,RCL
RCL,1998-06-10,37.063,37.282,37.0,37.28,162800,RCL
RCL,1998-06-11,37.282,37.407,36.75,37.0,152400,RCL
RCL,1998-06-12,36.532,37.75,36.5,37.41,150200,RCL
RCL,1998-06-15,35.969,36.188,35.407,36.0,238800,RCL
RCL,1998-06-16,36.063,36.313,35.75,35.91,116800,RCL
RCL,1998-06-17,36.532,36.688,36.188,36.19,96400,RCL
RCL,1998-06-18,36.125,36.5,36.125,36.41,232200,RCL
RCL,1998-06-19,36.313,36.438,36.125,36.13,151400,RCL
RCL,1998-06-22,37.532,37.594,36.407,36.41,217400,RCL
RCL,1998-06-23,39.25,39.875,37.688,37.69,705400,RCL
RCL,1998-06-24,39.125,39.844,38.844,39.5,712200,RCL
RCL,1998-06-25,39.0,39.438,38.907,39.25,380600,RCL
RCL,1998-06-26,38.438,39.0,38.125,39.0,510800,RCL
RCL,1998-06-29,39.063,39.219,38.563,38.563,239200,RCL
RCL,1998-06-30,39.75,40.375,39.125,39.13,346800,RCL
RCL,1998-07-01,40.157,40.938,39.875,39.88,651600,RCL
RCL,1998-07-02,40.063,40.188,39.875,40.188,185000,RCL
RCL,1998-07-03,40.063,40.188,39.875,40.188,0,RCL
RCL,1998-07-06,40.0,40.125,39.875,40.06,139600,RCL
RCL,1998-07-07,40.282,40.625,39.938,39.94,173800,RCL
RCL,1998-07-08,41.032,41.469,40.407,40.41,244800,RCL
RCL,1998-07-09,41.188,41.875,41.094,41.82,198600,RCL
RCL,1998-07-10,41.469,41.875,41.188,41.32,190200,RCL
RCL,1998-07-13,41.563,41.563,41.282,41.5,328400,RCL
RCL,1998-07-14,42.188,42.813,41.5,41.5,855400,RCL
RCL,1998-07-15,42.532,42.625,42.313,42.5,429000,RCL
RCL,1998-07-16,42.469,42.75,41.532,42.41,486600,RCL
RCL,1998-07-17,43.125,43.188,42.469,42.47,199000,RCL
RCL,1998-07-20,43.657,43.907,43.25,43.25,304000,RCL
RCL,1998-07-21,43.094,43.875,43.0,43.72,260200,RCL
RCL,1998-07-22,42.5,43.125,42.219,43.125,150400,RCL
RCL,1998-07-23,41.438,42.625,41.282,42.5,149400,RCL
RCL,1998-07-24,40.282,41.469,39.438,41.44,446400,RCL
RCL,1998-07-27,37.782,40.25,36.875,39.88,1758600,RCL
RCL,1998-07-28,37.657,38.875,36.875,37.78,1669000,RCL
RCL,1998-07-29,37.594,38.375,37.594,37.78,227800,RCL
RCL,1998-07-30,37.625,38.0,37.563,37.6,318600,RCL
RCL,1998-07-31,37.375,37.969,37.125,37.63,614600,RCL
RCL,1998-08-03,35.688,37.75,35.0,37.75,312800,RCL
RCL,1998-08-04,34.188,36.875,33.563,36.0,488100,RCL
RCL,1998-08-05,33.0,34.25,32.25,34.25,327200,RCL
RCL,1998-08-06,33.875,33.875,32.813,33.13,371900,RCL
RCL,1998-08-07,36.5,36.75,34.5,34.56,633100,RCL
RCL,1998-08-10,35.25,36.5,34.938,36.5,170900,RCL
RCL,1998-08-11,32.625,33.563,30.5,33.5,697700,RCL
RCL,1998-08-12,33.125,34.75,32.25,33.75,211400,RCL
RCL,1998-08-13,32.0,33.125,31.563,33.125,450300,RCL
RCL,1998-08-14,30.813,33.0,30.125,33.0,324800,RCL
RCL,1998-08-17,29.0625,30.6875,28.0,30.6875,984900,RCL
RCL,1998-08-18,29.0,29.75,28.125,29.75,1392300,RCL
RCL,1998-08-19,32.0,33.125,30.375,30.5,1025800,RCL
RCL,1998-08-20,32.688,33.5,31.375,31.5,438800,RCL
RCL,1998-08-21,33.313,33.375,31.313,31.5,782400,RCL
RCL,1998-08-24,31.813,33.563,31.688,33.31,444500,RCL
RCL,1998-08-25,31.875,33.625,31.813,33.5,413000,RCL
RCL,1998-08-26,32.563,32.75,30.625,31.88,420200,RCL
RCL,1998-08-27,30.375,32.438,30.0,32.438,363600,RCL
RCL,1998-08-28,28.563,30.625,27.0,30.5,472600,RCL
RCL,1998-08-31,24.25,28.8125,23.125,28.5625,614900,RCL
RCL,1998-09-01,25.875,25.938,23.563,24.25,1053100,RCL
RCL,1998-09-02,27.125,27.313,26.25,26.25,568300,RCL
RCL,1998-09-03,27.063,27.313,26.0,27.0,701800,RCL
RCL,1998-09-04,27.313,28.438,26.938,27.25,720900,RCL
RCL,1998-09-07,27.313,28.438,26.938,27.25,0,RCL
RCL,1998-09-08,28.813,30.125,28.375,29.0,746600,RCL
RCL,1998-09-09,28.688,29.063,28.25,29.06,495900,RCL
RCL,1998-09-10,28.188,28.563,27.438,28.56,354200,RCL
RCL,1998-09-11,28.438,29.188,28.0,28.44,721100,RCL
RCL,1998-09-14,28.938,29.375,28.625,28.88,521100,RCL
RCL,1998-09-15,29.75,29.813,28.938,28.94,599400,RCL
RCL,1998-09-16,30.688,31.188,30.063,30.63,487400,RCL
RCL,1998-09-17,28.875,30.313,28.25,30.31,550300,RCL
RCL,1998-09-18,29.0,29.375,28.5,29.0,367500,RCL
RCL,1998-09-21,28.188,28.75,27.75,28.75,208000,RCL
RCL,1998-09-22,27.875,28.875,27.813,28.38,235200,RCL
RCL,1998-09-23,26.938,28.5,26.75,28.13,520599,RCL
RCL,1998-09-24,27.125,27.25,26.25,26.88,497600,RCL
RCL,1998-09-25,27.688,27.813,26.813,27.13,402700,RCL
RCL,1998-09-28,27.125,27.813,27.063,27.31,183300,RCL
RCL,1998-09-29,26.75,27.25,26.688,27.19,261600,RCL
RCL,1998-09-30,26.563,27.0,26.438,26.5,192600,RCL
RCL,1998-10-01,23.938,26.5,23.625,26.5,317100,RCL
RCL,1998-10-02,21.5,24.375,20.0,24.0,2214100,RCL
RCL,1998-10-05,22.25,23.125,21.5,21.75,1820900,RCL
RCL,1998-10-06,22.5,23.75,22.375,22.44,1078900,RCL
RCL,1998-10-07,20.625,22.25,20.563,22.25,460500,RCL
RCL,1998-10-08,18.0,19.5,17.0,19.5,1016899,RCL
RCL,1998-10-09,20.438,21.063,18.75,19.5,1070600,RCL
RCL,1998-10-12,23.5,24.188,21.375,21.75,1050000,RCL
RCL,1998-10-13,21.5,23.313,21.25,23.25,1452600,RCL
RCL,1998-10-14,22.938,23.375,21.375,21.38,462300,RCL
RCL,1998-10-15,23.375,23.5,22.75,23.5,516100,RCL
RCL,1998-10-16,23.625,24.5,23.25,23.25,538800,RCL
RCL,1998-10-19,25.0,25.5,23.688,23.69,763900,RCL
RCL,1998-10-20,26.563,27.438,26.125,26.25,666600,RCL
RCL,1998-10-21,25.5,26.563,25.0,26.5,486400,RCL
RCL,1998-10-22,25.688,27.75,25.688,27.5,1049600,RCL
RCL,1998-10-23,25.188,26.25,25.0,25.13,618800,RCL
RCL,1998-10-26,25.75,26.063,25.0,25.25,520700,RCL
RCL,1998-10-27,26.063,27.375,25.875,27.25,1242600,RCL
RCL,1998-10-28,25.813,26.25,25.688,26.25,714000,RCL
