Symbol,Date,Close,High,Low,Open,Volume,Name
REGN,1998-05-29,9.344,9.75,9.156,9.5,44400,REGN
REGN,1998-06-01,9.625,9.75,9.25,9.75,166200,REGN
REGN,1998-06-02,9.313,9.75,9.25,9.75,24300,REGN
REGN,1998-06-03,9.25,9.75,9.25,9.63,19800,REGN
REGN,1998-06-04,9.75,9.75,9.25,9.25,18800,REGN
REGN,1998-06-05,9.125,9.688,9.125,9.31,71700,REGN
REGN,1998-06-08,9.313,9.5,9.0,9.0,20200,REGN
REGN,1998-06-09,9.25,9.5,9.0,9.5,7200,REGN
REGN,1998-06-10,9.0,9.5,9.0,9.0,32700,REGN
REGN,1998-06-11,9.594,9.625,9.0,9.13,81300,REGN
REGN,1998-06-12,9.0,9.625,8.875,9.56,54200,REGN
REGN,1998-06-15,8.75,9.0,8.75,9.0,49900,REGN
REGN,1998-06-16,9.0,9.0,8.625,9.0,64600,REGN
REGN,1998-06-17,9.125,9.125,8.875,8.94,104800,REGN
REGN,1998-06-18,8.938,9.063,8.875,8.88,24600,REGN
REGN,1998-06-19,8.5,9.125,8.5,9.0,38800,REGN
REGN,1998-06-22,8.5,8.844,8.5,8.84,36000,REGN
REGN,1998-06-23,8.375,8.688,8.375,8.5,86000,REGN
REGN,1998-06-24,8.625,8.625,8.375,8.5,53200,REGN
REGN,1998-06-25,9.0,9.0,8.5,8.75,18500,REGN
REGN,1998-06-26,8.875,9.0,8.75,8.75,26600,REGN
REGN,1998-06-29,8.938,9.0,8.875,9.0,14100,REGN
REGN,1998-06-30,9.219,9.5,8.875,8.88,205300,REGN
REGN,1998-07-01,9.5,9.75,9.438,9.44,73500,REGN
REGN,1998-07-02,9.063,9.688,9.0,9.63,29700,REGN
REGN,1998-07-03,9.063,9.688,9.0,9.63,0,REGN
REGN,1998-07-06,9.0,9.375,8.813,9.375,79500,REGN
REGN,1998-07-07,9.25,9.25,9.0,9.0,23200,REGN
REGN,1998-07-08,9.0,9.25,9.0,9.0,27200,REGN
REGN,1998-07-09,9.25,9.25,9.0,9.13,17400,REGN
REGN,1998-07-10,9.25,9.25,9.0,9.25,11900,REGN
REGN,1998-07-13,9.0,9.25,9.0,9.0,64800,REGN
REGN,1998-07-14,9.0,9.125,9.0,9.0,51700,REGN
REGN,1998-07-15,9.125,9.125,9.0,9.0,364200,REGN
REGN,1998-07-16,9.047,9.125,9.0,9.0,31100,REGN
REGN,1998-07-17,8.063,9.188,8.0,9.188,67200,REGN
REGN,1998-07-20,7.875,8.438,7.875,8.0,67900,REGN
REGN,1998-07-21,8.0,8.375,8.0,8.375,70100,REGN
REGN,1998-07-22,8.0,8.25,8.0,8.25,25100,REGN
REGN,1998-07-23,7.938,8.5,7.938,8.0,40300,REGN
REGN,1998-07-24,7.938,8.25,7.875,8.25,22700,REGN
REGN,1998-07-27,8.0,8.25,7.938,7.94,25100,REGN
REGN,1998-07-28,7.969,8.0,7.875,8.0,44700,REGN
REGN,1998-07-29,8.438,8.438,7.75,8.0,74300,REGN
REGN,1998-07-30,8.313,8.5,8.125,8.13,36600,REGN
REGN,1998-07-31,8.0,8.438,7.75,8.438,71700,REGN
REGN,1998-08-03,7.75,8.25,7.75,8.0,50500,REGN
REGN,1998-08-04,7.438,7.781,7.375,7.75,189100,REGN
REGN,1998-08-05,7.406,7.75,7.375,7.63,115500,REGN
REGN,1998-08-06,7.563,7.75,7.25,7.41,96500,REGN
REGN,1998-08-07,7.625,7.875,7.25,7.25,65100,REGN
REGN,1998-08-10,7.875,8.0,7.75,7.88,23100,REGN
REGN,1998-08-11,7.25,7.875,7.0,7.63,136700,REGN
REGN,1998-08-12,7.188,7.375,7.188,7.375,48700,REGN
REGN,1998-08-13,7.219,7.25,7.125,7.13,86400,REGN
REGN,1998-08-14,7.125,7.25,7.0,7.22,37200,REGN
REGN,1998-08-17,7.063,7.25,7.0,7.25,17300,REGN
REGN,1998-08-18,7.063,7.25,7.0,7.0,85500,REGN
REGN,1998-08-19,7.047,7.125,7.0,7.0,15600,REGN
REGN,1998-08-20,6.719,7.188,6.625,7.188,47300,REGN
REGN,1998-08-21,6.75,7.063,6.313,6.69,69400,REGN
REGN,1998-08-24,6.8125,7.375,6.75,7.0,89100,REGN
REGN,1998-08-25,6.875,7.25,6.875,7.13,68500,REGN
REGN,1998-08-26,6.313,7.063,6.25,7.06,52800,REGN
REGN,1998-08-27,6.25,6.75,6.25,6.69,110300,REGN
REGN,1998-08-28,6.688,6.875,6.0,6.19,50600,REGN
REGN,1998-08-31,6.563,7.0,6.5,6.75,41900,REGN
REGN,1998-09-01,6.125,6.875,5.75,6.875,124700,REGN
REGN,1998-09-02,6.75,6.75,6.125,6.19,54300,REGN
REGN,1998-09-03,6.125,6.688,6.125,6.25,25100,REGN
REGN,1998-09-04,5.875,6.25,5.875,6.0,38200,REGN
REGN,1998-09-07,5.875,6.25,5.875,6.0,0,REGN
REGN,1998-09-08,6.594,6.75,5.938,6.31,58200,REGN
REGN,1998-09-09,6.375,6.875,6.375,6.5,217000,REGN
REGN,1998-09-10,6.625,6.875,6.375,6.38,75200,REGN
