Symbol,Date,Close,High,Low,Open,Volume,Name
RF,1998-05-29,41.1261,41.6261,41.0011,41.6261,7795,RF
RF,1998-06-01,40.5011,41.1261,40.3135,41.1261,783,RF
RF,1998-06-02,40.7198,41.0011,40.5011,41.0011,3379,RF
RF,1998-06-03,40.8135,41.0011,40.3761,41.0011,1324,RF
RF,1998-06-04,40.9386,40.9386,39.8761,40.9386,3907,RF
RF,1998-06-05,40.8135,41.0011,40.6261,41.0011,1592,RF
RF,1998-06-08,40.6886,41.2511,40.6261,41.2511,1504,RF
RF,1998-06-09,40.7511,40.9386,40.251,40.9386,906,RF
RF,1998-06-10,40.251,40.8135,40.1261,40.8135,1266,RF
RF,1998-06-11,40.1886,40.6261,40.001,40.6261,1155,RF
RF,1998-06-12,39.751,40.3761,39.501,40.3761,1848,RF
RF,1998-06-15,38.6885,39.6886,38.6261,39.6886,4387,RF
RF,1998-06-16,38.6573,39.251,38.4385,39.251,3628,RF
RF,1998-06-17,40.1261,40.3135,38.5635,40.3135,3187,RF
RF,1998-06-18,39.9073,40.251,39.6261,40.251,5363,RF
RF,1998-06-19,39.751,40.0635,39.6886,40.0635,3242,RF
RF,1998-06-22,39.8135,39.8761,39.501,39.8761,3065,RF
RF,1998-06-23,39.6261,39.8761,39.251,39.8761,4833,RF
RF,1998-06-24,39.6261,40.001,39.251,40.001,5101,RF
RF,1998-06-25,39.6886,40.001,39.0635,40.001,4142,RF
RF,1998-06-26,40.1261,40.1261,39.751,40.1261,4072,RF
RF,1998-06-29,40.7198,40.7511,39.8761,40.7511,1959,RF
RF,1998-06-30,41.0635,41.5011,40.8761,41.5011,5045,RF
RF,1998-07-01,41.6886,41.7511,40.9386,41.7511,5827,RF
RF,1998-07-02,41.5011,41.7511,41.3135,41.7511,2327,RF
RF,1998-07-03,41.5011,41.7511,41.3135,41.7511,0,RF
RF,1998-07-06,41.5011,41.7511,41.3135,41.7511,0,RF
RF,1998-07-07,41.1886,41.6261,41.0635,41.6261,1448,RF
RF,1998-07-08,41.5636,41.8136,41.1261,41.8136,1809,RF
RF,1998-07-09,41.8761,41.8761,41.4386,41.8761,2556,RF
RF,1998-07-10,42.0011,42.1262,41.6886,42.1262,3449,RF
RF,1998-07-13,41.6261,42.7511,41.5011,42.7511,2024,RF
RF,1998-07-14,42.1262,42.1262,41.3761,42.1262,2066,RF
RF,1998-07-15,42.1262,42.1262,41.3761,42.1262,0,RF
RF,1998-07-16,42.0011,42.1886,41.5011,42.1886,2056,RF
