Symbol,Date,Close,High,Low,Open,Volume,Name
RHI,1998-05-29,25.313,25.907,25.313,25.85,130600,RHI
RHI,1998-06-01,25.469,25.469,25.094,25.44,296600,RHI
RHI,1998-06-02,26.0,26.094,25.5,25.6,130200,RHI
RHI,1998-06-03,27.188,27.469,25.875,25.88,650200,RHI
RHI,1998-06-04,27.75,27.875,27.188,27.19,581800,RHI
RHI,1998-06-05,27.875,28.125,27.5,27.82,530000,RHI
RHI,1998-06-08,28.532,28.719,28.0,28.0,299600,RHI
RHI,1998-06-09,29.5,30.125,28.594,28.6,574000,RHI
RHI,1998-06-10,28.719,29.469,28.719,29.41,284400,RHI
RHI,1998-06-11,28.438,28.75,28.219,28.6,760000,RHI
RHI,1998-06-12,27.719,28.438,27.703,28.438,355200,RHI
RHI,1998-06-15,27.782,27.875,27.313,27.75,728200,RHI
RHI,1998-06-16,27.563,27.813,27.188,27.813,708200,RHI
RHI,1998-06-17,28.688,28.688,27.75,27.75,566400,RHI
RHI,1998-06-18,28.5,28.938,28.313,28.75,672600,RHI
RHI,1998-06-19,28.157,28.625,28.157,28.5,512599,RHI
RHI,1998-06-22,28.094,28.188,27.969,28.188,400600,RHI
RHI,1998-06-23,27.938,28.125,27.907,28.1,242200,RHI
RHI,1998-06-24,28.0,28.063,27.782,27.97,612000,RHI
RHI,1998-06-25,28.0,28.938,27.875,28.13,411800,RHI
RHI,1998-06-26,27.938,28.0,27.813,28.0,349000,RHI
RHI,1998-06-29,28.0,28.032,27.938,27.97,570800,RHI
RHI,1998-06-30,27.938,28.0,27.688,28.0,545800,RHI
RHI,1998-07-01,27.969,28.0,27.782,28.0,440800,RHI
RHI,1998-07-02,27.5,28.0,27.438,28.0,178400,RHI
RHI,1998-07-03,27.5,28.0,27.438,28.0,0,RHI
RHI,1998-07-06,26.969,27.5,26.969,27.5,403800,RHI
RHI,1998-07-07,26.375,26.625,25.594,26.625,1220200,RHI
RHI,1998-07-08,27.375,27.469,26.407,26.5,698400,RHI
RHI,1998-07-09,27.282,27.469,27.25,27.44,661800,RHI
RHI,1998-07-10,26.969,27.282,26.75,27.28,347400,RHI
RHI,1998-07-13,26.719,26.969,26.719,26.91,161800,RHI
RHI,1998-07-14,26.844,26.875,26.532,26.85,879200,RHI
RHI,1998-07-15,26.907,27.25,26.75,26.78,427200,RHI
RHI,1998-07-16,26.532,26.75,26.438,26.69,285800,RHI
RHI,1998-07-17,26.0,26.532,25.969,26.53,257199,RHI
RHI,1998-07-20,27.594,27.688,26.907,27.0,1208200,RHI
RHI,1998-07-21,28.782,29.344,28.25,28.25,1386000,RHI
RHI,1998-07-22,28.844,28.875,28.5,28.78,637800,RHI
RHI,1998-07-23,28.532,29.125,28.5,28.85,567600,RHI
RHI,1998-07-24,27.875,28.594,26.938,28.5,535400,RHI
RHI,1998-07-27,27.25,27.813,26.625,27.813,376600,RHI
RHI,1998-07-28,27.532,27.875,27.25,27.25,638000,RHI
RHI,1998-07-29,28.094,28.625,27.563,27.57,852000,RHI
RHI,1998-07-30,27.875,28.032,27.594,28.0,315000,RHI
RHI,1998-07-31,26.782,27.969,26.625,27.75,402600,RHI
RHI,1998-08-03,26.813,26.813,25.844,26.63,658000,RHI
