Symbol,Date,Close,High,Low,Open,Volume,Name
RHT,1999-08-11,26.032,28.375,20.0,26.032,35766200,RHT
RHT,1999-08-12,36.313,38.938,29.0,36.313,30586000,RHT
RHT,1999-08-13,42.625,45.344,40.125,42.625,17781400,RHT
RHT,1999-08-16,37.25,43.125,36.813,37.25,12484200,RHT
RHT,1999-08-17,33.625,38.25,31.188,33.625,13335400,RHT
RHT,1999-08-18,35.75,37.875,30.5,35.75,8597800,RHT
RHT,1999-08-19,35.657,37.657,33.625,35.657,3802800,RHT
RHT,1999-08-20,34.063,37.438,33.594,34.063,2502200,RHT
RHT,1999-08-23,31.938,33.938,31.75,31.938,2767400,RHT
RHT,1999-08-24,34.5,35.407,31.375,34.5,3739000,RHT
RHT,1999-08-25,37.125,38.25,35.125,37.125,3682600,RHT
RHT,1999-08-26,39.469,42.313,37.625,39.469,5800000,RHT
RHT,1999-08-27,39.907,41.75,38.25,39.907,2640200,RHT
RHT,1999-08-30,37.782,40.532,37.5,37.782,1304400,RHT
RHT,1999-08-31,41.157,41.25,35.25,41.157,2992800,RHT
RHT,1999-09-01,39.813,43.0,39.313,39.813,2559600,RHT
RHT,1999-09-02,40.0,40.75,37.5,40.0,1544400,RHT
RHT,1999-09-03,42.469,42.625,40.313,42.469,2243000,RHT
RHT,1999-09-06,42.469,42.625,40.313,42.469,0,RHT
RHT,1999-09-07,54.0,54.938,41.688,54.0,16456399,RHT
RHT,1999-09-08,58.375,67.625,53.0,58.375,24518400,RHT
RHT,1999-09-09,61.625,65.75,59.0,61.625,10370800,RHT
RHT,1999-09-10,59.875,65.344,58.563,59.875,5638200,RHT
RHT,1999-09-13,54.188,59.375,52.875,54.188,5396600,RHT
RHT,1999-09-14,50.485,53.25,50.063,50.485,5138800,RHT
RHT,1999-09-15,48.422,53.313,48.0,48.422,4708400,RHT
RHT,1999-09-16,56.719,56.75,46.25,56.719,9433000,RHT
RHT,1999-09-17,53.688,60.407,53.563,53.688,9204200,RHT
RHT,1999-09-20,55.235,57.5,53.203,55.235,2886600,RHT
RHT,1999-09-21,56.188,58.625,54.25,56.188,3896200,RHT
RHT,1999-09-22,54.125,57.5,53.75,54.125,2997400,RHT
RHT,1999-09-23,50.5,56.25,50.0,50.5,2776400,RHT
RHT,1999-09-24,51.032,52.625,49.125,51.032,2563200,RHT
RHT,1999-09-27,51.125,54.313,50.438,51.125,1394600,RHT
RHT,1999-09-28,49.813,51.157,49.375,49.813,1330200,RHT
RHT,1999-09-29,49.094,52.0,48.75,49.094,1491600,RHT
RHT,1999-09-30,48.0,50.75,47.875,48.0,1263800,RHT
RHT,1999-10-01,43.719,47.5,42.813,43.719,3234200,RHT
RHT,1999-10-04,44.344,46.25,43.782,44.344,1669800,RHT
RHT,1999-10-05,45.438,48.75,44.625,45.438,3240400,RHT
RHT,1999-10-06,45.438,46.938,44.063,45.438,1402600,RHT
RHT,1999-10-07,43.188,46.469,42.625,43.188,2959400,RHT
RHT,1999-10-08,43.25,44.75,42.438,43.25,1430200,RHT
RHT,1999-10-11,47.625,47.75,43.188,47.625,2732200,RHT
RHT,1999-10-12,45.563,48.094,45.0,45.563,2021399,RHT
RHT,1999-10-13,44.719,46.75,43.094,44.719,1572400,RHT
RHT,1999-10-14,43.703,45.282,43.0,43.703,804600,RHT
RHT,1999-10-15,40.625,42.375,40.125,40.625,1640600,RHT
RHT,1999-10-18,41.938,42.0,40.032,41.938,969200,RHT
RHT,1999-10-19,38.75,43.5,38.625,38.75,1252400,RHT
RHT,1999-10-20,39.657,41.407,38.938,39.657,1259400,RHT
RHT,1999-10-21,38.5,41.5,37.5,38.5,1627200,RHT
RHT,1999-10-22,37.594,39.469,37.5,37.594,1409600,RHT
RHT,1999-10-25,38.438,39.625,36.0,38.438,1715600,RHT
RHT,1999-10-26,45.313,46.5,40.125,45.313,8254200,RHT
RHT,1999-10-27,42.938,46.75,42.25,42.938,3209400,RHT
RHT,1999-10-28,42.0,44.875,41.188,42.0,1111800,RHT
RHT,1999-10-29,44.313,45.063,42.5,44.313,1635800,RHT
RHT,1999-11-01,44.688,46.75,43.719,44.688,1359200,RHT
RHT,1999-11-02,43.907,46.125,43.782,43.907,760600,RHT
RHT,1999-11-03,44.0,45.0,43.25,44.0,797200,RHT
RHT,1999-11-04,42.625,45.0,42.0,42.625,838200,RHT
RHT,1999-11-05,42.969,46.078,41.719,42.969,2440800,RHT
RHT,1999-11-08,52.0,54.75,49.063,52.0,10267200,RHT
RHT,1999-11-09,48.75,52.625,47.063,48.75,3644000,RHT
RHT,1999-11-10,47.625,50.5,46.25,47.625,1999000,RHT
RHT,1999-11-11,51.75,52.438,47.75,51.75,2433000,RHT
RHT,1999-11-12,50.907,53.375,48.5,50.907,2610800,RHT
RHT,1999-11-15,52.688,55.5,51.063,52.688,3530200,RHT
RHT,1999-11-16,59.813,60.125,54.813,59.813,4077000,RHT
RHT,1999-11-17,61.75,65.5,61.0,61.75,3025600,RHT
RHT,1999-11-18,62.625,65.25,62.5,62.625,1558200,RHT
RHT,1999-11-19,61.032,63.344,58.688,61.032,1508000,RHT
RHT,1999-11-22,62.25,63.25,59.938,62.25,1123200,RHT
RHT,1999-11-23,71.875,72.985,62.938,71.875,4863800,RHT
RHT,1999-11-24,84.469,87.75,72.844,84.469,6122800,RHT
RHT,1999-11-25,84.469,87.75,72.844,84.469,0,RHT
RHT,1999-11-26,106.75,109.969,90.5,106.75,4593200,RHT
RHT,1999-11-29,118.313,127.0,107.5,118.313,8239400,RHT
RHT,1999-11-30,105.0,119.5,102.5,105.0,5591200,RHT
RHT,1999-12-01,107.469,112.5,105.625,107.469,2686000,RHT
RHT,1999-12-02,105.157,112.0,103.219,105.157,1955600,RHT
RHT,1999-12-03,100.5,110.485,98.0,100.5,3560400,RHT
RHT,1999-12-06,116.063,116.75,105.063,116.063,5257400,RHT
RHT,1999-12-07,142.063,145.375,120.0,142.063,5447000,RHT
RHT,1999-12-08,135.625,151.313,135.0,135.625,5647000,RHT
RHT,1999-12-09,143.125,145.5,132.5,143.125,3164000,RHT
RHT,1999-12-10,136.532,147.0,136.0,136.532,1327800,RHT
RHT,1999-12-13,123.25,131.938,120.5,123.25,2778600,RHT
RHT,1999-12-14,108.5,121.032,107.5,108.5,3898600,RHT
RHT,1999-12-15,121.5,121.5,105.0,121.5,4541200,RHT
RHT,1999-12-16,122.875,129.25,117.532,122.875,2236200,RHT
RHT,1999-12-17,126.438,129.75,122.938,126.438,1930400,RHT
RHT,1999-12-20,133.969,134.407,122.0,133.969,3254800,RHT
RHT,1999-12-21,128.532,133.0,126.5,128.532,1696200,RHT
RHT,1999-12-22,118.438,128.5,117.188,118.438,2049799,RHT
RHT,1999-12-23,114.0,123.0,112.5,114.0,1588600,RHT
RHT,1999-12-24,114.0,123.0,112.5,114.0,0,RHT
RHT,1999-12-27,117.188,119.75,110.0,117.188,1297200,RHT
RHT,1999-12-28,116.0,123.313,114.25,116.0,1007400,RHT
RHT,1999-12-29,112.0,116.75,110.813,112.0,629800,RHT
RHT,1999-12-30,111.5,117.5,110.25,111.5,730800,RHT
RHT,1999-12-31,105.625,111.25,105.5,105.625,804000,RHT
RHT,2000-01-03,115.75,115.813,105.5,115.75,1613000,RHT
RHT,2000-01-04,107.5,114.5,107.5,107.5,1230000,RHT
RHT,2000-01-05,128.0,129.0,106.0,128.0,4660800,RHT
RHT,2000-01-06,114.125,136.219,114.125,114.125,4607000,RHT
RHT,2000-01-07,132.25,133.688,115.0,132.25,2713400,RHT
RHT,2000-01-10,141.25,148.0,131.375,141.25,2870200,RHT
RHT,2000-01-11,129.5,145.0,125.063,129.5,1515500,RHT
RHT,2000-01-12,131.313,138.0,120.375,131.313,1321300,RHT
RHT,2000-01-13,131.313,143.0,130.0,131.313,1138100,RHT
RHT,2000-01-14,132.25,139.75,131.5,132.25,758900,RHT
RHT,2000-01-17,132.25,139.75,131.5,132.25,0,RHT
RHT,2000-01-18,116.375,125.0,115.5,116.375,2179000,RHT
RHT,2000-01-19,117.375,121.5,116.063,117.375,1312200,RHT
RHT,2000-01-20,114.813,120.438,110.625,114.813,888900,RHT
RHT,2000-01-21,114.063,120.0,111.0,114.063,915100,RHT
RHT,2000-01-24,112.0,118.0,111.0,112.0,899500,RHT
RHT,2000-01-25,114.219,114.5,109.5,114.219,728100,RHT
RHT,2000-01-26,113.375,123.688,111.625,113.375,2132000,RHT
RHT,2000-01-27,113.875,120.0,112.0,113.875,786400,RHT
RHT,2000-01-28,107.0,114.875,104.5,107.0,782800,RHT
RHT,2000-01-31,95.125,105.0,91.0,95.125,2132100,RHT
RHT,2000-02-01,92.5,100.0,88.938,92.5,1369200,RHT
RHT,2000-02-02,108.0,108.625,88.313,108.0,4824600,RHT
RHT,2000-02-03,98.625,108.0,98.0,98.625,3175300,RHT
RHT,2000-02-04,92.688,98.0,92.0,92.688,6531900,RHT
RHT,2000-02-07,88.938,92.563,87.625,88.938,2287500,RHT
RHT,2000-02-08,90.375,94.375,88.563,90.375,2395300,RHT
RHT,2000-02-09,89.5,92.063,89.0,89.5,965700,RHT
RHT,2000-02-10,87.063,89.75,85.0,87.063,1012899,RHT
RHT,2000-02-11,83.375,86.5,81.25,83.375,1689000,RHT
RHT,2000-02-14,78.188,84.0,77.188,78.188,1718300,RHT
RHT,2000-02-15,74.75,77.625,73.0,74.75,1949400,RHT
RHT,2000-02-16,70.0,74.5,69.125,70.0,4151500,RHT
RHT,2000-02-17,75.188,79.75,70.0,75.188,6664200,RHT
RHT,2000-02-18,71.5,78.063,71.125,71.5,2259000,RHT
RHT,2000-02-21,71.5,78.063,71.125,71.5,0,RHT
RHT,2000-02-22,71.625,73.875,67.0,71.625,2065700,RHT
RHT,2000-02-23,72.0,76.25,69.25,72.0,2078800,RHT
RHT,2000-02-24,70.5,74.25,70.0,70.5,1197500,RHT
RHT,2000-02-25,68.375,71.0,67.25,68.375,1719400,RHT
RHT,2000-02-28,63.563,66.125,61.0,63.563,2310700,RHT
RHT,2000-02-29,60.688,65.75,60.5,60.688,2081200,RHT
RHT,2000-03-01,55.75,60.5,55.25,55.75,3700700,RHT
RHT,2000-03-02,63.781,66.313,53.75,63.781,5228400,RHT
RHT,2000-03-03,70.625,71.688,65.5,70.625,4758100,RHT
RHT,2000-03-06,65.688,70.5,64.0,65.688,2282700,RHT
RHT,2000-03-07,61.0,67.5,61.0,61.0,1637700,RHT
RHT,2000-03-08,60.5,64.0,59.813,60.5,1756600,RHT
RHT,2000-03-09,68.0,68.75,61.5,68.0,3946700,RHT
RHT,2000-03-10,71.125,75.5,69.563,71.125,4311300,RHT
RHT,2000-03-13,75.813,77.938,65.125,75.813,4124500,RHT
RHT,2000-03-14,69.125,79.563,68.625,69.125,2626300,RHT
RHT,2000-03-15,65.969,71.5,65.0,65.969,1625200,RHT
RHT,2000-03-16,65.0,68.125,61.5,65.0,1863000,RHT
RHT,2000-03-17,62.875,66.75,62.625,62.875,1355400,RHT
RHT,2000-03-20,59.25,64.0,58.375,59.25,2311400,RHT
RHT,2000-03-21,57.188,59.625,56.0,57.188,1518400,RHT
RHT,2000-03-22,58.0,59.25,55.5,58.0,2635300,RHT
RHT,2000-03-23,57.5,61.188,56.875,57.5,2056200,RHT
RHT,2000-03-24,60.5,61.125,58.0,60.5,2063500,RHT
RHT,2000-03-27,56.625,64.063,56.125,56.625,3858300,RHT
RHT,2000-03-28,50.125,56.5,49.5,50.125,4565800,RHT
RHT,2000-03-29,44.125,50.688,43.625,44.125,6501200,RHT
RHT,2000-03-30,40.25,43.0,39.625,40.25,6069500,RHT
RHT,2000-03-31,42.375,43.75,39.0,42.375,2592600,RHT
RHT,2000-04-03,42.125,46.688,40.375,42.125,3734500,RHT
RHT,2000-04-04,41.438,47.375,33.0,41.438,5058400,RHT
RHT,2000-04-05,40.938,45.313,38.25,40.938,2612700,RHT
RHT,2000-04-06,40.438,43.0,40.0,40.438,1891300,RHT
RHT,2000-04-07,38.125,41.375,37.25,38.125,2515800,RHT
RHT,2000-04-10,34.375,38.625,33.688,34.375,2619900,RHT
RHT,2000-04-11,31.875,38.125,31.25,31.875,1847400,RHT
RHT,2000-04-12,27.125,33.438,26.75,27.125,2615300,RHT
RHT,2000-04-13,28.0,32.5,26.563,28.0,3224100,RHT
RHT,2000-04-14,24.125,28.5,23.0,24.125,3208100,RHT
