Symbol,Date,Close,High,Low,Open,Volume,Name
RMD,1998-05-29,2.219,2.266,2.2035,2.25,235200,RMD
RMD,1998-06-01,2.223,2.2815,2.2035,2.205,632000,RMD
RMD,1998-06-02,2.266,2.266,2.25,2.265,120000,RMD
RMD,1998-06-03,2.258,2.258,2.25,2.258,129600,RMD
RMD,1998-06-04,2.2035,2.2735,2.2035,2.26,526400,RMD
RMD,1998-06-05,2.25,2.266,2.2035,2.25,132800,RMD
RMD,1998-06-08,2.258,2.2815,2.219,2.22,131200,RMD
RMD,1998-06-09,2.258,2.262,2.2345,2.235,891200,RMD
RMD,1998-06-10,2.2775,2.2775,2.25,2.25,102400,RMD
RMD,1998-06-11,2.2775,2.2775,2.25,2.275,60800,RMD
RMD,1998-06-12,2.2815,2.2815,2.2345,2.28,187200,RMD
RMD,1998-06-15,2.2815,2.2815,2.25,2.275,57600,RMD
RMD,1998-06-16,2.3285,2.3285,2.2345,2.265,416000,RMD
RMD,1998-06-17,2.4145,2.422,2.3125,2.33,235200,RMD
RMD,1998-06-18,2.4535,2.4535,2.4145,2.42,153600,RMD
RMD,1998-06-19,2.4375,2.5,2.4145,2.415,235200,RMD
RMD,1998-06-22,2.5,2.547,2.4375,2.475,540800,RMD
RMD,1998-06-23,2.5785,2.6875,2.5625,2.565,624000,RMD
RMD,1998-06-24,2.672,2.672,2.5625,2.565,603200,RMD
RMD,1998-06-25,2.7035,2.7815,2.672,2.705,2640000,RMD
RMD,1998-06-26,2.754,2.7895,2.727,2.75,2254400,RMD
RMD,1998-06-29,2.719,2.8125,2.719,2.78,2155200,RMD
RMD,1998-06-30,2.848,2.848,2.719,2.735,1387200,RMD
RMD,1998-07-01,2.8285,2.8285,2.75,2.8285,606400,RMD
RMD,1998-07-02,2.891,2.891,2.8125,2.845,641600,RMD
RMD,1998-07-03,2.891,2.891,2.8125,2.845,0,RMD
RMD,1998-07-06,2.93,2.93,2.875,2.875,462400,RMD
RMD,1998-07-07,2.969,3.0315,2.9375,2.94,2561600,RMD
RMD,1998-07-08,2.9535,3.0,2.9535,3.0,1550400,RMD
RMD,1998-07-09,3.016,3.086,2.9535,2.955,2822400,RMD
RMD,1998-07-10,3.016,3.0315,2.969,2.985,1252800,RMD
RMD,1998-07-13,2.973,3.0315,2.969,3.0,624000,RMD
RMD,1998-07-14,2.9145,2.969,2.9065,2.969,888000,RMD
RMD,1998-07-15,2.875,2.9065,2.844,2.89,377600,RMD
RMD,1998-07-16,2.973,3.016,2.844,2.845,875200,RMD
RMD,1998-07-17,2.9375,3.016,2.9375,3.0,1740800,RMD
RMD,1998-07-20,2.922,2.977,2.922,2.94,68800,RMD
RMD,1998-07-21,2.9535,2.9845,2.9535,2.9845,43200,RMD
RMD,1998-07-22,2.891,2.9535,2.891,2.92,945600,RMD
RMD,1998-07-23,2.8595,2.922,2.844,2.89,2508800,RMD
RMD,1998-07-24,2.891,2.9065,2.8595,2.86,1788800,RMD
RMD,1998-07-27,2.8125,2.9145,2.8125,2.875,803200,RMD
RMD,1998-07-28,2.719,2.875,2.719,2.875,467200,RMD
RMD,1998-07-29,2.68,2.797,2.68,2.795,2587200,RMD
RMD,1998-07-30,2.7035,2.766,2.6875,2.705,1272000,RMD
RMD,1998-07-31,2.805,2.8595,2.7035,2.75,1952000,RMD
RMD,1998-08-03,2.805,2.8595,2.766,2.845,390400,RMD
RMD,1998-08-04,2.75,2.8125,2.75,2.8125,451200,RMD
RMD,1998-08-05,2.7735,2.8125,2.75,2.8125,331200,RMD
