Symbol,Date,Close,High,Low,Open,Volume,Name
RRC,1998-05-29,8.083,8.292,7.959,8.21,191250,RRC
RRC,1998-06-01,8.0,8.167,8.0,8.09,216600,RRC
RRC,1998-06-02,7.833,8.042,7.75,8.04,152400,RRC
RRC,1998-06-03,7.5,7.917,7.5,7.75,127500,RRC
RRC,1998-06-04,7.542,7.709,7.542,7.59,153750,RRC
RRC,1998-06-05,7.709,7.792,7.583,7.75,229650,RRC
RRC,1998-06-08,7.583,7.75,7.583,7.71,177900,RRC
RRC,1998-06-09,7.333,7.583,7.25,7.54,317700,RRC
RRC,1998-06-10,7.167,7.417,7.167,7.37,383550,RRC
RRC,1998-06-11,6.709,7.042,6.667,7.04,787650,RRC
RRC,1998-06-12,6.667,6.792,6.542,6.67,345750,RRC
RRC,1998-06-15,6.5,6.667,6.459,6.667,400950,RRC
RRC,1998-06-16,6.792,6.833,6.5,6.54,300300,RRC
RRC,1998-06-17,6.875,7.167,6.875,6.96,122850,RRC
RRC,1998-06-18,6.792,6.833,6.667,6.83,286050,RRC
RRC,1998-06-19,6.875,7.0,6.792,6.83,122550,RRC
RRC,1998-06-22,6.792,6.917,6.792,6.917,78750,RRC
RRC,1998-06-23,7.125,7.167,6.833,6.87,262950,RRC
RRC,1998-06-24,7.209,7.25,7.083,7.13,245250,RRC
RRC,1998-06-25,7.209,7.292,7.125,7.25,165150,RRC
RRC,1998-06-26,7.0,7.292,7.0,7.29,180300,RRC
RRC,1998-06-29,6.667,7.042,6.667,7.0,116850,RRC
RRC,1998-06-30,6.959,6.959,6.75,6.75,257699,RRC
RRC,1998-07-01,6.875,7.167,6.875,6.92,59700,RRC
RRC,1998-07-02,6.792,6.875,6.709,6.79,94950,RRC
RRC,1998-07-03,6.792,6.875,6.709,6.79,0,RRC
RRC,1998-07-06,6.959,6.959,6.709,6.75,79350,RRC
RRC,1998-07-07,7.0,7.167,6.959,7.04,121950,RRC
RRC,1998-07-08,6.917,7.042,6.917,6.96,85500,RRC
RRC,1998-07-09,6.833,6.959,6.833,6.87,74100,RRC
RRC,1998-07-10,6.875,6.917,6.833,6.917,92100,RRC
RRC,1998-07-13,6.75,6.917,6.75,6.87,112200,RRC
RRC,1998-07-14,6.75,6.875,6.75,6.75,80100,RRC
RRC,1998-07-15,6.709,6.833,6.667,6.83,97050,RRC
RRC,1998-07-16,6.792,6.792,6.667,6.75,74100,RRC
RRC,1998-07-17,6.792,6.917,6.75,6.79,111000,RRC
RRC,1998-07-20,6.5,6.792,6.5,6.79,92700,RRC
RRC,1998-07-21,6.375,6.583,6.375,6.583,63150,RRC
RRC,1998-07-22,5.875,6.375,5.875,6.33,165150,RRC
RRC,1998-07-23,5.667,6.0,5.667,5.92,103950,RRC
RRC,1998-07-24,5.625,5.833,5.542,5.75,86250,RRC
RRC,1998-07-27,5.5,5.583,5.459,5.583,119550,RRC
RRC,1998-07-28,5.25,5.5,5.25,5.5,630300,RRC
RRC,1998-07-29,5.125,5.292,5.083,5.25,148500,RRC
RRC,1998-07-30,5.292,5.333,5.125,5.17,266100,RRC
RRC,1998-07-31,5.167,5.333,5.167,5.33,132900,RRC
RRC,1998-08-03,5.083,5.167,5.042,5.167,66450,RRC
RRC,1998-08-04,4.667,5.083,4.667,5.083,247800,RRC
RRC,1998-08-05,4.75,4.875,4.667,4.75,155850,RRC
RRC,1998-08-06,4.875,4.875,4.667,4.75,93300,RRC
RRC,1998-08-07,5.333,5.333,4.875,4.875,154950,RRC
RRC,1998-08-10,5.209,5.333,5.167,5.33,81300,RRC
RRC,1998-08-11,5.083,5.125,5.0,5.125,77850,RRC
RRC,1998-08-12,4.917,5.25,4.917,5.17,77100,RRC
RRC,1998-08-13,5.125,5.167,5.0,5.0,43650,RRC
RRC,1998-08-14,5.375,5.375,5.125,5.13,94500,RRC
RRC,1998-08-17,5.459,5.5,5.375,5.46,173850,RRC
RRC,1998-08-18,5.459,5.667,5.417,5.42,83400,RRC
RRC,1998-08-19,5.375,5.5,5.375,5.46,138450,RRC
RRC,1998-08-20,5.333,5.417,5.292,5.417,74400,RRC
RRC,1998-08-21,5.25,5.333,5.083,5.33,39150,RRC
RRC,1998-08-24,5.167,5.292,5.125,5.29,83100,RRC
RRC,1998-08-25,5.167,5.209,5.125,5.17,66750,RRC
RRC,1998-08-26,5.125,5.25,5.042,5.17,91200,RRC
RRC,1998-08-27,4.709,5.167,4.667,5.167,76950,RRC
RRC,1998-08-28,4.709,4.917,4.709,4.79,75000,RRC
RRC,1998-08-31,4.542,4.792,4.542,4.75,262050,RRC
RRC,1998-09-01,4.25,4.542,4.167,4.46,129300,RRC
RRC,1998-09-02,4.083,4.25,4.083,4.25,69000,RRC
RRC,1998-09-03,4.042,4.125,4.0,4.125,140850,RRC
RRC,1998-09-04,4.209,4.209,3.917,4.0,564750,RRC
RRC,1998-09-07,4.209,4.209,3.917,4.0,0,RRC
RRC,1998-09-08,4.583,4.667,4.417,4.42,96600,RRC
RRC,1998-09-09,4.583,4.917,4.583,4.67,87000,RRC
RRC,1998-09-10,4.5,4.625,4.459,4.625,560100,RRC
RRC,1998-09-11,4.5,4.5,4.25,4.37,686850,RRC
RRC,1998-09-14,5.083,5.167,4.667,4.67,141000,RRC
RRC,1998-09-15,5.083,5.209,4.959,5.09,59550,RRC
RRC,1998-09-16,5.292,5.333,5.042,5.042,51000,RRC
RRC,1998-09-17,5.042,5.167,5.0,5.167,196950,RRC
RRC,1998-09-18,5.083,5.333,4.917,5.13,262950,RRC
RRC,1998-09-21,5.083,5.167,5.0,5.13,60450,RRC
RRC,1998-09-22,5.042,5.125,5.042,5.09,78900,RRC
RRC,1998-09-23,5.083,5.083,4.959,5.04,184500,RRC
RRC,1998-09-24,5.042,5.125,5.0,5.04,45600,RRC
RRC,1998-09-25,4.959,5.0,4.875,5.0,110550,RRC
RRC,1998-09-28,4.709,5.333,4.667,5.0,141300,RRC
RRC,1998-09-29,4.583,4.792,4.542,4.67,84000,RRC
RRC,1998-09-30,4.75,4.959,4.625,4.67,290550,RRC
RRC,1998-10-01,4.542,4.667,4.542,4.667,76650,RRC
RRC,1998-10-02,4.167,4.5,4.125,4.5,542400,RRC
RRC,1998-10-05,3.875,4.083,3.875,4.083,84900,RRC
RRC,1998-10-06,4.042,4.125,3.792,3.92,205200,RRC
RRC,1998-10-07,3.917,4.083,3.917,4.04,43800,RRC
RRC,1998-10-08,3.417,3.917,3.209,3.87,305850,RRC
RRC,1998-10-09,3.292,3.5,3.292,3.42,175950,RRC
RRC,1998-10-12,3.209,3.417,3.167,3.33,153900,RRC
RRC,1998-10-13,2.917,3.375,2.792,3.17,406800,RRC
RRC,1998-10-14,2.917,2.959,2.875,2.92,161250,RRC
RRC,1998-10-15,2.792,2.959,2.75,2.959,470550,RRC
RRC,1998-10-16,2.417,3.167,2.333,2.87,1404000,RRC
RRC,1998-10-19,3.709,3.75,2.833,2.92,1073250,RRC
RRC,1998-10-20,3.833,4.167,3.709,3.71,305250,RRC
RRC,1998-10-21,3.583,3.833,3.583,3.75,132450,RRC
RRC,1998-10-22,4.0,4.042,3.542,3.542,259050,RRC
RRC,1998-10-23,4.209,4.25,3.875,3.96,751650,RRC
RRC,1998-10-26,4.25,4.375,4.209,4.25,164550,RRC
