Symbol,Date,Close,High,Low,Open,Volume,Name
SBAC,1999-06-16,8.875,9.313,8.125,8.875,5718100,SBAC
SBAC,1999-06-17,8.688,8.875,7.75,8.688,542200,SBAC
SBAC,1999-06-18,9.0,9.125,8.563,8.563,557600,SBAC
SBAC,1999-06-21,9.25,9.75,9.0,9.06,218000,SBAC
SBAC,1999-06-22,9.063,9.5,9.0,9.06,281400,SBAC
SBAC,1999-06-23,9.375,9.5,9.0,9.0,395200,SBAC
SBAC,1999-06-24,9.125,9.625,9.0,9.38,238100,SBAC
SBAC,1999-06-25,9.188,9.219,9.0,9.13,172400,SBAC
SBAC,1999-06-28,9.25,9.375,9.0,9.0,81400,SBAC
SBAC,1999-06-29,9.375,10.25,9.25,9.38,321500,SBAC
SBAC,1999-06-30,9.688,10.125,9.375,9.38,429900,SBAC
SBAC,1999-07-01,9.938,10.375,9.5,9.81,363500,SBAC
SBAC,1999-07-02,10.875,10.875,10.125,10.13,460800,SBAC
SBAC,1999-07-05,10.875,10.875,10.125,10.13,0,SBAC
SBAC,1999-07-06,10.688,11.0,10.5,10.88,565900,SBAC
SBAC,1999-07-07,10.875,11.125,10.375,10.6875,270500,SBAC
SBAC,1999-07-08,12.25,13.0,11.375,11.5,1793800,SBAC
SBAC,1999-07-09,13.5,13.75,12.188,12.25,1738400,SBAC
SBAC,1999-07-12,14.813,15.375,13.625,14.0,5465000,SBAC
SBAC,1999-07-13,13.375,15.313,12.625,15.31,2568600,SBAC
SBAC,1999-07-14,13.375,13.75,11.875,13.44,970700,SBAC
SBAC,1999-07-15,13.125,14.0,12.75,13.375,404500,SBAC
SBAC,1999-07-16,14.0,14.25,13.188,13.38,793100,SBAC
SBAC,1999-07-19,14.0,14.375,13.5,14.13,336500,SBAC
SBAC,1999-07-20,12.938,14.063,12.5,14.0,324300,SBAC
SBAC,1999-07-21,12.5,13.313,12.5,13.0,237600,SBAC
SBAC,1999-07-22,12.0,12.75,11.875,12.75,165100,SBAC
SBAC,1999-07-23,11.5,12.25,11.0,12.13,178500,SBAC
SBAC,1999-07-26,10.375,11.5,9.75,11.5,370500,SBAC
SBAC,1999-07-27,10.375,10.875,9.875,10.41,312600,SBAC
SBAC,1999-07-28,11.25,11.875,10.25,10.56,176700,SBAC
SBAC,1999-07-29,11.375,11.75,10.563,11.0,165400,SBAC
SBAC,1999-07-30,11.125,12.0,10.5,11.375,182400,SBAC
SBAC,1999-08-02,11.25,13.25,10.875,11.5,503900,SBAC
SBAC,1999-08-03,12.125,12.5,11.625,11.75,265300,SBAC
SBAC,1999-08-04,11.5,12.063,11.25,12.0,186900,SBAC
SBAC,1999-08-05,11.625,11.625,10.25,11.38,188600,SBAC
SBAC,1999-08-06,11.0,11.5,10.5,11.5,77400,SBAC
SBAC,1999-08-09,10.0,11.438,9.875,11.06,105900,SBAC
SBAC,1999-08-10,9.156,10.25,9.063,9.88,369700,SBAC
SBAC,1999-08-11,9.875,10.0,9.125,9.5,351000,SBAC
SBAC,1999-08-12,10.938,11.5,10.0,10.44,413900,SBAC
SBAC,1999-08-13,11.0,11.625,10.625,11.38,275600,SBAC
SBAC,1999-08-16,10.875,11.25,10.75,11.25,98900,SBAC
SBAC,1999-08-17,11.5,11.5,10.875,11.0,149100,SBAC
SBAC,1999-08-18,10.938,11.625,10.938,11.5,100300,SBAC
SBAC,1999-08-19,11.125,11.313,10.75,10.97,39200,SBAC
SBAC,1999-08-20,11.25,11.375,11.0,11.25,42400,SBAC
SBAC,1999-08-23,10.938,11.5,10.875,11.44,65000,SBAC
SBAC,1999-08-24,11.125,11.25,10.625,11.25,108000,SBAC
SBAC,1999-08-25,11.0,11.25,10.875,10.88,101300,SBAC
SBAC,1999-08-26,10.0,11.0938,10.0,11.0938,93600,SBAC
SBAC,1999-08-27,10.938,11.063,10.625,10.94,434800,SBAC
