Symbol,Date,Close,High,Low,Open,Volume,Name
SBUX,1998-05-29,3.0,3.0705,2.9415,3.06,13638400,SBUX
SBUX,1998-06-01,2.9455,2.9845,2.926,2.975,4705600,SBUX
SBUX,1998-06-02,2.9535,2.9845,2.9105,2.955,5400000,SBUX
SBUX,1998-06-03,2.922,3.016,2.922,2.97,7891200,SBUX
SBUX,1998-06-04,2.969,2.977,2.9145,2.955,3828800,SBUX
SBUX,1998-06-05,2.9925,3.0315,2.969,2.99,6451200,SBUX
SBUX,1998-06-08,3.086,3.1135,2.9925,3.01,11545600,SBUX
SBUX,1998-06-09,3.0665,3.094,3.055,3.094,7499200,SBUX
SBUX,1998-06-10,3.02,3.094,3.016,3.065,6507200,SBUX
SBUX,1998-06-11,3.0,3.059,2.9845,3.025,9036800,SBUX
SBUX,1998-06-12,3.0705,3.086,2.9845,3.0,14073600,SBUX
SBUX,1998-06-15,3.1215,3.172,3.055,3.055,21200000,SBUX
SBUX,1998-06-16,3.145,3.2075,3.086,3.17,15035200,SBUX
SBUX,1998-06-17,3.3635,3.385,3.125,3.15,41262400,SBUX
SBUX,1998-06-18,3.219,3.3635,3.215,3.36,24569600,SBUX
SBUX,1998-06-19,3.098,3.2345,3.0705,3.225,33691200,SBUX
SBUX,1998-06-22,3.1055,3.1875,3.0785,3.095,15160000,SBUX
SBUX,1998-06-23,3.0395,3.176,2.9845,3.135,20174400,SBUX
SBUX,1998-06-24,3.1955,3.215,3.0235,3.03,42720000,SBUX
SBUX,1998-06-25,3.2855,3.3285,3.219,3.225,34699200,SBUX
SBUX,1998-06-26,3.383,3.383,3.266,3.28,10614400,SBUX
SBUX,1998-06-29,3.375,3.422,3.336,3.36,15840000,SBUX
SBUX,1998-06-30,3.34,3.375,3.3285,3.36,11044800,SBUX
SBUX,1998-07-01,3.2895,3.352,3.25,3.35,24323200,SBUX
SBUX,1998-07-02,3.5395,3.5705,3.3205,3.36,35280000,SBUX
SBUX,1998-07-03,3.5395,3.5705,3.3205,3.36,0,SBUX
SBUX,1998-07-06,3.6289,3.8281,3.3926,3.5391,18870576,SBUX
SBUX,1998-07-07,3.504,3.6645,3.473,3.65,18201600,SBUX
SBUX,1998-07-08,3.5705,3.602,3.512,3.512,8963200,SBUX
SBUX,1998-07-09,3.6135,3.641,3.543,3.585,9838400,SBUX
SBUX,1998-07-10,3.5665,3.6175,3.504,3.6175,6932800,SBUX
SBUX,1998-07-13,3.6175,3.672,3.5235,3.58,10361600,SBUX
SBUX,1998-07-14,3.547,3.6485,3.547,3.635,7001600,SBUX
SBUX,1998-07-15,3.5235,3.5785,3.4925,3.565,12483200,SBUX
SBUX,1998-07-16,3.4455,3.516,3.434,3.515,13227200,SBUX
SBUX,1998-07-17,3.5395,3.5785,3.4575,3.4575,14900800,SBUX
SBUX,1998-07-20,3.508,3.5625,3.477,3.5625,4715200,SBUX
