Symbol,Date,Close,High,Low,Open,Volume,Name
SCHW,1998-05-29,7.375,7.542,7.333,7.4,3193200,SCHW
SCHW,1998-06-01,7.375,7.403,7.181,7.34,2874600,SCHW
SCHW,1998-06-02,7.403,7.597,7.361,7.597,3517200,SCHW
SCHW,1998-06-03,7.361,7.583,7.347,7.47,2541600,SCHW
SCHW,1998-06-04,7.542,7.583,7.333,7.35,2658150,SCHW
SCHW,1998-06-05,7.639,7.653,7.5,7.61,1116000,SCHW
SCHW,1998-06-08,7.875,7.931,7.556,7.66,4006350,SCHW
SCHW,1998-06-09,7.903,7.973,7.778,7.87,2042549,SCHW
SCHW,1998-06-10,7.889,8.014,7.861,7.95,1712250,SCHW
SCHW,1998-06-11,7.639,7.931,7.639,7.88,2838150,SCHW
SCHW,1998-06-12,7.333,7.639,7.278,7.63,4857750,SCHW
SCHW,1998-06-15,6.973,7.306,6.917,7.2,5623200,SCHW
SCHW,1998-06-16,6.931,7.111,6.82,6.99,4606650,SCHW
SCHW,1998-06-17,7.097,7.195,6.875,6.88,4185450,SCHW
SCHW,1998-06-18,6.987,7.223,6.987,7.06,2137500,SCHW
SCHW,1998-06-19,6.806,7.111,6.806,7.02,2925000,SCHW
SCHW,1998-06-22,6.861,7.0,6.82,6.83,1953900,SCHW
SCHW,1998-06-23,6.667,6.847,6.625,6.76,7860600,SCHW
SCHW,1998-06-24,6.639,6.709,6.625,6.66,5218200,SCHW
SCHW,1998-06-25,6.583,6.653,6.57,6.62,4786650,SCHW
SCHW,1998-06-26,6.709,6.806,6.556,6.62,3496050,SCHW
SCHW,1998-06-29,7.042,7.153,6.833,6.84,3521250,SCHW
SCHW,1998-06-30,7.25,7.32,7.042,7.06,5912550,SCHW
SCHW,1998-07-01,7.723,7.806,7.417,7.45,8464050,SCHW
SCHW,1998-07-02,7.806,7.847,7.709,7.81,3771450,SCHW
SCHW,1998-07-03,7.806,7.847,7.709,7.81,0,SCHW
SCHW,1998-07-06,7.792,7.987,7.737,7.987,4212900,SCHW
SCHW,1998-07-07,7.917,7.945,7.792,7.84,3236850,SCHW
SCHW,1998-07-08,8.139,8.195,7.875,7.88,4467600,SCHW
SCHW,1998-07-09,7.903,8.195,7.833,8.16,3360150,SCHW
SCHW,1998-07-10,8.07,8.097,7.737,7.98,4437450,SCHW
SCHW,1998-07-13,8.028,8.097,7.917,8.097,2248200,SCHW
SCHW,1998-07-14,7.917,8.0,7.861,7.87,2474550,SCHW
SCHW,1998-07-15,7.806,7.889,7.75,7.889,2826900,SCHW
SCHW,1998-07-16,8.181,8.195,7.778,7.83,3932100,SCHW
SCHW,1998-07-17,9.167,9.667,8.237,8.31,16554150,SCHW
SCHW,1998-07-20,9.361,10.195,8.973,9.04,14982750,SCHW
SCHW,1998-07-21,9.417,9.445,9.195,9.32,7175250,SCHW
SCHW,1998-07-22,9.528,9.792,9.333,9.34,5246100,SCHW
SCHW,1998-07-23,8.723,9.306,8.723,9.23,4503600,SCHW
SCHW,1998-07-24,8.931,8.987,8.583,8.73,3133350,SCHW
SCHW,1998-07-27,9.0,9.014,8.473,8.82,3944250,SCHW
SCHW,1998-07-28,8.5,8.945,8.459,8.945,2851650,SCHW
SCHW,1998-07-29,8.417,8.723,8.361,8.56,2587950,SCHW
SCHW,1998-07-30,8.431,8.556,8.375,8.48,2264850,SCHW
SCHW,1998-07-31,8.333,8.514,8.292,8.5,2310750,SCHW
SCHW,1998-08-03,8.237,8.347,8.014,8.34,2783250,SCHW
SCHW,1998-08-04,7.82,8.473,7.806,8.4,4124700,SCHW
SCHW,1998-08-05,7.806,7.973,7.667,7.83,3681450,SCHW
SCHW,1998-08-06,8.32,8.375,7.75,7.79,2853000,SCHW
SCHW,1998-08-07,8.542,8.792,8.237,8.33,2795400,SCHW
SCHW,1998-08-10,8.014,8.431,8.0,8.43,2735100,SCHW
SCHW,1998-08-11,7.875,7.931,7.667,7.88,2935350,SCHW
SCHW,1998-08-12,8.097,8.209,7.959,7.99,1835100,SCHW
SCHW,1998-08-13,8.097,8.32,8.042,8.23,2848050,SCHW
SCHW,1998-08-14,7.792,8.195,7.681,8.09,3399300,SCHW
SCHW,1998-08-17,8.278,8.333,7.667,7.79,3560400,SCHW
SCHW,1998-08-18,8.57,8.583,8.181,8.34,2560950,SCHW
SCHW,1998-08-19,8.097,8.653,8.097,8.56,2516850,SCHW
SCHW,1998-08-20,8.014,8.125,7.973,8.11,2115900,SCHW
SCHW,1998-08-21,7.806,7.889,7.653,7.889,2654100,SCHW
SCHW,1998-08-24,7.959,8.167,7.792,7.93,1951650,SCHW
SCHW,1998-08-25,8.223,8.25,7.987,8.01,2713950,SCHW
SCHW,1998-08-26,7.987,8.223,7.973,8.17,3744900,SCHW
SCHW,1998-08-27,7.25,7.903,7.209,7.9,4718250,SCHW
SCHW,1998-08-28,7.139,7.431,6.945,7.34,4749300,SCHW
SCHW,1998-08-31,6.639,7.237,6.583,7.13,6255000,SCHW
SCHW,1998-09-01,6.75,6.875,6.167,6.65,8408700,SCHW
SCHW,1998-09-02,6.945,7.487,6.806,6.88,5257350,SCHW
SCHW,1998-09-03,6.833,6.973,6.473,6.56,3890700,SCHW
SCHW,1998-09-04,6.792,6.959,6.653,6.84,3724650,SCHW
SCHW,1998-09-07,6.792,6.959,6.653,6.84,0,SCHW
SCHW,1998-09-08,7.625,7.723,7.223,7.23,3805200,SCHW
SCHW,1998-09-09,7.583,7.611,7.333,7.51,3830850,SCHW
SCHW,1998-09-10,7.195,7.375,7.014,7.37,4637700,SCHW
SCHW,1998-09-11,7.556,7.556,6.903,7.06,2711700,SCHW
SCHW,1998-09-14,7.833,7.931,7.611,7.62,2966400,SCHW
SCHW,1998-09-15,8.264,8.292,7.723,7.79,3661650,SCHW
SCHW,1998-09-16,9.014,9.07,8.625,8.68,9591300,SCHW
SCHW,1998-09-17,8.737,8.778,8.347,8.51,4192650,SCHW
SCHW,1998-09-18,8.931,8.945,8.695,8.86,6317550,SCHW
SCHW,1998-09-21,8.681,8.75,8.153,8.51,4551300,SCHW
SCHW,1998-09-22,9.014,9.042,8.778,8.8,4361850,SCHW
SCHW,1998-09-23,9.583,9.583,8.959,9.05,4607550,SCHW
SCHW,1998-09-24,8.903,9.556,8.723,9.4,4905450,SCHW
SCHW,1998-09-25,9.042,9.097,8.625,8.87,2731500,SCHW
SCHW,1998-09-28,9.223,9.556,9.097,9.11,4674150,SCHW
SCHW,1998-09-29,9.028,9.32,9.014,9.23,2564550,SCHW
