Symbol,Date,Close,High,Low,Open,Volume,Name
SJM,1998-05-29,25.199,25.794,25.199,25.794,22018,SJM
SJM,1998-06-01,25.397,25.463,24.868,25.3968,33453,SJM
SJM,1998-06-02,25.529,25.728,25.397,25.529,31657,SJM
SJM,1998-06-03,25.397,25.529,25.067,25.3968,17104,SJM
SJM,1998-06-04,25.397,25.463,25.199,25.3968,17104,SJM
SJM,1998-06-05,25.397,25.463,25.199,25.3968,13041,SJM
SJM,1998-06-08,25.397,25.794,25.397,25.794,10584,SJM
SJM,1998-06-09,25.86,25.993,25.463,25.86,16159,SJM
SJM,1998-06-10,25.331,25.86,25.331,25.86,6237,SJM
SJM,1998-06-11,24.868,25.397,24.405,24.868,19372,SJM
SJM,1998-06-12,24.802,24.802,24.603,24.802,7654,SJM
SJM,1998-06-15,24.67,24.67,24.074,24.67,30334,SJM
SJM,1998-06-16,25.397,25.397,24.603,25.3968,21924,SJM
SJM,1998-06-17,26.19,26.19,25.132,26.19,21262,SJM
SJM,1998-06-18,25.728,26.125,25.596,25.728,20317,SJM
SJM,1998-06-19,25.0,25.596,25.0,25.0,26932,SJM
SJM,1998-06-22,25.067,25.331,24.934,25.067,10206,SJM
SJM,1998-06-23,25.067,25.199,25.067,25.067,6993,SJM
SJM,1998-06-24,25.331,25.529,25.132,25.331,22491,SJM
SJM,1998-06-25,26.455,26.455,25.265,26.455,35532,SJM
SJM,1998-06-26,26.19,26.522,26.19,26.19,11056,SJM
SJM,1998-06-29,26.257,26.455,25.926,26.257,14080,SJM
SJM,1998-06-30,26.257,26.455,26.257,26.257,29578,SJM
SJM,1998-07-01,26.323,26.522,26.19,26.323,15592,SJM
SJM,1998-07-02,26.455,26.587,26.257,26.455,10489,SJM
SJM,1998-07-03,26.455,26.587,26.257,26.455,0,SJM
SJM,1998-07-06,26.389,26.455,26.323,26.389,12757,SJM
SJM,1998-07-07,26.257,26.389,26.257,26.257,26082,SJM
SJM,1998-07-08,26.389,26.389,26.257,26.389,16159,SJM
SJM,1998-07-09,26.323,26.389,26.257,26.323,10867,SJM
