Symbol,Date,Close,High,Low,Open,Volume,Name
STT,1998-05-29,34.469,34.563,34.0,34.06,468000,STT
STT,1998-06-01,34.25,34.969,34.063,34.47,377600,STT
STT,1998-06-02,33.5,34.469,33.5,34.31,317800,STT
STT,1998-06-03,33.032,33.969,33.032,33.63,495800,STT
STT,1998-06-04,33.219,33.282,32.563,33.03,477400,STT
STT,1998-06-05,33.969,34.282,33.063,33.19,335800,STT
STT,1998-06-08,34.032,34.532,33.969,34.22,254199,STT
STT,1998-06-09,34.0,34.25,33.438,33.75,287400,STT
STT,1998-06-10,33.75,34.594,33.75,33.97,297400,STT
STT,1998-06-11,33.094,33.938,33.0,33.63,375800,STT
STT,1998-06-12,33.313,33.344,32.344,33.22,332800,STT
STT,1998-06-15,32.719,33.157,32.719,33.0,245400,STT
STT,1998-06-16,32.7188,33.375,32.2812,32.75,482600,STT
STT,1998-06-17,33.75,34.219,32.719,32.72,605000,STT
STT,1998-06-18,34.282,34.5,33.813,33.88,477200,STT
STT,1998-06-19,33.688,34.313,33.657,33.94,497800,STT
STT,1998-06-22,33.813,34.188,33.625,33.63,222000,STT
STT,1998-06-23,34.25,34.625,33.813,33.813,319200,STT
STT,1998-06-24,34.907,35.313,34.157,34.16,556800,STT
STT,1998-06-25,35.063,35.188,34.344,34.91,535200,STT
STT,1998-06-26,34.875,35.282,34.594,35.19,377600,STT
STT,1998-06-29,34.657,34.969,34.657,34.969,444200,STT
STT,1998-06-30,34.75,34.875,34.25,34.78,549200,STT
STT,1998-07-01,34.969,34.969,34.563,34.78,529600,STT
STT,1998-07-02,34.938,35.375,34.625,34.97,330200,STT
STT,1998-07-03,34.938,35.375,34.625,34.97,0,STT
STT,1998-07-06,34.969,35.188,34.813,35.06,270600,STT
STT,1998-07-07,34.719,35.219,34.625,34.97,433000,STT
STT,1998-07-08,35.532,35.625,34.782,34.91,688200,STT
STT,1998-07-09,34.875,35.875,34.782,35.875,548200,STT
