Symbol,Date,Close,High,Low,Open,Volume,Name
STZ,1998-05-29,5.766,6.0,5.735,5.89,1342400,STZ
STZ,1998-06-01,5.907,5.938,5.735,5.77,596800,STZ
STZ,1998-06-02,5.985,6.141,5.891,6.0,1119200,STZ
STZ,1998-06-03,6.125,6.125,6.0,6.0,420800,STZ
STZ,1998-06-04,6.157,6.157,6.0,6.13,358400,STZ
STZ,1998-06-05,6.454,6.469,6.125,6.17,770400,STZ
STZ,1998-06-08,6.438,6.547,6.375,6.45,417600,STZ
STZ,1998-06-09,6.262,6.454,6.188,6.45,380000,STZ
STZ,1998-06-10,6.063,6.344,6.063,6.28,748800,STZ
STZ,1998-06-11,6.305,6.313,6.063,6.063,486400,STZ
STZ,1998-06-12,6.266,6.329,6.219,6.22,847200,STZ
STZ,1998-06-15,6.157,6.25,6.157,6.19,163200,STZ
STZ,1998-06-16,6.219,6.282,6.157,6.16,79200,STZ
STZ,1998-06-17,6.282,6.313,6.219,6.28,941600,STZ
STZ,1998-06-18,6.157,6.282,5.875,6.28,2103200,STZ
STZ,1998-06-19,6.11,6.188,6.094,6.14,1345600,STZ
STZ,1998-06-22,5.969,6.157,5.907,6.09,1731200,STZ
STZ,1998-06-23,5.969,6.25,5.817,6.09,2241600,STZ
STZ,1998-06-24,5.891,5.922,5.782,5.92,1607200,STZ
STZ,1998-06-25,5.922,6.0,5.579,5.91,2149600,STZ
STZ,1998-06-26,6.063,6.094,5.844,5.844,2796800,STZ
STZ,1998-06-29,6.094,6.25,6.0,6.09,781600,STZ
STZ,1998-06-30,6.149,6.204,6.047,6.05,1093600,STZ
STZ,1998-07-01,6.157,6.196,6.0,6.09,478400,STZ
STZ,1998-07-02,6.102,6.282,6.063,6.13,1480800,STZ
STZ,1998-07-03,6.102,6.282,6.063,6.13,0,STZ
STZ,1998-07-06,6.188,6.266,6.055,6.1,1071200,STZ
STZ,1998-07-07,5.922,6.25,5.891,6.24,1370400,STZ
STZ,1998-07-08,5.954,6.0,5.829,6.0,322400,STZ
