Symbol,Date,Close,High,Low,Open,Volume,Name
TAP,1998-05-29,18.75,19.125,18.75,19.065,157200,TAP
TAP,1998-06-01,19.6875,19.6875,18.75,18.75,215200,TAP
TAP,1998-06-02,19.5,19.75,19.25,19.625,255800,TAP
TAP,1998-06-03,19.1875,19.75,19.0625,19.75,159200,TAP
TAP,1998-06-04,18.5,19.0625,18.25,19.0625,369800,TAP
TAP,1998-06-05,19.125,19.125,18.3125,18.625,292400,TAP
TAP,1998-06-08,19.25,19.375,18.875,19.125,122600,TAP
TAP,1998-06-09,18.75,19.625,18.75,19.375,327600,TAP
TAP,1998-06-10,18.6875,19.125,18.633,19.0,157800,TAP
TAP,1998-06-11,18.2815,19.0,18.2815,18.69,151600,TAP
TAP,1998-06-12,18.6875,18.7815,18.2815,18.2815,77600,TAP
TAP,1998-06-15,18.8125,19.0315,18.4375,18.75,170000,TAP
TAP,1998-06-16,18.375,19.0,18.3125,18.815,141000,TAP
TAP,1998-06-17,18.9065,19.2345,18.3125,18.315,260799,TAP
TAP,1998-06-18,19.3125,19.3125,18.5315,18.75,403800,TAP
TAP,1998-06-19,18.8125,19.3125,18.5625,19.19,449600,TAP
TAP,1998-06-22,19.0,19.3125,18.75,18.815,240800,TAP
TAP,1998-06-23,19.0625,19.4375,19.0625,19.25,181200,TAP
TAP,1998-06-24,17.9065,19.0,17.4375,19.0,947000,TAP
TAP,1998-06-25,18.0,18.375,17.875,18.19,213600,TAP
TAP,1998-06-26,18.9375,19.125,17.875,17.875,383400,TAP
TAP,1998-06-29,18.1405,19.0625,18.125,18.875,547200,TAP
TAP,1998-06-30,17.0,18.469,17.0,18.125,552200,TAP
TAP,1998-07-01,18.25,18.5,17.1875,17.375,538200,TAP
TAP,1998-07-02,18.0,18.375,17.75,18.375,272800,TAP
TAP,1998-07-03,18.0,18.375,17.75,18.375,0,TAP
TAP,1998-07-06,18.0,18.125,17.5625,18.065,125000,TAP
TAP,1998-07-07,17.7815,18.0625,17.375,17.375,70200,TAP
TAP,1998-07-08,17.6875,18.0,17.5,17.97,250600,TAP
TAP,1998-07-09,17.6565,17.8125,17.4375,17.44,48200,TAP
TAP,1998-07-10,17.969,18.0625,17.625,17.75,144400,TAP
TAP,1998-07-13,18.0,18.0625,17.75,17.75,162400,TAP
TAP,1998-07-14,18.0625,18.094,17.75,17.75,92400,TAP
TAP,1998-07-15,17.875,18.219,17.875,18.125,107200,TAP
TAP,1998-07-16,18.1875,18.25,17.9375,18.0,173600,TAP
TAP,1998-07-17,18.375,18.375,18.0,18.25,196600,TAP
TAP,1998-07-20,17.625,18.375,17.594,18.375,129000,TAP
TAP,1998-07-21,17.6875,17.875,17.5,17.815,134400,TAP
TAP,1998-07-22,18.469,19.0,17.625,17.625,431400,TAP
TAP,1998-07-23,19.75,20.1875,19.25,19.25,796200,TAP
TAP,1998-07-24,19.5315,19.75,19.5,19.69,1053400,TAP
TAP,1998-07-27,19.125,19.5625,18.9375,19.44,191000,TAP
TAP,1998-07-28,18.8125,19.3125,18.5625,19.125,193400,TAP
TAP,1998-07-29,18.875,19.0625,18.5625,18.875,229600,TAP
TAP,1998-07-30,18.875,19.1875,18.75,18.75,170400,TAP
TAP,1998-07-31,18.8595,19.5,18.75,19.375,229000,TAP
TAP,1998-08-03,18.25,18.7655,18.1875,18.69,467400,TAP
TAP,1998-08-04,18.1565,18.625,18.125,18.25,340800,TAP
TAP,1998-08-05,18.25,18.3125,18.0625,18.3125,415400,TAP
TAP,1998-08-06,18.219,18.3125,18.0625,18.065,211200,TAP
TAP,1998-08-07,18.4375,18.5625,18.219,18.25,223000,TAP
TAP,1998-08-10,18.719,18.8125,18.469,18.69,587600,TAP
TAP,1998-08-11,18.875,18.875,18.4065,18.5,488800,TAP
TAP,1998-08-12,19.719,19.75,18.8125,18.94,793600,TAP
TAP,1998-08-13,19.8125,19.875,19.328,19.75,371600,TAP
TAP,1998-08-14,19.6875,20.5,19.6875,20.125,558000,TAP
TAP,1998-08-17,20.5625,20.625,19.5,19.625,415000,TAP
TAP,1998-08-18,20.6875,21.1565,20.375,20.625,373600,TAP
TAP,1998-08-19,19.8125,20.8125,19.8125,20.8125,302200,TAP
TAP,1998-08-20,19.75,19.875,19.594,19.875,188800,TAP
TAP,1998-08-21,19.6875,19.75,19.4065,19.75,293800,TAP
TAP,1998-08-24,20.0625,20.125,19.5,19.94,126800,TAP
TAP,1998-08-25,20.1875,21.0,20.1565,20.19,436200,TAP
TAP,1998-08-26,20.0625,20.6875,19.5,19.5,449200,TAP
TAP,1998-08-27,20.0155,20.5,19.8125,20.315,374000,TAP
TAP,1998-08-28,20.1875,20.5625,19.5,20.25,318200,TAP
TAP,1998-08-31,20.625,21.5625,20.375,20.69,567600,TAP
TAP,1998-09-01,22.5625,22.6875,20.5625,20.595,1269000,TAP
TAP,1998-09-02,22.5,23.375,22.4375,22.565,1015800,TAP
TAP,1998-09-03,22.5,22.9375,22.25,22.315,517000,TAP
TAP,1998-09-04,22.0625,22.6875,21.625,22.25,471400,TAP
TAP,1998-09-07,22.0625,22.6875,21.625,22.25,0,TAP
TAP,1998-09-08,22.094,22.5,21.953,22.375,318400,TAP
TAP,1998-09-09,23.3125,23.5625,21.8125,22.065,581200,TAP
TAP,1998-09-10,23.3125,23.75,22.9375,22.94,425600,TAP
TAP,1998-09-11,24.6875,24.9375,23.375,23.44,685000,TAP
TAP,1998-09-14,24.25,25.375,24.25,24.655,478000,TAP
TAP,1998-09-15,24.5,24.625,24.0625,24.19,504600,TAP
TAP,1998-09-16,24.1875,24.875,24.0625,24.69,326000,TAP
TAP,1998-09-17,24.25,24.25,23.25,24.125,343400,TAP
TAP,1998-09-18,25.9375,26.219,24.375,24.375,700200,TAP
TAP,1998-09-21,26.219,26.6875,25.375,25.375,461000,TAP
TAP,1998-09-22,27.0315,28.25,26.3125,26.315,1130200,TAP
TAP,1998-09-23,26.4375,27.75,26.125,27.19,910000,TAP
TAP,1998-09-24,25.8125,26.375,25.5,26.125,506800,TAP
TAP,1998-09-25,25.25,26.0625,24.969,25.375,428600,TAP
TAP,1998-09-28,21.625,25.75,21.625,25.75,1053600,TAP
TAP,1998-09-29,23.0,23.0625,22.0625,22.375,537600,TAP
TAP,1998-09-30,22.969,23.5,22.7815,23.0,778800,TAP
TAP,1998-10-01,22.5315,23.1875,22.4065,22.875,522599,TAP
TAP,1998-10-02,24.0625,24.3125,22.5,22.565,700000,TAP
TAP,1998-10-05,24.219,24.6565,23.6875,23.845,543000,TAP
TAP,1998-10-06,24.6875,25.25,24.1875,24.69,621600,TAP
TAP,1998-10-07,24.719,25.0625,24.375,24.875,140800,TAP
TAP,1998-10-08,24.4065,24.5,23.6875,24.125,386600,TAP
TAP,1998-10-09,24.4375,24.9375,24.1875,24.625,252000,TAP
TAP,1998-10-12,24.5,25.25,24.2815,24.625,277400,TAP
TAP,1998-10-13,24.4375,25.0,24.0,24.565,533000,TAP
TAP,1998-10-14,25.344,25.719,24.4375,24.815,304200,TAP
TAP,1998-10-15,25.3125,25.875,25.125,25.125,361200,TAP
TAP,1998-10-16,25.0,25.875,24.9375,25.625,324800,TAP
TAP,1998-10-19,25.875,25.875,24.625,25.0,181000,TAP
TAP,1998-10-20,24.0,25.875,23.875,25.625,385000,TAP
TAP,1998-10-21,25.625,25.6875,23.875,24.19,529200,TAP
TAP,1998-10-22,25.6875,26.875,25.1875,25.25,405400,TAP
TAP,1998-10-23,23.9375,25.3125,23.125,25.3125,503399,TAP
TAP,1998-10-26,24.625,25.25,23.844,24.25,405000,TAP
TAP,1998-10-27,25.0,25.0625,24.6875,24.875,111000,TAP
TAP,1998-10-28,24.4375,25.25,24.4375,25.0,273400,TAP
TAP,1998-10-29,25.125,25.219,24.375,24.375,426800,TAP
TAP,1998-10-30,25.0,25.625,24.8125,25.315,394400,TAP
TAP,1998-11-02,24.9375,25.219,24.9375,25.219,242600,TAP
TAP,1998-11-03,25.0,25.125,24.9375,25.125,176200,TAP
TAP,1998-11-04,25.3125,25.3125,24.9375,25.25,154200,TAP
TAP,1998-11-05,25.203,25.25,24.9375,24.94,92000,TAP
TAP,1998-11-06,25.9375,26.4375,25.3125,25.565,216400,TAP
TAP,1998-11-09,25.75,26.25,25.125,26.19,225000,TAP
TAP,1998-11-10,26.0625,26.625,25.6875,25.875,264800,TAP
TAP,1998-11-11,25.9375,26.375,25.25,26.125,149000,TAP
TAP,1998-11-12,26.0625,26.625,25.6875,,264800,TAP
TAP,1998-11-13,25.1875,25.75,25.125,25.75,94200,TAP
TAP,1998-11-16,25.375,25.625,25.0625,25.565,81000,TAP
TAP,1998-11-17,25.219,25.4375,25.0,25.4375,411600,TAP
TAP,1998-11-18,25.0,25.1875,24.875,25.125,91200,TAP
TAP,1998-11-19,24.719,25.0,24.469,25.0,69600,TAP
TAP,1998-11-20,24.8125,24.9375,24.5315,24.655,237000,TAP
TAP,1998-11-23,25.3125,25.375,24.8125,25.0,236600,TAP
TAP,1998-11-24,25.344,25.625,25.125,25.315,208400,TAP
TAP,1998-11-25,25.344,25.625,25.125,25.315,0,TAP
TAP,1998-11-26,25.344,25.625,25.125,25.315,0,TAP
TAP,1998-11-27,25.625,25.625,25.469,25.47,20400,TAP
TAP,1998-11-30,24.875,25.844,24.875,25.815,111000,TAP
TAP,1998-12-01,25.6875,25.75,25.0,25.315,216200,TAP
TAP,1998-12-02,25.25,25.8125,25.125,25.47,199000,TAP
TAP,1998-12-03,24.844,25.3125,24.844,25.19,243400,TAP
TAP,1998-12-04,25.25,25.25,24.844,25.0,271000,TAP
TAP,1998-12-07,25.75,25.875,25.0,25.315,164000,TAP
TAP,1998-12-08,25.875,26.4065,25.5,25.875,187600,TAP
TAP,1998-12-09,26.375,26.625,25.969,25.97,191600,TAP
TAP,1998-12-10,25.0625,26.4375,25.0625,26.4375,203600,TAP
TAP,1998-12-11,26.125,26.125,25.5315,26.0,373600,TAP
TAP,1998-12-14,26.219,26.5,25.7815,25.845,140200,TAP
TAP,1998-12-15,26.5625,26.5625,25.9375,26.25,139600,TAP
TAP,1998-12-16,26.4065,26.9375,26.125,26.25,268600,TAP
TAP,1998-12-17,27.375,27.5625,26.375,26.375,372000,TAP
TAP,1998-12-18,27.2815,27.6875,27.0625,27.345,361800,TAP
TAP,1998-12-21,27.125,27.75,27.0625,27.375,175400,TAP
TAP,1998-12-22,26.625,27.625,26.5625,27.5,237200,TAP
TAP,1998-12-23,26.5315,27.125,26.375,27.125,121400,TAP
TAP,1998-12-24,26.6875,26.8125,26.5,26.75,62799,TAP
TAP,1998-12-25,26.6875,26.8125,26.5,26.75,0,TAP
TAP,1998-12-28,26.0,26.969,25.844,26.875,117000,TAP
TAP,1998-12-29,26.3125,26.5625,25.9375,26.25,318800,TAP
TAP,1998-12-30,27.0,27.125,26.344,26.44,237800,TAP
TAP,1998-12-31,28.219,28.375,27.0,27.065,341000,TAP
TAP,1999-01-01,28.219,28.375,27.0,27.065,0,TAP
TAP,1999-01-04,28.5315,28.969,27.875,27.94,543800,TAP
TAP,1999-01-05,29.2815,29.4375,28.5625,28.97,360000,TAP
TAP,1999-01-06,29.75,29.875,29.2815,29.375,181200,TAP
TAP,1999-01-07,28.875,29.5,28.4375,29.25,170000,TAP
TAP,1999-01-08,29.5,29.8125,28.719,28.94,311400,TAP
TAP,1999-01-11,28.969,29.8125,28.875,29.375,217400,TAP
TAP,1999-01-12,28.1875,29.094,27.875,28.75,224200,TAP
TAP,1999-01-13,28.344,28.625,27.625,27.655,249000,TAP
TAP,1999-01-14,27.125,28.4375,26.875,28.28,204600,TAP
TAP,1999-01-15,29.375,29.375,27.1565,27.345,385600,TAP
TAP,1999-01-18,29.375,29.375,27.1565,27.345,0,TAP
TAP,1999-01-19,27.8125,29.219,27.2815,29.19,237000,TAP
TAP,1999-01-20,28.6565,29.5,27.5,27.94,219400,TAP
TAP,1999-01-21,29.9375,30.125,28.25,28.875,448200,TAP
TAP,1999-01-22,29.0315,29.875,29.0,29.875,134200,TAP
TAP,1999-01-25,29.6875,29.75,28.875,29.065,107800,TAP
TAP,1999-01-26,29.625,29.719,29.25,29.719,116600,TAP
TAP,1999-01-27,30.125,30.3125,29.5,29.5,250000,TAP
