Symbol,Date,Close,High,Low,Open,Volume,Name
TIF,1998-05-29,11.969,12.188,11.954,11.99,502000,TIF
TIF,1998-06-01,11.782,12.032,11.75,11.91,485600,TIF
TIF,1998-06-02,11.704,11.875,11.688,11.81,232000,TIF
TIF,1998-06-03,11.75,11.954,11.61,11.7,217600,TIF
TIF,1998-06-04,11.75,11.782,11.61,11.78,291200,TIF
TIF,1998-06-05,12.016,12.063,11.813,11.813,279200,TIF
TIF,1998-06-08,12.11,12.141,12.0,12.0,123600,TIF
TIF,1998-06-09,12.094,12.11,11.954,12.1,149600,TIF
TIF,1998-06-10,11.313,12.094,11.204,12.094,3062400,TIF
TIF,1998-06-11,11.25,11.375,11.157,11.35,531600,TIF
TIF,1998-06-12,11.188,11.344,11.047,11.25,1362400,TIF
TIF,1998-06-15,10.594,11.141,10.547,11.13,633200,TIF
TIF,1998-06-16,10.579,10.735,10.047,10.58,3520000,TIF
TIF,1998-06-17,10.657,10.954,10.532,10.6,1316400,TIF
TIF,1998-06-18,10.75,10.844,10.657,10.66,1177200,TIF
TIF,1998-06-19,10.594,10.782,10.469,10.72,1212000,TIF
TIF,1998-06-22,11.25,11.375,10.547,10.55,614000,TIF
TIF,1998-06-23,11.172,11.766,11.172,11.75,1343200,TIF
TIF,1998-06-24,11.266,11.5,11.0,11.0,784800,TIF
TIF,1998-06-25,11.266,11.344,11.157,11.17,516399,TIF
TIF,1998-06-26,11.204,11.329,11.204,11.25,967600,TIF
TIF,1998-06-29,11.344,11.532,11.204,11.27,252800,TIF
TIF,1998-06-30,12.0,12.094,11.344,11.35,1787600,TIF
TIF,1998-07-01,12.125,12.219,11.907,12.16,1208000,TIF
TIF,1998-07-02,11.829,12.079,11.829,12.06,388400,TIF
TIF,1998-07-03,11.829,12.079,11.829,12.06,0,TIF
TIF,1998-07-06,11.719,11.844,11.625,11.66,528800,TIF
TIF,1998-07-07,11.641,11.766,11.563,11.74,361200,TIF
TIF,1998-07-08,11.547,11.704,11.547,11.69,125200,TIF
TIF,1998-07-09,11.454,11.5,11.375,11.5,305200,TIF
TIF,1998-07-10,11.344,11.5,11.25,11.49,449600,TIF
TIF,1998-07-13,11.344,11.485,11.282,11.35,198800,TIF
TIF,1998-07-14,11.235,11.329,11.157,11.27,724400,TIF
TIF,1998-07-15,11.657,11.813,11.235,11.25,1038000,TIF
TIF,1998-07-16,11.719,11.813,11.625,11.63,503200,TIF
TIF,1998-07-17,11.469,11.782,11.438,11.78,254400,TIF
TIF,1998-07-20,11.454,11.5,11.454,11.49,199200,TIF
TIF,1998-07-21,11.391,11.485,11.391,11.42,208400,TIF
TIF,1998-07-22,11.438,11.469,11.313,11.41,463600,TIF
TIF,1998-07-23,11.204,11.438,11.172,11.38,764400,TIF
TIF,1998-07-24,10.875,11.282,10.844,11.19,408800,TIF
TIF,1998-07-27,10.75,10.907,10.75,10.78,554400,TIF
TIF,1998-07-28,10.719,10.829,10.719,10.77,291200,TIF
TIF,1998-07-29,10.797,11.0,10.735,10.74,287200,TIF
TIF,1998-07-30,11.204,11.219,10.891,10.91,347600,TIF
TIF,1998-07-31,10.735,11.204,10.735,11.2,198800,TIF
TIF,1998-08-03,10.516,10.657,10.485,10.657,1732400,TIF
TIF,1998-08-04,10.25,10.532,10.25,10.5,1252400,TIF
TIF,1998-08-05,10.469,10.547,10.25,10.27,1358000,TIF
TIF,1998-08-06,10.625,10.641,10.313,10.313,622000,TIF
TIF,1998-08-07,10.985,11.0,10.61,10.61,1005600,TIF
TIF,1998-08-10,10.704,10.985,10.485,10.985,664800,TIF
TIF,1998-08-11,10.375,10.579,10.25,10.579,629600,TIF
TIF,1998-08-12,10.36,10.438,10.219,10.39,1208800,TIF
TIF,1998-08-13,10.313,10.5,10.063,10.44,1117200,TIF
TIF,1998-08-14,10.141,10.5,10.079,10.38,1371600,TIF
TIF,1998-08-17,10.657,11.0,10.172,10.22,2057999,TIF
TIF,1998-08-18,11.125,11.188,10.688,10.69,1117200,TIF
TIF,1998-08-19,11.11,11.282,10.891,10.97,596400,TIF
TIF,1998-08-20,11.094,11.11,10.985,11.1,1029600,TIF
TIF,1998-08-21,10.891,11.063,10.563,11.03,976800,TIF
TIF,1998-08-24,11.032,11.329,10.907,10.91,494800,TIF
TIF,1998-08-25,11.219,11.375,11.063,11.063,393200,TIF
TIF,1998-08-26,10.704,11.157,10.657,11.157,688000,TIF
TIF,1998-08-27,10.125,10.469,10.125,10.469,1256400,TIF
TIF,1998-08-28,10.0,10.125,9.813,10.125,1844000,TIF
TIF,1998-08-31,9.297,10.125,9.11,10.06,2628000,TIF
TIF,1998-09-01,9.579,9.61,8.86,9.3,3930000,TIF
TIF,1998-09-02,9.25,9.7344,9.2344,9.6562,961600,TIF
TIF,1998-09-03,9.469,9.532,9.047,9.1,1214800,TIF
TIF,1998-09-04,9.391,9.688,9.188,9.58,1161200,TIF
TIF,1998-09-07,9.391,9.688,9.188,9.58,0,TIF
TIF,1998-09-08,9.875,10.157,9.766,10.13,750800,TIF
TIF,1998-09-09,9.844,10.469,9.672,9.89,1165600,TIF
TIF,1998-09-10,9.719,9.875,9.547,9.72,885200,TIF
TIF,1998-09-11,10.235,10.25,9.579,9.67,526000,TIF
TIF,1998-09-14,10.329,10.391,10.172,10.172,942800,TIF
TIF,1998-09-15,10.157,10.36,9.969,10.36,451600,TIF
TIF,1998-09-16,9.469,10.157,9.219,10.157,2573200,TIF
TIF,1998-09-17,9.204,9.313,9.016,9.16,1817200,TIF
TIF,1998-09-18,9.079,9.25,9.016,9.2,1138000,TIF
TIF,1998-09-21,8.985,9.094,8.86,9.08,1055600,TIF
TIF,1998-09-22,8.985,9.079,8.813,9.0,1694000,TIF
TIF,1998-09-23,8.891,9.25,8.266,8.95,4404800,TIF
TIF,1998-09-24,8.485,8.875,8.391,8.72,2629600,TIF
TIF,1998-09-25,8.329,8.625,8.313,8.48,1961600,TIF
TIF,1998-09-28,8.407,8.61,7.938,8.39,2080800,TIF
TIF,1998-09-29,8.36,8.422,7.907,8.23,1488800,TIF
TIF,1998-09-30,7.844,8.219,7.688,8.219,1775600,TIF
TIF,1998-10-01,7.672,7.922,7.563,7.69,1938800,TIF
TIF,1998-10-02,7.407,7.86,7.329,7.69,5652400,TIF
TIF,1998-10-05,6.907,7.266,6.75,7.22,2274400,TIF
TIF,1998-10-06,7.266,7.391,6.907,7.39,2517600,TIF
TIF,1998-10-07,7.141,7.422,7.047,7.2,915200,TIF
TIF,1998-10-08,7.094,7.094,6.797,6.94,2336800,TIF
TIF,1998-10-09,7.0,7.25,6.907,6.99,1672800,TIF
TIF,1998-10-12,6.938,7.172,6.938,7.1,1273600,TIF
TIF,1998-10-13,6.938,6.969,6.86,6.89,650800,TIF
TIF,1998-10-14,7.125,7.157,6.875,6.88,933200,TIF
TIF,1998-10-15,8.532,8.625,7.141,7.16,2606000,TIF
TIF,1998-10-16,8.125,8.344,7.907,8.344,2109200,TIF
TIF,1998-10-19,8.25,8.563,8.0,8.0,1582000,TIF
TIF,1998-10-20,8.094,8.954,8.063,8.47,2313600,TIF
TIF,1998-10-21,7.875,8.344,7.688,8.13,1328000,TIF
TIF,1998-10-22,8.469,8.75,7.875,7.91,1190400,TIF
TIF,1998-10-23,8.563,8.594,8.329,8.39,1035600,TIF
TIF,1998-10-26,8.594,8.61,8.391,8.5,1022000,TIF
TIF,1998-10-27,8.266,8.438,8.157,8.25,2497200,TIF
TIF,1998-10-28,8.047,8.235,8.0,8.23,1705600,TIF
TIF,1998-10-29,8.0,8.141,7.938,8.14,1154400,TIF
TIF,1998-10-30,8.094,8.157,8.0,8.0,2004000,TIF
TIF,1998-11-02,9.235,9.235,8.375,8.44,2506800,TIF
TIF,1998-11-03,9.282,9.485,9.047,9.2,728800,TIF
TIF,1998-11-04,9.688,10.266,9.407,9.41,1916800,TIF
TIF,1998-11-05,9.8281,10.1719,9.75,9.875,873600,TIF
TIF,1998-11-06,9.813,10.235,9.813,9.86,695200,TIF
TIF,1998-11-09,9.907,10.219,9.766,9.88,743200,TIF
TIF,1998-11-10,9.657,9.907,9.454,9.907,798400,TIF
TIF,1998-11-11,9.5,9.735,9.313,9.67,321600,TIF
TIF,1998-11-12,9.4844,9.5625,9.4688,9.5625,105200,TIF
TIF,1998-11-13,9.985,10.032,9.516,9.52,830000,TIF
TIF,1998-11-16,10.047,10.219,9.454,9.98,1803200,TIF
TIF,1998-11-17,10.579,10.813,10.188,10.19,1363600,TIF
TIF,1998-11-18,10.625,10.688,10.344,10.688,621600,TIF
TIF,1998-11-19,10.485,10.594,10.329,10.56,286400,TIF
TIF,1998-11-20,10.579,10.625,10.532,10.55,331600,TIF
