Symbol,Date,Close,High,Low,Open,Volume,Name
TROW,1998-05-29,17.719,17.9375,17.25,17.44,819800,TROW
TROW,1998-06-01,17.1875,17.8125,17.0625,17.8125,1260400,TROW
TROW,1998-06-02,17.4065,17.5,17.0,17.5,1063000,TROW
TROW,1998-06-03,17.5,17.8125,17.5,17.53,557400,TROW
TROW,1998-06-04,17.5,17.8125,17.2815,17.8125,362200,TROW
TROW,1998-06-05,17.5315,17.875,17.5,17.565,756400,TROW
TROW,1998-06-08,17.1875,17.5315,16.75,17.375,1083200,TROW
TROW,1998-06-09,17.875,18.0,17.125,17.125,742200,TROW
TROW,1998-06-10,17.4375,17.875,17.25,17.625,663000,TROW
TROW,1998-06-11,17.594,17.719,17.2815,17.565,454600,TROW
TROW,1998-06-12,17.0,17.6875,16.75,17.6875,601200,TROW
TROW,1998-06-15,16.6875,17.1875,16.25,16.875,718800,TROW
TROW,1998-06-16,16.875,17.1875,16.4375,17.1875,896000,TROW
TROW,1998-06-17,17.375,17.6875,16.8125,17.0,1088400,TROW
TROW,1998-06-18,17.2815,17.6875,17.25,17.5,393400,TROW
TROW,1998-06-19,17.547,17.6875,17.125,17.19,509600,TROW
TROW,1998-06-22,17.5625,17.6875,17.1875,17.375,1122800,TROW
TROW,1998-06-23,17.625,17.875,17.375,17.75,748800,TROW
TROW,1998-06-24,17.75,18.0,17.25,17.5,920600,TROW
TROW,1998-06-25,18.0,18.3125,17.6875,17.815,907200,TROW
TROW,1998-06-26,18.344,18.4375,17.8125,18.0,660000,TROW
TROW,1998-06-29,19.125,19.25,18.344,18.47,586400,TROW
TROW,1998-06-30,18.7815,19.1875,18.625,19.1875,855800,TROW
TROW,1998-07-01,19.0625,19.125,18.6875,19.0,540800,TROW
TROW,1998-07-02,18.9375,19.1875,18.75,19.1875,455600,TROW
TROW,1998-07-03,18.9375,19.1875,18.75,19.1875,0,TROW
TROW,1998-07-06,18.844,19.0625,18.75,19.0,655200,TROW
TROW,1998-07-07,19.25,19.75,18.75,18.75,1425200,TROW
TROW,1998-07-08,19.6875,19.875,19.1875,19.25,758000,TROW
TROW,1998-07-09,19.7815,20.0,19.4375,19.625,1242600,TROW
TROW,1998-07-10,20.0625,20.25,19.8125,19.97,466400,TROW
TROW,1998-07-13,20.875,21.25,19.8125,20.25,740000,TROW
TROW,1998-07-14,20.75,21.0625,20.5625,20.815,648400,TROW
TROW,1998-07-15,21.1875,21.1875,20.5625,20.94,856600,TROW
TROW,1998-07-16,20.953,21.25,20.6875,21.25,301000,TROW
TROW,1998-07-17,21.219,21.375,20.8125,21.125,301600,TROW
TROW,1998-07-20,20.75,21.4375,20.625,21.155,344600,TROW
TROW,1998-07-21,19.9065,20.375,19.25,20.125,1664200,TROW
TROW,1998-07-22,19.5625,20.0,19.3125,19.75,889800,TROW
TROW,1998-07-23,19.219,19.75,18.9375,19.565,790200,TROW
TROW,1998-07-24,18.8125,19.0625,18.5,18.875,1327200,TROW
TROW,1998-07-27,18.5625,19.0,18.4375,18.845,1183200,TROW
TROW,1998-07-28,18.1565,18.875,18.0,18.5,559600,TROW
TROW,1998-07-29,18.344,18.594,18.1565,18.315,674000,TROW
TROW,1998-07-30,18.5625,18.75,18.1565,18.69,345800,TROW
TROW,1998-07-31,17.75,18.6875,17.4375,18.375,329600,TROW
TROW,1998-08-03,18.0,18.0625,17.25,17.815,513599,TROW
TROW,1998-08-04,17.0,18.25,16.875,18.0,1614600,TROW
TROW,1998-08-05,17.219,17.75,16.9375,17.0,1718000,TROW
TROW,1998-08-06,17.1875,17.375,17.0,17.375,760000,TROW
TROW,1998-08-07,17.719,17.8125,17.3125,17.5,1082200,TROW
TROW,1998-08-10,17.8125,17.8125,17.3125,17.69,611800,TROW
TROW,1998-08-11,16.844,17.125,16.5625,17.0,2138200,TROW
TROW,1998-08-12,17.2345,17.625,17.0,17.125,771200,TROW
TROW,1998-08-13,17.0,17.625,16.7815,17.25,983000,TROW
TROW,1998-08-14,17.3125,17.625,16.8125,17.0,617000,TROW
TROW,1998-08-17,17.5,17.625,16.875,17.065,703200,TROW
TROW,1998-08-18,18.75,19.3125,17.625,17.625,1371600,TROW
TROW,1998-08-19,18.0,18.969,17.5,18.969,626800,TROW
TROW,1998-08-20,18.1405,18.5,17.9375,18.25,972400,TROW
TROW,1998-08-21,17.75,17.9375,17.4375,17.75,1125800,TROW
TROW,1998-08-24,17.7815,17.875,17.6875,17.69,964200,TROW
TROW,1998-08-25,18.0,18.3125,17.75,17.75,573400,TROW
TROW,1998-08-26,17.6565,17.8125,17.375,17.565,1455400,TROW
TROW,1998-08-27,16.8125,17.219,16.625,17.0,2704800,TROW
TROW,1998-08-28,15.719,17.0,15.1875,16.815,3034000,TROW
TROW,1998-08-31,15.219,15.8125,15.125,15.5,3637800,TROW
TROW,1998-09-01,15.0,15.3125,14.5,15.22,2883600,TROW
TROW,1998-09-02,15.4065,16.0,15.1875,15.375,1164400,TROW
TROW,1998-09-03,14.969,15.375,14.8125,15.375,1858400,TROW
TROW,1998-09-04,14.125,15.0,13.75,14.75,3776800,TROW
TROW,1998-09-07,14.125,15.0,13.75,14.75,0,TROW
TROW,1998-09-08,14.4375,15.4375,14.3125,14.815,1019600,TROW
TROW,1998-09-09,14.0,14.875,13.8125,14.44,651200,TROW
TROW,1998-09-10,13.375,13.5,12.9375,13.315,1320600,TROW
TROW,1998-09-11,13.875,13.875,13.3125,13.375,1091400,TROW
TROW,1998-09-14,14.75,14.9375,14.0,14.19,1169400,TROW
TROW,1998-09-15,14.844,15.25,14.625,14.875,1352400,TROW
TROW,1998-09-16,14.594,15.0625,14.5315,14.94,801400,TROW
TROW,1998-09-17,14.0625,14.1875,13.875,14.1875,1398400,TROW
TROW,1998-09-18,14.328,14.375,14.0625,14.19,1537000,TROW
TROW,1998-09-21,13.3125,14.0,13.0,13.875,2471600,TROW
TROW,1998-09-22,13.328,13.75,13.25,13.44,2532600,TROW
TROW,1998-09-23,14.6875,14.75,13.375,13.5,3364200,TROW
TROW,1998-09-24,14.625,15.1875,14.5,14.69,2974000,TROW
TROW,1998-09-25,14.9375,15.219,13.5,14.25,1354800,TROW
TROW,1998-09-28,15.3125,15.9375,15.0625,15.095,1191400,TROW
TROW,1998-09-29,15.0,15.875,15.0,15.47,1188400,TROW
TROW,1998-09-30,14.6875,15.25,14.3125,15.25,1723800,TROW
TROW,1998-10-01,13.6565,14.719,13.594,14.625,580000,TROW
TROW,1998-10-02,14.344,14.344,13.75,13.815,1091000,TROW
TROW,1998-10-05,13.6875,14.1875,13.5625,14.0,1389000,TROW
TROW,1998-10-06,13.0625,14.25,13.0,13.6406,1289200,TROW
TROW,1998-10-07,11.875,13.0625,11.0625,13.0469,2471600,TROW
TROW,1998-10-08,11.375,11.75,10.4375,11.405,2580600,TROW
TROW,1998-10-09,12.0625,12.25,11.375,11.875,2269600,TROW
TROW,1998-10-12,12.875,13.719,12.3125,12.5,2954200,TROW
