Symbol,Date,Close,High,Low,Open,Volume,Name
TSCO,1998-05-29,1.508,1.5548,1.5,1.5,180800,TSCO
TSCO,1998-06-01,1.4728,1.5118,1.4728,1.5075,40000,TSCO
TSCO,1998-06-02,1.5,1.547,1.4688,1.5,286400,TSCO
TSCO,1998-06-03,1.5,1.508,1.4768,1.5,452800,TSCO
TSCO,1998-06-04,1.504,1.508,1.5,1.5075,30400,TSCO
TSCO,1998-06-05,1.5,1.508,1.5,1.5075,171200,TSCO
TSCO,1998-06-08,1.5548,1.5588,1.5,1.5,747200,TSCO
TSCO,1998-06-09,1.504,1.5548,1.504,1.5548,83200,TSCO
TSCO,1998-06-10,1.508,1.5352,1.504,1.505,99200,TSCO
TSCO,1998-06-11,1.4845,1.5312,1.4785,1.5075,169600,TSCO
TSCO,1998-06-12,1.4922,1.4922,1.4768,1.4922,22400,TSCO
TSCO,1998-06-15,1.4375,1.4768,1.4298,1.47,112000,TSCO
TSCO,1998-06-16,1.4062,1.4375,1.4062,1.4075,257600,TSCO
TSCO,1998-06-17,1.3985,1.4572,1.3985,1.4572,105600,TSCO
TSCO,1998-06-18,1.4375,1.4845,1.3985,1.4,16000,TSCO
TSCO,1998-06-19,1.3985,1.3985,1.3985,1.3985,17600,TSCO
TSCO,1998-06-22,1.4532,1.4845,1.4375,1.4375,1595200,TSCO
TSCO,1998-06-23,1.4375,1.4845,1.4375,1.4845,553600,TSCO
TSCO,1998-06-24,1.4375,1.4375,1.4298,1.43,12800,TSCO
TSCO,1998-06-25,1.4845,1.4845,1.4375,1.4525,187200,TSCO
TSCO,1998-06-26,1.5158,1.547,1.4845,1.485,264000,TSCO
TSCO,1998-06-29,1.5625,1.6095,1.5312,1.5475,2296000,TSCO
TSCO,1998-06-30,1.5548,1.5705,1.5392,1.5625,963200,TSCO
TSCO,1998-07-01,1.547,1.5625,1.543,1.5625,1040000,TSCO
TSCO,1998-07-02,1.543,1.547,1.543,1.543,379200,TSCO
TSCO,1998-07-03,1.543,1.547,1.543,1.543,0,TSCO
TSCO,1998-07-06,1.549,1.5588,1.549,1.5588,19200,TSCO
TSCO,1998-07-07,1.5705,1.5782,1.5548,1.57,475200,TSCO
TSCO,1998-07-08,1.5705,1.5822,1.5548,1.5822,400000,TSCO
TSCO,1998-07-09,1.5782,1.6095,1.5625,1.5625,2201600,TSCO
TSCO,1998-07-10,1.625,1.625,1.5782,1.5782,371200,TSCO
TSCO,1998-07-13,1.6055,1.625,1.5782,1.625,212800,TSCO
TSCO,1998-07-14,1.5938,1.6055,1.5782,1.5782,361600,TSCO
TSCO,1998-07-15,1.6095,1.6095,1.586,1.5875,3128000,TSCO
TSCO,1998-07-16,1.6095,1.625,1.5938,1.595,192000,TSCO
TSCO,1998-07-17,1.5938,1.633,1.586,1.6025,73600,TSCO
TSCO,1998-07-20,1.5625,1.5782,1.5625,1.5775,73600,TSCO
TSCO,1998-07-21,1.625,1.633,1.5625,1.61,412800,TSCO
TSCO,1998-07-22,1.6095,1.6172,1.5938,1.6172,65600,TSCO
TSCO,1998-07-23,1.586,1.625,1.586,1.6025,969600,TSCO
TSCO,1998-07-24,1.586,1.625,1.5782,1.625,20800,TSCO
TSCO,1998-07-27,1.551,1.6095,1.551,1.5775,328000,TSCO
TSCO,1998-07-28,1.5548,1.5548,1.547,1.5475,84800,TSCO
TSCO,1998-07-29,1.547,1.5782,1.547,1.5775,24000,TSCO
