Symbol,Date,Close,High,Low,Open,Volume,Name
UA,2005-11-18,3.1625,3.875,3.0488,3.875,143142504,UA
UA,2005-11-21,3.2688,3.3688,3.1875,3.2538,33417064,UA
UA,2005-11-22,2.9375,3.2312,2.8438,3.1875,25720016,UA
UA,2005-11-23,2.975,3.0125,2.9388,2.9925,8252840,UA
UA,2005-11-24,2.975,3.0125,2.9388,2.9925,0,UA
UA,2005-11-25,2.96,3.0,2.9375,2.9781,2329552,UA
UA,2005-11-28,2.9625,3.025,2.9475,2.96,6484280,UA
UA,2005-11-29,2.6688,2.9562,2.635,2.945,16225864,UA
UA,2005-11-30,2.8138,2.8388,2.6588,2.6662,6431248,UA
UA,2005-12-01,2.8938,2.9662,2.825,2.8556,5835768,UA
UA,2005-12-02,3.0825,3.125,2.9064,2.9638,9433312,UA
UA,2005-12-05,3.2075,3.2375,3.0688,3.14,5654256,UA
UA,2005-12-06,3.0875,3.27,3.065,3.2575,4612392,UA
UA,2005-12-07,3.2062,3.2062,3.1138,3.1138,3506520,UA
UA,2005-12-08,3.1875,3.235,3.1625,3.1875,1982304,UA
UA,2005-12-09,3.125,3.23,3.1,3.2,1598568,UA
UA,2005-12-12,3.1862,3.1975,3.0938,3.125,2622528,UA
UA,2005-12-13,3.1988,3.2375,3.1562,3.22,2123448,UA
UA,2005-12-14,3.375,3.4062,3.2338,3.25,8201160,UA
UA,2005-12-15,3.4238,3.4562,3.35,3.375,4248984,UA
UA,2005-12-16,3.455,3.455,3.3138,3.4225,7659488,UA
UA,2005-12-19,3.3112,3.45,3.1438,3.4488,7092104,UA
UA,2005-12-20,3.5088,3.5362,3.3562,3.4425,11528536,UA
UA,2005-12-21,3.5688,3.6,3.4862,3.5181,9649752,UA
UA,2005-12-22,3.5875,3.6041,3.4988,3.5725,4285048,UA
UA,2005-12-23,3.9025,3.9655,3.5688,3.5875,14945432,UA
UA,2005-12-26,3.9025,3.9655,3.5688,3.5875,0,UA
UA,2005-12-27,4.1575,4.365,3.94,3.9875,33165799,UA
UA,2005-12-28,4.5438,4.5925,4.2125,4.2512,28986712,UA
UA,2005-12-29,4.9825,5.0,4.785,4.8688,36003768,UA
UA,2005-12-30,4.7888,4.9675,4.6512,4.9538,29306064,UA
UA,2006-01-02,4.7888,4.9675,4.6512,4.9538,0,UA
UA,2006-01-03,4.17,4.6738,4.1475,4.6488,32641832,UA
UA,2006-01-04,3.95,4.1488,3.91,4.0925,29839008,UA
UA,2006-01-05,4.4538,4.4625,4.0212,4.065,28488864,UA
UA,2006-01-06,4.4338,4.5462,4.2062,4.4,22149144,UA
UA,2006-01-09,4.4788,4.4962,4.3463,4.4912,8479344,UA
UA,2006-01-10,4.6875,4.8112,4.4425,4.5225,23680648,UA
UA,2006-01-11,4.7112,4.8188,4.5625,4.785,10338416,UA
UA,2006-01-12,4.8138,4.925,4.6425,4.6425,11946096,UA
UA,2006-01-13,4.8775,5.0425,4.8138,4.8512,8608848,UA
UA,2006-01-16,4.8775,5.0425,4.8138,4.8512,0,UA
UA,2006-01-17,4.7712,4.9262,4.6312,4.895,7329808,UA
UA,2006-01-18,4.8188,4.9438,4.5625,4.5825,8020192,UA
UA,2006-01-19,4.8475,4.9625,4.775,4.7875,4999568,UA
UA,2006-01-20,4.785,4.9062,4.6875,4.8688,5346872,UA
UA,2006-01-23,4.665,4.8125,4.5612,4.775,7524144,UA
