Symbol,Date,Close,High,Low,Open,Volume,Name
USB,1998-05-29,20.052,20.114,19.97,20.114,384204,USB
USB,1998-06-01,19.806,20.052,19.724,19.9617,177652,USB
USB,1998-06-02,19.826,19.95,19.745,19.95,335532,USB
USB,1998-06-03,19.806,19.889,19.806,19.889,270129,USB
USB,1998-06-04,19.745,19.806,19.621,19.806,310585,USB
USB,1998-06-05,19.786,19.847,19.724,19.847,237276,USB
USB,1998-06-08,20.156,20.217,19.868,20.217,540560,USB
USB,1998-06-09,20.505,20.587,20.176,20.587,1216800,USB
USB,1998-06-10,20.566,20.669,20.402,20.669,488542,USB
USB,1998-06-11,20.422,20.587,20.382,20.587,322753,USB
USB,1998-06-12,20.422,20.464,20.34,20.464,540867,USB
USB,1998-06-15,20.382,20.464,20.34,20.464,378729,USB
USB,1998-06-16,20.402,20.443,20.382,20.443,564592,USB
USB,1998-06-17,20.813,20.833,20.526,20.833,467859,USB
USB,1998-06-18,20.71,20.854,20.71,20.854,639732,USB
USB,1998-06-19,20.422,20.628,20.402,20.628,238188,USB
USB,1998-06-22,20.34,20.422,20.217,20.422,397893,USB
USB,1998-06-23,20.505,20.545,20.279,20.545,364735,USB
USB,1998-06-24,20.566,20.587,20.238,20.587,508926,USB
USB,1998-06-25,20.587,20.71,20.505,20.71,460863,USB
USB,1998-06-26,20.545,20.587,20.422,20.587,293553,USB
USB,1998-06-29,21.162,21.203,20.607,21.203,753196,USB
USB,1998-06-30,20.998,21.182,20.875,21.182,817078,USB
USB,1998-07-01,20.915,21.285,19.354,21.285,15540662,USB
USB,1998-07-02,20.957,20.998,20.526,20.998,3408256,USB
USB,1998-07-03,20.957,20.998,20.526,20.998,0,USB
USB,1998-07-06,20.628,20.915,20.607,20.915,1206758,USB
USB,1998-07-07,20.957,20.957,20.628,20.957,2311920,USB
USB,1998-07-08,21.389,21.389,20.998,21.389,2991807,USB
USB,1998-07-09,21.882,21.943,21.696,21.943,2597259,USB
USB,1998-07-10,22.785,22.806,21.84,22.806,2999107,USB
USB,1998-07-13,22.785,22.847,22.457,22.847,1890298,USB
USB,1998-07-14,22.682,22.888,22.641,22.888,1797213,USB
USB,1998-07-15,23.032,23.052,22.703,23.052,1607998,USB
USB,1998-07-16,23.874,24.059,23.032,24.059,1515217,USB
USB,1998-07-17,23.997,24.059,23.75,24.059,1160824,USB
USB,1998-07-20,24.162,24.983,24.038,24.3182,1462593,USB
USB,1998-07-21,23.874,24.244,23.854,24.244,1593092,USB
USB,1998-07-22,23.484,23.833,23.381,23.733,750765,USB
USB,1998-07-23,23.278,23.545,23.257,23.4079,637299,USB
USB,1998-07-24,23.134,23.381,22.888,23.2128,441695,USB
USB,1998-07-27,22.868,23.094,22.806,23.094,1020591,USB
USB,1998-07-28,22.908,22.929,22.764,22.929,709391,USB
USB,1998-07-29,22.991,22.991,22.847,22.991,313931,USB
USB,1998-07-30,23.299,23.32,22.991,23.32,495541,USB
USB,1998-07-31,22.888,23.422,22.888,23.422,663457,USB
USB,1998-08-03,23.073,23.114,22.929,23.114,554860,USB
USB,1998-08-04,22.745,23.073,22.641,23.073,487936,USB
USB,1998-08-05,23.176,23.217,22.436,23.217,1388064,USB
USB,1998-08-06,23.607,23.75,22.847,23.75,1553546,USB
USB,1998-08-07,23.936,24.264,23.627,24.264,1261210,USB
USB,1998-08-10,23.997,24.162,23.833,24.162,1284940,USB
USB,1998-08-11,23.011,23.874,22.929,23.874,683230,USB
USB,1998-08-12,23.484,23.587,23.134,23.587,1215884,USB
USB,1998-08-13,23.114,23.484,23.114,23.484,630910,USB
USB,1998-08-14,22.929,23.114,22.662,23.114,782095,USB
USB,1998-08-17,22.231,22.764,22.231,22.764,487325,USB
USB,1998-08-18,22.518,22.662,22.231,22.662,1229880,USB
USB,1998-08-19,22.045,22.518,22.025,22.1074,373250,USB
USB,1998-08-20,21.861,22.189,21.696,21.7498,944541,USB
USB,1998-08-21,21.203,21.82,21.059,21.1971,633037,USB
USB,1998-08-24,21.101,21.491,21.08,21.491,701181,USB
USB,1998-08-25,20.915,21.408,20.895,21.0671,1224405,USB
USB,1998-08-26,20.279,20.792,20.279,20.792,987430,USB
