Symbol,Date,Close,High,Low,Open,Volume,Name
UTX,1998-05-29,23.5,23.672,23.391,23.45,2132800,UTX
UTX,1998-06-01,23.516,23.625,23.313,23.39,2619200,UTX
UTX,1998-06-02,23.36,23.641,23.313,23.44,1795600,UTX
UTX,1998-06-03,23.0,23.5,23.0,23.38,1220000,UTX
UTX,1998-06-04,22.672,22.938,22.157,22.938,4444000,UTX
UTX,1998-06-05,22.938,23.11,22.547,22.61,2129200,UTX
UTX,1998-06-08,22.844,23.25,22.844,22.94,1414800,UTX
UTX,1998-06-09,22.735,22.969,22.469,22.88,2821200,UTX
UTX,1998-06-10,21.813,22.704,21.735,22.7,6410400,UTX
UTX,1998-06-11,21.219,21.86,21.125,21.81,9702400,UTX
UTX,1998-06-12,21.735,21.735,21.141,21.24,6566000,UTX
UTX,1998-06-15,21.5,21.782,21.219,21.41,5778800,UTX
UTX,1998-06-16,21.407,21.579,21.235,21.56,3935200,UTX
UTX,1998-06-17,22.219,22.344,21.625,21.66,3992400,UTX
UTX,1998-06-18,22.0,22.375,21.922,22.22,3140400,UTX
UTX,1998-06-19,21.5,22.282,21.438,22.22,4390000,UTX
UTX,1998-06-22,21.547,21.782,21.5,21.5,2457200,UTX
UTX,1998-06-23,22.032,22.204,21.641,21.641,3672400,UTX
UTX,1998-06-24,22.282,22.344,21.891,22.06,1282800,UTX
UTX,1998-06-25,22.375,22.719,22.157,22.41,2378800,UTX
UTX,1998-06-26,22.61,22.907,22.438,22.44,2146400,UTX
UTX,1998-06-29,22.891,23.0,22.704,22.72,1867200,UTX
UTX,1998-06-30,22.9844,23.0,22.6094,22.7969,2631600,UTX
UTX,1998-07-01,23.469,23.5,23.079,23.14,2726800,UTX
UTX,1998-07-02,23.532,23.594,23.407,23.47,1162400,UTX
UTX,1998-07-03,23.532,23.594,23.407,23.47,0,UTX
UTX,1998-07-06,23.766,23.907,23.5,23.53,1852000,UTX
UTX,1998-07-07,23.719,24.157,23.625,23.8,2137600,UTX
UTX,1998-07-08,23.969,24.0,23.532,23.66,1304800,UTX
UTX,1998-07-09,23.875,24.0,23.75,23.88,2122800,UTX
UTX,1998-07-10,23.657,23.891,23.563,23.88,1780800,UTX
UTX,1998-07-13,23.719,23.75,23.422,23.69,1790400,UTX
UTX,1998-07-14,23.86,23.86,23.672,23.75,2447200,UTX
UTX,1998-07-15,24.032,24.297,23.641,23.75,1628800,UTX
UTX,1998-07-16,24.141,24.141,23.75,24.0,1356000,UTX
UTX,1998-07-17,23.657,24.172,23.563,24.14,2534800,UTX
UTX,1998-07-20,23.219,23.657,22.907,23.657,3758400,UTX
UTX,1998-07-21,23.563,24.0,23.282,23.31,3051200,UTX
UTX,1998-07-22,24.079,24.782,23.891,23.94,4103600,UTX
UTX,1998-07-23,23.969,24.344,23.75,24.08,3491600,UTX
UTX,1998-07-24,23.672,24.188,23.594,24.16,2368800,UTX
UTX,1998-07-27,24.329,24.375,23.438,23.69,2761600,UTX
UTX,1998-07-28,23.657,24.141,23.547,24.0,1757200,UTX
UTX,1998-07-29,23.391,23.86,23.219,23.84,1808800,UTX
UTX,1998-07-30,24.094,24.157,23.344,23.344,2202800,UTX
UTX,1998-07-31,23.969,24.547,23.907,24.03,3075200,UTX
UTX,1998-08-03,24.188,24.532,23.875,23.97,2682000,UTX
UTX,1998-08-04,23.313,24.157,23.11,24.157,3388000,UTX
UTX,1998-08-05,23.0,23.516,22.532,23.33,4348400,UTX
UTX,1998-08-06,22.985,23.25,22.907,23.19,3428000,UTX
UTX,1998-08-07,22.579,22.891,22.282,22.88,5161200,UTX
UTX,1998-08-10,22.657,22.875,22.5,22.58,2427200,UTX
UTX,1998-08-11,21.922,22.485,21.813,22.47,3264000,UTX
UTX,1998-08-12,22.266,22.297,21.907,21.91,3271600,UTX
UTX,1998-08-13,22.25,22.422,22.157,22.26,2541200,UTX
UTX,1998-08-14,21.782,22.297,21.782,22.25,3526000,UTX
UTX,1998-08-17,22.36,22.36,21.688,21.84,2723600,UTX
UTX,1998-08-18,22.454,22.5,22.282,22.47,2426400,UTX
UTX,1998-08-19,22.172,22.485,22.032,22.44,2166800,UTX
UTX,1998-08-20,22.141,22.5,21.938,22.16,2556000,UTX
UTX,1998-08-21,21.641,22.016,21.282,21.97,2228400,UTX
UTX,1998-08-24,21.563,21.844,21.282,21.8,3060800,UTX
UTX,1998-08-25,21.516,21.813,21.438,21.66,3900800,UTX
UTX,1998-08-26,20.719,21.282,20.625,21.26,6337600,UTX
UTX,1998-08-27,19.454,20.25,19.438,20.25,8221600,UTX
UTX,1998-08-28,19.625,20.063,19.516,19.88,3052800,UTX
UTX,1998-08-31,18.141,19.625,18.141,19.625,5240800,UTX
UTX,1998-09-01,19.094,19.25,17.938,18.25,7954000,UTX
UTX,1998-09-02,19.672,20.032,19.313,19.5,4746000,UTX
UTX,1998-09-03,18.875,19.422,18.688,19.31,7598800,UTX
UTX,1998-09-04,19.032,19.094,18.719,19.06,4147200,UTX
UTX,1998-09-07,19.032,19.094,18.719,19.06,0,UTX
UTX,1998-09-08,19.985,20.0,19.438,19.66,3802400,UTX
UTX,1998-09-09,19.563,20.125,19.375,19.94,2360800,UTX
UTX,1998-09-10,18.782,19.375,18.625,19.19,2764000,UTX
UTX,1998-09-11,19.172,19.313,18.375,18.66,2900000,UTX
UTX,1998-09-14,19.844,20.0,19.61,19.75,3196400,UTX
UTX,1998-09-15,19.985,20.063,19.485,19.78,2106400,UTX
UTX,1998-09-16,20.266,20.282,19.766,19.99,2157200,UTX
UTX,1998-09-17,20.172,20.172,19.657,19.97,5261200,UTX
UTX,1998-09-18,19.922,20.75,19.875,20.75,4949200,UTX
UTX,1998-09-21,19.516,19.532,18.688,19.5,4245200,UTX
UTX,1998-09-22,18.969,19.641,18.875,19.64,3358400,UTX
UTX,1998-09-23,20.032,20.235,19.375,19.38,5324400,UTX
UTX,1998-09-24,19.797,20.485,19.735,19.94,3252000,UTX
UTX,1998-09-25,19.844,19.985,19.469,19.67,4039200,UTX
UTX,1998-09-28,19.954,20.469,19.954,20.38,2922000,UTX
UTX,1998-09-29,20.125,20.375,19.907,20.22,2225600,UTX
UTX,1998-09-30,19.11,20.188,19.063,20.06,3962400,UTX
UTX,1998-10-01,18.5,19.313,18.422,18.89,5305200,UTX
UTX,1998-10-02,19.032,19.094,18.344,18.66,3409600,UTX
UTX,1998-10-05,18.532,19.157,18.0,19.06,4298000,UTX
UTX,1998-10-06,19.0,19.469,18.797,19.0,5166800,UTX
UTX,1998-10-07,19.063,19.297,18.688,18.94,3198800,UTX
UTX,1998-10-08,18.813,18.813,18.219,18.44,3484800,UTX
UTX,1998-10-09,19.188,19.813,18.813,18.91,4394400,UTX
UTX,1998-10-12,19.782,20.219,19.594,19.69,2990800,UTX
UTX,1998-10-13,19.672,19.813,19.313,19.81,2347200,UTX
UTX,1998-10-14,19.422,19.907,19.063,19.63,3643600,UTX
