Symbol,Date,Close,High,Low,Open,Volume,Name
VRSN,1998-05-29,7.985,8.266,7.969,8.266,359600,VRSN
VRSN,1998-06-01,7.25,7.985,7.219,7.91,1269200,VRSN
VRSN,1998-06-02,7.032,7.5,6.688,7.5,1304000,VRSN
VRSN,1998-06-03,7.125,7.438,7.032,7.22,336800,VRSN
VRSN,1998-06-04,7.188,7.375,7.157,7.35,223600,VRSN
VRSN,1998-06-05,7.25,7.375,7.188,7.28,382800,VRSN
VRSN,1998-06-08,6.75,7.313,6.5,7.25,1801600,VRSN
VRSN,1998-06-09,6.844,7.0,6.5,6.69,1493600,VRSN
VRSN,1998-06-10,6.875,7.313,6.625,6.75,425200,VRSN
VRSN,1998-06-11,6.75,7.125,6.688,6.81,331200,VRSN
VRSN,1998-06-12,7.0,7.0,6.532,6.85,960800,VRSN
VRSN,1998-06-15,6.75,7.0,6.579,7.0,250800,VRSN
VRSN,1998-06-16,6.782,6.782,6.625,6.66,138000,VRSN
VRSN,1998-06-17,7.157,7.25,6.688,6.69,1690800,VRSN
VRSN,1998-06-18,7.5,7.532,7.219,7.22,1632000,VRSN
VRSN,1998-06-19,7.469,7.5,7.438,7.47,913600,VRSN
VRSN,1998-06-22,8.75,8.938,7.438,7.5,2005199,VRSN
VRSN,1998-06-23,9.563,9.61,8.719,8.85,2220000,VRSN
VRSN,1998-06-24,10.438,10.782,9.75,9.81,2244400,VRSN
VRSN,1998-06-25,10.0,10.75,9.625,10.56,1142800,VRSN
VRSN,1998-06-26,9.563,10.0,9.313,10.0,290400,VRSN
VRSN,1998-06-29,9.125,9.563,8.813,9.5,467200,VRSN
VRSN,1998-06-30,9.344,9.75,8.907,9.08,1189600,VRSN
VRSN,1998-07-01,10.375,10.375,9.188,9.63,1542400,VRSN
VRSN,1998-07-02,10.375,10.875,9.907,10.75,1378800,VRSN
VRSN,1998-07-03,10.375,10.875,9.907,10.75,0,VRSN
VRSN,1998-07-06,10.516,11.0,10.25,10.63,698800,VRSN
VRSN,1998-07-07,10.563,10.563,10.0,10.5,1117200,VRSN
VRSN,1998-07-08,10.422,10.563,10.157,10.38,577200,VRSN
VRSN,1998-07-09,10.75,10.875,10.344,10.35,345600,VRSN
VRSN,1998-07-10,11.0,11.219,10.75,10.81,473200,VRSN
VRSN,1998-07-13,10.61,11.063,10.5,10.94,436000,VRSN
VRSN,1998-07-14,10.688,11.063,10.61,10.61,386800,VRSN
VRSN,1998-07-15,10.594,10.782,10.469,10.69,610800,VRSN
VRSN,1998-07-16,10.657,10.782,10.5,10.66,1022400,VRSN
VRSN,1998-07-17,10.438,10.813,10.438,10.81,77200,VRSN
VRSN,1998-07-20,10.375,10.625,10.344,10.47,132400,VRSN
VRSN,1998-07-21,10.188,10.735,9.875,10.66,272000,VRSN
VRSN,1998-07-22,9.938,10.094,9.594,9.97,265600,VRSN
VRSN,1998-07-23,9.657,10.0,9.032,9.85,312800,VRSN
VRSN,1998-07-24,9.813,9.875,9.282,9.47,249600,VRSN
VRSN,1998-07-27,9.0,9.75,8.969,9.53,471600,VRSN
VRSN,1998-07-28,8.907,9.282,8.125,9.28,2126800,VRSN
VRSN,1998-07-29,8.282,8.5,8.125,8.5,3321200,VRSN
VRSN,1998-07-30,8.0,8.282,7.813,8.28,411200,VRSN
VRSN,1998-07-31,7.75,8.125,7.75,8.06,386800,VRSN
VRSN,1998-08-03,7.563,7.782,7.25,7.75,406000,VRSN
VRSN,1998-08-04,7.532,7.594,7.313,7.53,896000,VRSN
VRSN,1998-08-05,7.407,7.532,7.188,7.53,1123600,VRSN
VRSN,1998-08-06,7.516,7.532,7.219,7.25,417200,VRSN
VRSN,1998-08-07,8.157,8.188,7.469,7.53,1068800,VRSN
VRSN,1998-08-10,8.125,8.282,7.969,8.16,410400,VRSN
VRSN,1998-08-11,8.0,8.063,7.282,7.38,509200,VRSN
VRSN,1998-08-12,7.594,8.063,7.454,8.06,552000,VRSN
VRSN,1998-08-13,7.532,7.563,7.438,7.44,439200,VRSN
VRSN,1998-08-14,7.141,7.5,6.954,7.5,1964800,VRSN
VRSN,1998-08-17,6.875,7.188,6.625,7.06,1413600,VRSN
VRSN,1998-08-18,7.875,7.907,6.907,6.94,1574400,VRSN
VRSN,1998-08-19,8.282,8.594,7.829,7.88,1806800,VRSN
VRSN,1998-08-20,7.766,8.282,7.766,8.28,292800,VRSN
VRSN,1998-08-21,7.75,8.0,7.391,7.53,626400,VRSN
VRSN,1998-08-24,7.563,7.75,7.438,7.75,138000,VRSN
VRSN,1998-08-25,7.688,7.688,7.438,7.688,258799,VRSN
VRSN,1998-08-26,7.532,7.688,7.344,7.44,319200,VRSN
VRSN,1998-08-27,6.969,7.5,6.907,7.28,604000,VRSN
VRSN,1998-08-28,7.063,7.313,6.532,7.19,506000,VRSN
VRSN,1998-08-31,7.094,7.313,6.75,7.0,1188800,VRSN
VRSN,1998-09-01,7.5,7.813,6.75,7.0,980800,VRSN
VRSN,1998-09-02,7.438,7.75,7.25,7.75,522800,VRSN
VRSN,1998-09-03,7.063,7.375,7.063,7.13,184800,VRSN
VRSN,1998-09-04,7.157,7.188,6.813,7.0,133200,VRSN
VRSN,1998-09-07,7.157,7.188,6.813,7.0,0,VRSN
VRSN,1998-09-08,7.063,7.438,7.0,7.35,266400,VRSN
VRSN,1998-09-09,7.0,7.188,6.875,7.188,119600,VRSN
VRSN,1998-09-10,5.907,6.907,5.469,6.75,1675200,VRSN
VRSN,1998-09-11,6.375,6.375,5.782,6.1,504000,VRSN
VRSN,1998-09-14,6.719,6.75,6.563,6.75,429600,VRSN
VRSN,1998-09-15,6.438,6.532,6.282,6.53,414000,VRSN
VRSN,1998-09-16,6.5,6.532,6.219,6.31,406400,VRSN
VRSN,1998-09-17,6.407,6.407,6.188,6.22,194000,VRSN
VRSN,1998-09-18,6.5,6.5,6.25,6.44,134000,VRSN
VRSN,1998-09-21,6.344,6.469,6.125,6.13,456400,VRSN
VRSN,1998-09-22,6.625,6.86,6.375,6.44,1862800,VRSN
VRSN,1998-09-23,6.75,6.813,6.438,6.81,994800,VRSN
VRSN,1998-09-24,6.875,7.532,6.813,6.85,1297200,VRSN
VRSN,1998-09-25,6.938,7.032,6.813,6.88,1328400,VRSN
VRSN,1998-09-28,6.891,7.094,6.875,7.03,1413200,VRSN
VRSN,1998-09-29,6.813,7.0,6.704,6.85,446800,VRSN
VRSN,1998-09-30,6.813,6.813,6.594,6.66,344000,VRSN
VRSN,1998-10-01,6.907,6.907,6.5,6.56,406000,VRSN
VRSN,1998-10-02,6.813,7.0,6.5,6.94,608000,VRSN
VRSN,1998-10-05,6.657,6.797,6.438,6.69,323200,VRSN
VRSN,1998-10-06,6.438,6.813,6.438,6.69,176400,VRSN
VRSN,1998-10-07,5.625,6.5,5.125,6.38,660800,VRSN
VRSN,1998-10-08,5.352,5.594,4.844,5.56,747600,VRSN
VRSN,1998-10-09,5.875,6.188,5.375,5.6,774000,VRSN
VRSN,1998-10-12,6.813,6.907,6.157,6.35,2054399,VRSN
VRSN,1998-10-13,7.094,7.25,6.782,6.85,2640400,VRSN
VRSN,1998-10-14,7.407,7.5,6.875,6.88,1453600,VRSN
VRSN,1998-10-15,7.282,7.469,7.25,7.469,447600,VRSN
VRSN,1998-10-16,7.329,7.469,7.25,7.38,1020000,VRSN
VRSN,1998-10-19,7.125,7.407,7.125,7.31,252400,VRSN
VRSN,1998-10-20,7.125,7.25,6.938,7.13,1186000,VRSN
VRSN,1998-10-21,7.157,7.313,7.0,7.31,640000,VRSN
VRSN,1998-10-22,7.5,7.688,6.844,7.25,1286000,VRSN
VRSN,1998-10-23,7.907,8.063,7.407,7.41,1869200,VRSN
VRSN,1998-10-26,7.875,8.063,7.563,7.85,1046000,VRSN
VRSN,1998-10-27,7.5,7.782,7.5,7.75,1380800,VRSN
VRSN,1998-10-28,7.469,7.563,7.375,7.41,1099200,VRSN
VRSN,1998-10-29,7.485,7.532,7.438,7.5,200800,VRSN
VRSN,1998-10-30,7.672,7.719,7.563,7.563,2146000,VRSN
VRSN,1998-11-02,7.5,7.782,7.219,7.72,1186400,VRSN
VRSN,1998-11-03,7.75,7.75,7.407,7.56,1699200,VRSN
VRSN,1998-11-04,8.735,8.813,7.657,7.81,2175200,VRSN
VRSN,1998-11-05,9.313,9.313,8.5,8.63,4170800,VRSN
VRSN,1998-11-06,9.782,10.0,9.11,9.19,5847200,VRSN
VRSN,1998-11-09,9.782,9.875,9.594,9.72,1997600,VRSN
VRSN,1998-11-10,9.125,9.907,9.125,9.75,1928000,VRSN
VRSN,1998-11-11,9.0,9.438,9.0,9.27,979200,VRSN
VRSN,1998-11-12,9.125,9.907,9.125,9.125,3943200,VRSN
VRSN,1998-11-13,9.422,9.688,9.375,9.688,1904000,VRSN
VRSN,1998-11-16,9.454,9.5,9.375,9.5,1168400,VRSN
VRSN,1998-11-17,9.344,9.438,9.25,9.438,1060000,VRSN
VRSN,1998-11-18,9.157,9.563,8.75,9.56,4012800,VRSN
VRSN,1998-11-19,9.188,9.407,9.141,9.141,1895200,VRSN
VRSN,1998-11-20,8.719,9.438,8.688,9.22,3102800,VRSN
VRSN,1998-11-23,9.032,9.032,8.25,8.69,3914800,VRSN
VRSN,1998-11-24,9.313,9.469,8.813,8.85,4690800,VRSN
VRSN,1998-11-25,9.313,9.469,8.813,8.85,0,VRSN
VRSN,1998-11-26,9.313,9.469,8.813,8.85,0,VRSN
VRSN,1998-11-27,11.0,11.485,9.813,9.91,2261200,VRSN
VRSN,1998-11-30,10.032,11.157,10.0,11.06,4415200,VRSN
VRSN,1998-12-01,9.532,9.969,9.063,9.94,2962800,VRSN
