Symbol,Date,Close,High,Low,Open,Volume,Name
VRTX,1998-05-29,14.375,15.125,14.313,15.0,240600,VRTX
VRTX,1998-06-01,14.125,14.438,13.969,14.438,113800,VRTX
VRTX,1998-06-02,14.0,14.25,14.0,14.25,347800,VRTX
VRTX,1998-06-03,13.657,14.125,13.625,14.125,235600,VRTX
VRTX,1998-06-04,13.625,14.0,13.5,13.75,292400,VRTX
VRTX,1998-06-05,13.438,14.313,13.125,13.88,1745000,VRTX
VRTX,1998-06-08,13.625,14.0,13.375,13.63,720000,VRTX
VRTX,1998-06-09,14.344,14.5,13.688,13.88,1093200,VRTX
VRTX,1998-06-10,14.188,14.407,13.938,14.13,648600,VRTX
VRTX,1998-06-11,13.875,14.438,13.563,14.438,594400,VRTX
VRTX,1998-06-12,13.875,14.0,13.5,13.94,225200,VRTX
VRTX,1998-06-15,13.25,13.875,13.125,13.82,248000,VRTX
VRTX,1998-06-16,13.688,13.75,13.313,13.38,448400,VRTX
VRTX,1998-06-17,13.907,14.063,13.688,13.69,322800,VRTX
VRTX,1998-06-18,13.813,14.125,13.657,14.0,363400,VRTX
VRTX,1998-06-19,13.782,13.938,13.688,13.69,505399,VRTX
VRTX,1998-06-22,13.688,13.875,13.625,13.875,153200,VRTX
VRTX,1998-06-23,14.25,14.563,13.75,14.07,784600,VRTX
VRTX,1998-06-24,13.813,14.438,13.563,14.438,397600,VRTX
VRTX,1998-06-25,13.875,14.5,13.688,13.82,451000,VRTX
VRTX,1998-06-26,14.5,14.938,13.875,13.88,958600,VRTX
VRTX,1998-06-29,13.813,14.563,13.688,14.5,714400,VRTX
VRTX,1998-06-30,11.25,13.375,10.75,13.375,7886400,VRTX
VRTX,1998-07-01,10.938,11.625,10.875,11.5,1688600,VRTX
VRTX,1998-07-02,11.063,11.188,10.75,10.94,2043800,VRTX
VRTX,1998-07-03,11.063,11.188,10.75,10.94,0,VRTX
VRTX,1998-07-06,11.0,11.344,10.75,11.25,903800,VRTX
VRTX,1998-07-07,10.5,11.0,10.313,10.94,1194400,VRTX
VRTX,1998-07-08,10.5,10.625,10.219,10.5,1308800,VRTX
VRTX,1998-07-09,10.5,10.75,10.125,10.69,475800,VRTX
VRTX,1998-07-10,10.063,10.563,9.938,10.5,766000,VRTX
VRTX,1998-07-13,9.969,10.188,9.688,10.13,454000,VRTX
VRTX,1998-07-14,9.75,10.188,9.375,10.0,1340800,VRTX
VRTX,1998-07-15,10.282,10.282,9.75,9.75,829400,VRTX
VRTX,1998-07-16,10.438,10.438,10.063,10.32,370000,VRTX
VRTX,1998-07-17,10.0,10.438,9.938,10.438,302400,VRTX
VRTX,1998-07-20,10.75,10.813,10.0,10.06,352200,VRTX
VRTX,1998-07-21,10.5,10.938,10.375,10.938,491400,VRTX
VRTX,1998-07-22,10.438,10.625,10.25,10.625,382000,VRTX
VRTX,1998-07-23,9.985,10.688,9.938,10.32,483400,VRTX
VRTX,1998-07-24,10.407,10.563,9.875,9.97,671800,VRTX
VRTX,1998-07-27,10.5,10.563,10.063,10.063,588000,VRTX
