Symbol,Date,Close,High,Low,Open,Volume,Name
WEC,1998-05-29,14.75,14.8125,14.594,14.655,214000,WEC
WEC,1998-06-01,15.4375,15.5,14.8125,14.815,846400,WEC
WEC,1998-06-02,15.2815,15.594,15.25,15.5,252400,WEC
WEC,1998-06-03,15.125,15.375,15.125,15.19,267000,WEC
WEC,1998-06-04,15.344,15.4375,15.0,15.0,325200,WEC
WEC,1998-06-05,15.219,15.344,15.0315,15.344,228600,WEC
WEC,1998-06-08,15.125,15.219,15.125,15.219,381200,WEC
WEC,1998-06-09,15.3125,15.469,15.0625,15.065,226000,WEC
WEC,1998-06-10,15.4375,15.594,15.1875,15.315,295800,WEC
WEC,1998-06-11,15.4065,15.5,15.1875,15.375,371400,WEC
WEC,1998-06-12,15.375,15.469,15.2815,15.315,299200,WEC
WEC,1998-06-15,15.25,15.4375,15.25,15.375,839400,WEC
WEC,1998-06-16,15.3125,15.344,15.1565,15.25,323200,WEC
WEC,1998-06-17,15.25,15.2815,15.125,15.22,161800,WEC
WEC,1998-06-18,15.219,15.4065,15.1565,15.19,519800,WEC
WEC,1998-06-19,15.25,15.25,15.0625,15.125,318000,WEC
WEC,1998-06-22,15.344,15.375,15.219,15.22,135200,WEC
WEC,1998-06-23,15.219,15.344,15.219,15.344,202000,WEC
WEC,1998-06-24,15.25,15.25,14.969,15.095,380000,WEC
WEC,1998-06-25,15.0625,15.25,14.9375,15.19,180000,WEC
WEC,1998-06-26,15.094,15.094,14.8125,14.815,250600,WEC
WEC,1998-06-29,15.2815,15.375,15.0,15.03,262400,WEC
WEC,1998-06-30,15.1875,15.3125,15.094,15.155,209200,WEC
WEC,1998-07-01,15.344,15.344,15.125,15.19,258799,WEC
WEC,1998-07-02,15.3125,15.344,15.125,15.28,150200,WEC
WEC,1998-07-03,15.3125,15.344,15.125,15.28,0,WEC
WEC,1998-07-06,15.3125,15.344,15.1565,15.25,108600,WEC
WEC,1998-07-07,15.3125,15.3125,15.0625,15.19,272800,WEC
WEC,1998-07-08,15.3125,15.344,15.0625,15.22,151200,WEC
WEC,1998-07-09,15.1565,15.219,15.0625,15.19,172200,WEC
WEC,1998-07-10,15.0315,15.1565,14.969,15.03,507800,WEC
WEC,1998-07-13,14.969,15.094,14.9065,15.094,623200,WEC
WEC,1998-07-14,14.9065,15.0,14.9065,14.97,659000,WEC
WEC,1998-07-15,14.8125,14.9375,14.6875,14.905,360200,WEC
WEC,1998-07-16,14.844,14.875,14.6565,14.75,424400,WEC
WEC,1998-07-17,14.6565,14.8125,14.5625,14.72,809400,WEC
WEC,1998-07-20,14.7815,14.7815,14.6565,14.69,722800,WEC
WEC,1998-07-21,14.594,14.7815,14.5315,14.78,527800,WEC
WEC,1998-07-22,14.5,14.5625,14.375,14.5,437400,WEC
WEC,1998-07-23,14.344,14.5,14.3125,14.5,849000,WEC
WEC,1998-07-24,14.344,14.5,14.2815,14.345,666200,WEC
WEC,1998-07-27,14.4065,14.4065,14.2815,14.2815,752000,WEC
WEC,1998-07-28,14.3125,14.5,14.25,14.375,582600,WEC
WEC,1998-07-29,14.25,14.375,14.219,14.315,135200,WEC
WEC,1998-07-30,14.25,14.4375,14.1875,14.25,242000,WEC
WEC,1998-07-31,14.219,14.2815,14.1565,14.25,707800,WEC
WEC,1998-08-03,14.2815,14.3125,14.125,14.19,739800,WEC
WEC,1998-08-04,14.0625,14.5,14.0,14.375,409800,WEC
WEC,1998-08-05,14.125,14.1875,13.875,14.1875,459000,WEC
WEC,1998-08-06,14.094,14.125,13.969,14.0,332200,WEC
WEC,1998-08-07,14.3125,14.375,14.0315,14.0315,3839400,WEC
WEC,1998-08-10,14.0315,14.125,13.9375,13.97,2917600,WEC
WEC,1998-08-11,14.094,14.094,13.6875,13.905,1163000,WEC
WEC,1998-08-12,14.375,14.4375,13.7815,14.065,634400,WEC
WEC,1998-08-13,14.25,14.4065,14.0625,14.405,492800,WEC
WEC,1998-08-14,14.2815,14.375,14.0625,14.315,177600,WEC
WEC,1998-08-17,14.625,14.625,14.0625,14.155,390200,WEC
WEC,1998-08-18,14.344,14.5,14.0,14.5,253199,WEC
WEC,1998-08-19,14.219,14.2815,14.125,14.22,295000,WEC
WEC,1998-08-20,14.375,14.375,14.0625,14.155,265800,WEC
WEC,1998-08-21,14.7815,14.7815,14.125,14.28,254400,WEC
WEC,1998-08-24,14.9375,14.9375,14.594,14.655,365600,WEC
WEC,1998-08-25,14.6565,15.0,14.5625,14.94,738200,WEC
WEC,1998-08-26,14.594,14.6565,14.5,14.625,271400,WEC
WEC,1998-08-27,14.469,14.594,14.4065,14.594,498000,WEC
WEC,1998-08-28,14.719,14.719,14.344,14.44,788400,WEC
WEC,1998-08-31,14.5315,14.7815,14.5315,14.69,739000,WEC
WEC,1998-09-01,14.875,14.9065,14.5315,14.565,1394400,WEC
WEC,1998-09-02,14.6565,14.9065,14.594,14.905,661200,WEC
WEC,1998-09-03,14.469,14.5625,14.344,14.53,926200,WEC
WEC,1998-09-04,14.2815,14.4065,14.1565,14.345,915400,WEC
WEC,1998-09-07,14.2815,14.4065,14.1565,14.345,0,WEC
WEC,1998-09-08,14.5,14.5,14.125,14.315,853800,WEC
WEC,1998-09-09,14.719,14.719,14.469,14.53,300200,WEC
WEC,1998-09-10,14.6875,14.844,14.5625,14.595,567600,WEC
WEC,1998-09-11,14.75,14.7815,14.5625,14.595,425000,WEC
WEC,1998-09-14,14.9375,14.969,14.6565,14.78,289800,WEC
WEC,1998-09-15,15.0625,15.1565,14.9375,14.94,473600,WEC
WEC,1998-09-16,15.219,15.4375,15.0,15.065,234400,WEC
WEC,1998-09-17,15.125,15.125,14.9375,15.095,213200,WEC
WEC,1998-09-18,15.25,15.25,14.969,15.0,204000,WEC
WEC,1998-09-21,15.344,15.344,14.969,15.065,214600,WEC
WEC,1998-09-22,15.5,15.5,15.094,15.22,235600,WEC
WEC,1998-09-23,15.5315,15.625,15.1565,15.625,268600,WEC
WEC,1998-09-24,15.344,15.5,15.25,15.5,162600,WEC
WEC,1998-09-25,15.469,15.625,15.25,15.25,428400,WEC
WEC,1998-09-28,15.469,15.469,15.3125,15.345,190600,WEC
WEC,1998-09-29,16.0,16.0,15.4375,15.44,322800,WEC
WEC,1998-09-30,15.7815,15.9375,15.75,15.9375,434600,WEC
WEC,1998-10-01,16.1875,16.1875,15.719,15.78,389800,WEC
WEC,1998-10-02,16.3125,16.469,16.0315,16.065,381200,WEC
WEC,1998-10-05,16.469,16.469,16.0315,16.095,322400,WEC
WEC,1998-10-06,16.344,16.5625,16.094,16.5,578400,WEC
WEC,1998-10-07,16.4065,16.5,16.125,16.315,615400,WEC
WEC,1998-10-08,16.8125,16.8125,16.219,16.375,467000,WEC
WEC,1998-10-09,15.875,17.0,15.875,16.94,867800,WEC
WEC,1998-10-12,15.2815,15.875,15.1565,15.875,479800,WEC
WEC,1998-10-13,15.4375,15.5,15.1875,15.19,1111800,WEC
WEC,1998-10-14,15.9065,16.125,15.375,15.375,417400,WEC
WEC,1998-10-15,15.969,16.094,15.6565,15.815,388800,WEC
WEC,1998-10-16,15.7815,16.0625,15.75,16.0625,189600,WEC
WEC,1998-10-19,15.625,15.719,15.5625,15.625,174400,WEC
WEC,1998-10-20,15.344,15.719,15.2815,15.69,631200,WEC
WEC,1998-10-21,15.2815,15.4375,15.219,15.4375,183600,WEC
WEC,1998-10-22,15.4065,15.469,15.2815,15.2815,138800,WEC
WEC,1998-10-23,15.2815,15.469,15.219,15.44,309600,WEC
WEC,1998-10-26,15.344,15.344,15.0315,15.28,286200,WEC
WEC,1998-10-27,15.2815,15.4065,15.125,15.315,858600,WEC
WEC,1998-10-28,15.375,15.4375,15.1875,15.19,224600,WEC
WEC,1998-10-29,15.25,15.375,15.125,15.28,880600,WEC
WEC,1998-10-30,15.3125,15.375,15.219,15.22,367800,WEC
WEC,1998-11-02,15.5625,15.594,15.2815,15.2815,177600,WEC
WEC,1998-11-03,15.6875,15.719,15.4375,15.565,588400,WEC
WEC,1998-11-04,15.594,16.0625,15.5,15.75,498000,WEC
WEC,1998-11-05,15.625,15.6565,15.5315,15.595,413200,WEC
WEC,1998-11-06,15.75,15.8125,15.6875,15.69,3255400,WEC
WEC,1998-11-09,15.25,15.594,15.219,15.594,918600,WEC
WEC,1998-11-10,15.625,15.6565,15.219,15.25,343200,WEC
WEC,1998-11-11,15.5,15.625,15.4375,15.625,330200,WEC
WEC,1998-11-12,15.4375,15.5,15.3438,15.4375,313000,WEC
WEC,1998-11-13,15.469,15.5,15.344,15.345,248800,WEC
WEC,1998-11-16,15.3125,15.469,15.3125,15.405,205000,WEC
WEC,1998-11-17,15.1875,15.4065,15.094,15.315,576200,WEC
WEC,1998-11-18,15.344,15.4065,15.219,15.22,289400,WEC
WEC,1998-11-19,15.344,15.375,15.219,15.315,148800,WEC
WEC,1998-11-20,15.4375,15.469,15.1875,15.405,671200,WEC
WEC,1998-11-23,15.4375,15.5,15.344,15.405,693000,WEC
WEC,1998-11-24,15.3125,15.469,15.25,15.405,479800,WEC
WEC,1998-11-25,15.3125,15.469,15.25,15.405,0,WEC
WEC,1998-11-26,15.3125,15.469,15.25,15.405,0,WEC
