Symbol,Date,Close,High,Low,Open,Volume,Name
WHR,1998-05-29,68.313,68.938,67.375,67.38,298500,WHR
WHR,1998-06-01,67.375,69.25,66.625,68.31,305800,WHR
WHR,1998-06-02,67.125,68.625,67.063,67.5,299300,WHR
WHR,1998-06-03,67.0,67.875,67.0,67.38,253000,WHR
WHR,1998-06-04,67.438,68.0,67.0,68.0,234100,WHR
WHR,1998-06-05,67.938,68.5,67.438,67.63,168600,WHR
WHR,1998-06-08,69.188,69.75,68.5,69.19,271500,WHR
WHR,1998-06-09,67.375,69.25,67.313,69.13,239100,WHR
WHR,1998-06-10,66.5,67.625,66.5,67.5,117100,WHR
WHR,1998-06-11,64.688,66.75,64.625,66.75,236200,WHR
WHR,1998-06-12,63.5,64.5,63.25,64.5,137500,WHR
WHR,1998-06-15,62.875,63.813,62.438,63.25,428100,WHR
WHR,1998-06-16,63.125,64.25,62.8125,63.75,632400,WHR
WHR,1998-06-17,63.875,65.313,63.188,63.38,319900,WHR
WHR,1998-06-18,63.25,64.0,63.188,64.0,257299,WHR
WHR,1998-06-19,63.375,63.75,63.313,63.313,161000,WHR
WHR,1998-06-22,63.0,63.75,62.813,63.5,176900,WHR
WHR,1998-06-23,66.438,66.5,63.375,63.38,337700,WHR
WHR,1998-06-24,67.813,68.5,66.375,66.44,329300,WHR
WHR,1998-06-25,67.438,68.125,67.25,68.0,295300,WHR
WHR,1998-06-26,68.125,69.0,67.563,67.69,145000,WHR
WHR,1998-06-29,66.625,68.563,66.563,68.25,165300,WHR
WHR,1998-06-30,68.75,69.0,66.5,66.69,149400,WHR
WHR,1998-07-01,69.188,69.375,68.688,68.88,264800,WHR
WHR,1998-07-02,68.25,68.5,67.688,68.38,144500,WHR
WHR,1998-07-03,68.25,68.5,67.688,68.38,0,WHR
WHR,1998-07-06,69.375,69.938,68.25,68.25,231100,WHR
WHR,1998-07-07,68.875,69.625,68.75,69.625,133900,WHR
WHR,1998-07-08,69.25,69.438,68.5,69.0,195500,WHR
WHR,1998-07-09,67.75,69.375,67.5,69.375,212700,WHR
WHR,1998-07-10,66.563,67.5,66.5,67.5,103300,WHR
WHR,1998-07-13,68.0,68.5,66.5,66.56,113100,WHR
WHR,1998-07-14,69.313,69.875,68.25,68.25,220900,WHR
WHR,1998-07-15,63.938,69.563,62.688,69.5,1833000,WHR
WHR,1998-07-16,63.125,65.0,62.625,63.94,897200,WHR
WHR,1998-07-17,62.25,63.5,62.0,63.25,398600,WHR
WHR,1998-07-20,60.75,62.375,60.5,62.25,321600,WHR
WHR,1998-07-21,58.875,61.25,58.813,60.88,369900,WHR
WHR,1998-07-22,59.9375,60.3125,58.5625,58.875,327700,WHR
WHR,1998-07-23,60.625,61.25,59.563,59.94,330400,WHR
WHR,1998-07-24,60.875,61.313,60.563,60.563,310700,WHR
WHR,1998-07-27,61.5,61.75,60.875,60.88,206000,WHR
WHR,1998-07-28,62.125,63.0,61.375,61.38,322000,WHR
WHR,1998-07-29,60.813,61.75,60.25,61.25,233700,WHR
WHR,1998-07-30,61.25,61.25,60.625,61.06,157500,WHR
WHR,1998-07-31,60.5,61.5,60.25,61.31,234300,WHR
WHR,1998-08-03,59.625,60.625,59.5,60.38,195700,WHR
WHR,1998-08-04,60.25,60.813,59.813,59.88,316100,WHR
