Symbol,Date,Close,High,Low,Open,Volume,Name
WMB,1998-05-29,24.4137,24.6954,23.9899,24.1817,1046477,WMB
WMB,1998-06-01,24.0372,24.3198,23.8012,24.0839,1109722,WMB
WMB,1998-06-02,23.8494,24.0838,23.8012,24.0387,952538,WMB
WMB,1998-06-03,23.8494,23.9899,23.7547,23.8505,1222262,WMB
WMB,1998-06-04,23.4256,23.7547,23.4256,23.5645,883446,WMB
WMB,1998-06-05,23.6134,23.6134,23.237,23.4291,982434,WMB
WMB,1998-06-08,23.7547,23.8494,23.3309,23.7075,1270760,WMB
WMB,1998-06-09,23.3782,23.8012,23.3309,23.5645,1005021,WMB
WMB,1998-06-10,23.3309,23.7547,23.1431,23.1882,1482952,WMB
WMB,1998-06-11,23.1904,23.473,22.8605,23.3312,1410671,WMB
WMB,1998-06-12,23.3309,23.896,23.237,23.3764,1737130,WMB
WMB,1998-06-15,21.732,23.0492,21.732,22.9549,1517497,WMB
WMB,1998-06-16,21.9198,22.1084,21.6854,21.8711,2556534,WMB
WMB,1998-06-17,21.8733,22.4849,21.8733,21.9238,1263850,WMB
WMB,1998-06-18,22.4849,22.8605,22.0145,22.0593,1418244,WMB
WMB,1998-06-19,23.0492,23.1431,22.7201,22.9549,1602135,WMB
WMB,1998-06-22,22.9079,23.1431,22.5788,23.0528,915733,WMB
WMB,1998-06-23,23.1431,23.2843,22.3902,22.7668,1747095,WMB
WMB,1998-06-24,23.4256,23.6134,22.5788,23.3312,2729264,WMB
WMB,1998-06-25,23.3309,23.5195,23.1904,23.4742,1564666,WMB
WMB,1998-06-26,24.1311,24.2724,23.3782,23.4291,1683052,WMB
WMB,1998-06-29,24.6015,25.2131,24.3663,24.4602,2476015,WMB
WMB,1998-06-30,25.4009,25.8713,24.6015,24.7913,2985170,WMB
WMB,1998-07-01,25.5422,25.6361,24.884,25.3106,1223591,WMB
WMB,1998-07-02,25.4483,25.9187,25.1184,25.6869,2077541,WMB
WMB,1998-07-03,25.4483,25.9187,25.1184,25.6869,0,WMB
WMB,1998-07-06,26.4356,26.6716,25.7774,25.8224,2364671,WMB
WMB,1998-07-07,26.0591,26.6242,26.0126,26.4847,2256648,WMB
WMB,1998-07-08,25.9187,26.0126,25.6361,25.9654,1572240,WMB
WMB,1998-07-09,25.4483,25.9187,25.2605,25.8224,1433258,WMB
WMB,1998-07-10,26.0126,26.1538,24.978,25.2579,2511225,WMB
WMB,1998-07-13,26.1073,26.1538,25.3544,25.8224,1490791,WMB
WMB,1998-07-14,26.5777,26.7181,25.8713,25.9202,1655947,WMB
WMB,1998-07-15,27.1885,27.6588,26.5295,26.6729,1658870,WMB
WMB,1998-07-16,27.7062,27.8001,26.9059,27.2373,1386621,WMB
WMB,1998-07-17,27.1419,27.6588,26.812,27.5158,1571177,WMB
WMB,1998-07-20,27.0946,27.1419,26.2012,27.0943,828438,WMB
WMB,1998-07-21,25.8713,27.3297,25.4949,27.0492,1617548,WMB
WMB,1998-07-22,25.7774,25.8248,24.9306,25.4988,1275676,WMB
WMB,1998-07-23,25.4949,25.7774,25.4009,25.6869,1390076,WMB
WMB,1998-07-24,25.8713,26.4356,25.307,25.3106,909887,WMB
WMB,1998-07-27,25.7774,26.0126,25.2131,25.4988,1080890,WMB
WMB,1998-07-28,25.1658,25.5888,24.8367,25.5888,1189842,WMB
WMB,1998-07-29,24.8367,25.4009,24.7428,25.1225,982965,WMB
WMB,1998-07-30,24.9306,25.2605,24.8367,24.8367,799739,WMB
WMB,1998-07-31,24.1777,25.1184,23.9433,25.0246,1240333,WMB
WMB,1998-08-03,24.1311,24.648,23.9899,24.5053,1301054,WMB
WMB,1998-08-04,22.5323,24.1311,21.732,24.129,2275383,WMB
WMB,1998-08-05,21.8259,23.0965,20.9791,22.5335,2288935,WMB
WMB,1998-08-06,22.0145,22.3902,21.5915,22.0141,1459168,WMB
WMB,1998-08-07,22.5788,22.9079,22.0145,22.2023,1875713,WMB
WMB,1998-08-10,22.4375,22.8605,22.2963,22.6238,888628,WMB
WMB,1998-08-11,21.9672,22.1558,21.2616,21.826,1398048,WMB
WMB,1998-08-12,22.5788,22.6727,21.8733,22.0593,844383,WMB
WMB,1998-08-13,23.2843,23.473,22.6262,22.6262,1187185,WMB
WMB,1998-08-14,22.1558,23.0492,21.4029,22.9549,1124471,WMB
WMB,1998-08-17,22.5788,23.0965,22.0145,22.1571,1239668,WMB
WMB,1998-08-18,21.8733,22.5323,21.4495,22.4883,1989449,WMB
WMB,1998-08-19,22.2024,22.2963,22.0145,22.0593,710849,WMB
WMB,1998-08-20,21.9672,22.3436,21.5434,22.2023,693975,WMB
WMB,1998-08-21,21.5915,22.2024,20.6026,22.112,1378118,WMB
WMB,1998-08-24,21.2616,22.2024,20.9325,21.683,823921,WMB
WMB,1998-08-25,21.8259,22.1084,21.2151,22.0141,974993,WMB
WMB,1998-08-26,20.5561,21.4029,20.227,20.6971,2379951,WMB
WMB,1998-08-27,18.9572,20.0857,18.4395,20.0423,3370889,WMB
WMB,1998-08-28,18.8633,19.2389,18.4869,18.6274,1947462,WMB
WMB,1998-08-31,17.3101,18.9572,17.1223,18.8155,1863621,WMB
WMB,1998-09-01,17.4041,17.64,15.0523,17.3103,6152370,WMB
WMB,1998-09-02,17.3575,17.8744,17.0758,17.4984,2000344,WMB
WMB,1998-09-03,17.4514,18.2043,17.0284,17.1673,2024260,WMB
WMB,1998-09-04,18.2043,18.4869,17.7805,18.0177,1418643,WMB
WMB,1998-09-07,18.2043,18.4869,17.7805,18.0177,0,WMB
WMB,1998-09-08,18.063,18.8151,17.9691,18.3489,1605590,WMB
WMB,1998-09-09,19.2389,19.5215,18.3448,18.3489,2789852,WMB
WMB,1998-09-10,19.6154,19.8506,18.4869,19.0488,2797824,WMB
WMB,1998-09-11,19.9918,20.1323,18.3448,19.237,1433790,WMB
WMB,1998-09-14,21.073,21.6854,20.0384,20.0423,1988386,WMB
WMB,1998-09-15,20.1797,21.073,20.1323,21.073,1540882,WMB
WMB,1998-09-16,20.4148,20.5087,20.0384,20.0874,896600,WMB
WMB,1998-09-17,19.4741,20.2744,19.3337,20.1778,1327893,WMB
WMB,1998-09-18,19.8979,19.9445,19.2389,19.523,1397251,WMB
WMB,1998-09-21,20.227,20.4148,19.568,19.8014,753500,WMB
WMB,1998-09-22,20.6026,20.7913,19.804,20.0423,1423958,WMB
WMB,1998-09-23,21.9198,21.9672,20.8852,20.9831,2051764,WMB
WMB,1998-09-24,21.4968,23.3309,20.9791,23.3309,1465944,WMB
WMB,1998-09-25,21.8733,21.8733,20.6026,21.0734,1047672,WMB
WMB,1998-09-28,21.4029,21.8733,20.65,21.8711,962503,WMB
WMB,1998-09-29,21.5434,21.7794,21.073,21.5927,702080,WMB
WMB,1998-09-30,21.6381,21.6381,20.3683,21.1712,2112352,WMB
WMB,1998-10-01,19.9918,21.6381,19.7567,21.2615,1558953,WMB
WMB,1998-10-02,20.9325,21.0265,19.3802,19.9896,1868936,WMB
WMB,1998-10-05,22.0145,22.0145,20.7447,20.8852,1773138,WMB
WMB,1998-10-06,21.6381,22.1558,20.9791,22.1558,1147856,WMB
WMB,1998-10-07,21.309,21.732,21.073,21.6378,1182269,WMB
WMB,1998-10-08,20.7913,21.0265,20.1323,20.8852,1740452,WMB
WMB,1998-10-09,20.7447,20.9791,20.3209,20.8401,1354334,WMB
WMB,1998-10-12,20.3209,21.0265,20.3209,20.6971,1138156,WMB
WMB,1998-10-13,20.5087,20.8386,20.0857,20.7422,1515770,WMB
WMB,1998-10-14,20.7447,20.9791,20.2744,20.5089,1500889,WMB
WMB,1998-10-15,20.9791,21.2616,20.4148,20.5541,689059,WMB
WMB,1998-10-16,21.8259,21.8259,20.8852,21.1712,1856181,WMB
WMB,1998-10-19,21.732,21.9198,21.1677,21.5475,706332,WMB
WMB,1998-10-20,20.6026,21.4029,18.7212,21.2615,9054231,WMB
WMB,1998-10-21,20.8386,20.9791,19.4741,20.5089,2264753,WMB
WMB,1998-10-22,20.4622,20.65,19.9918,20.65,2039407,WMB
WMB,1998-10-23,20.227,20.3683,19.9918,20.2756,1773536,WMB
WMB,1998-10-26,20.7913,21.2151,19.9445,20.1778,1590708,WMB
WMB,1998-10-27,20.2744,21.4495,20.0384,20.6971,1507665,WMB
WMB,1998-10-28,20.2744,20.3683,19.9445,20.2756,1144933,WMB
WMB,1998-10-29,20.1323,20.65,19.1916,20.2304,3853602,WMB
WMB,1998-10-30,20.6026,20.7913,19.568,19.8993,2713984,WMB
WMB,1998-11-02,20.6026,20.8852,20.4148,20.5089,1814327,WMB
WMB,1998-11-03,20.5087,20.7913,20.4622,20.6971,1127527,WMB
WMB,1998-11-04,21.1212,21.309,20.6026,20.6971,2075282,WMB
WMB,1998-11-05,20.7913,20.9325,20.4622,20.6971,1470329,WMB
WMB,1998-11-06,21.073,21.5434,20.7913,20.9831,1392335,WMB
WMB,1998-11-09,20.7913,21.073,20.5561,20.8401,924104,WMB
WMB,1998-11-10,20.2744,20.65,19.9445,20.6067,1358055,WMB
WMB,1998-11-11,19.5215,20.4622,19.0977,20.4186,2350852,WMB
WMB,1998-11-12,20.2744,20.65,19.9445,,1358055,WMB
WMB,1998-11-13,19.5215,20.227,19.3802,19.7563,1071589,WMB
WMB,1998-11-16,20.6974,20.7447,19.9445,19.9445,2064520,WMB
WMB,1998-11-17,21.2616,21.2616,20.4148,20.5541,2165367,WMB
WMB,1998-11-18,22.0619,22.3902,21.073,21.2615,2863196,WMB
WMB,1998-11-19,22.5788,23.1431,21.4029,22.2475,3810685,WMB
WMB,1998-11-20,22.2963,23.1431,21.7794,23.1431,2432036,WMB
WMB,1998-11-23,22.2497,22.5788,21.9198,22.5335,1541414,WMB
WMB,1998-11-24,22.0145,22.2963,21.732,22.2475,1085407,WMB
WMB,1998-11-25,21.1261,21.4948,20.9454,21.4948,0,WMB
WMB,1998-11-26,21.1261,21.4948,20.9454,21.4948,0,WMB
WMB,1998-11-27,21.9198,22.0145,21.6381,21.6381,744465,WMB
WMB,1998-11-30,21.6854,21.9672,21.4495,21.9238,1054183,WMB
WMB,1998-12-01,21.4968,21.8733,21.309,21.5927,965161,WMB
WMB,1998-12-02,21.4495,21.5915,21.073,21.3067,935398,WMB
WMB,1998-12-03,20.6026,21.5915,20.6026,21.5915,1463951,WMB
WMB,1998-12-04,20.6974,21.0265,20.5561,20.8852,1232626,WMB
WMB,1998-12-07,20.65,21.0265,20.6026,20.6971,1214689,WMB
WMB,1998-12-08,21.1677,21.1677,19.568,20.4637,2696976,WMB
WMB,1998-12-09,20.3683,21.0265,20.227,20.9831,1673619,WMB
WMB,1998-12-10,19.9918,20.65,19.804,20.4186,2509232,WMB
WMB,1998-12-11,19.9918,20.3683,19.9445,20.1326,1280459,WMB
WMB,1998-12-14,20.6974,20.7913,19.9918,20.0423,1406153,WMB
WMB,1998-12-15,21.2151,21.3555,20.7447,20.7949,1516302,WMB
WMB,1998-12-16,21.7794,21.9672,21.1677,21.1712,1776858,WMB
WMB,1998-12-17,22.4849,22.5788,21.5434,21.683,1932315,WMB
WMB,1998-12-18,22.6727,22.9553,22.5788,22.9098,3075786,WMB
WMB,1998-12-21,22.5323,22.7666,22.4849,22.6238,1671626,WMB
WMB,1998-12-22,22.5788,22.6262,21.9198,22.4883,1347957,WMB
WMB,1998-12-23,23.1904,23.3309,22.4849,22.5786,1294277,WMB
WMB,1998-12-24,23.473,23.6134,23.1904,23.2861,663149,WMB
WMB,1998-12-25,23.473,23.6134,23.1904,23.2861,0,WMB
WMB,1998-12-28,23.9899,23.9899,23.5195,23.6624,1859901,WMB
WMB,1998-12-29,23.4256,23.9899,23.237,23.9899,827774,WMB
WMB,1998-12-30,23.3782,23.5195,23.237,23.5194,481384,WMB
WMB,1998-12-31,23.473,23.5195,23.237,23.3764,827110,WMB
WMB,1999-01-01,23.473,23.5195,23.237,23.3764,0,WMB
WMB,1999-01-04,22.7201,23.3782,22.4375,23.3312,2405595,WMB
WMB,1999-01-05,22.4849,22.8605,22.3902,22.5786,2400944,WMB
WMB,1999-01-06,23.1904,23.2843,22.814,22.9549,2378489,WMB
WMB,1999-01-07,23.1904,23.2843,22.6262,22.8646,1829740,WMB
WMB,1999-01-08,23.1904,23.4256,22.8605,23.1431,1373467,WMB
WMB,1999-01-11,22.3902,23.0965,22.3902,23.0528,1240731,WMB
WMB,1999-01-12,22.2497,22.5323,22.0619,22.4356,1214955,WMB
WMB,1999-01-13,22.5788,22.5788,21.6381,21.683,1794795,WMB
WMB,1999-01-14,22.4375,22.7201,22.0145,22.3905,2814433,WMB
WMB,1999-01-15,22.5788,22.5788,22.1084,22.4883,2293586,WMB
WMB,1999-01-18,22.5788,22.5788,22.1084,22.4883,0,WMB
WMB,1999-01-19,22.4375,22.5788,22.1084,22.3905,1346761,WMB
WMB,1999-01-20,22.2024,22.5788,21.6854,22.0141,1959287,WMB
WMB,1999-01-21,22.9553,23.8494,22.4849,22.4883,4743692,WMB
WMB,1999-01-22,24.4602,24.8367,23.0492,23.1431,3431078,WMB
WMB,1999-01-25,24.7901,25.2131,24.0838,24.558,3675690,WMB
WMB,1999-01-26,24.7428,25.0245,24.5541,24.8365,2600646,WMB
WMB,1999-01-27,24.884,25.0245,24.7428,24.7913,2857881,WMB
WMB,1999-01-28,24.8367,24.9306,24.648,24.7462,2462728,WMB
WMB,1999-01-29,24.8367,24.8367,24.4602,24.8365,1478301,WMB
WMB,1999-02-01,24.6015,24.7901,23.8494,24.7901,1406818,WMB
WMB,1999-02-02,24.7901,24.7901,24.4602,24.5053,1683052,WMB
WMB,1999-02-03,25.5888,25.7774,24.7428,24.7913,2735509,WMB
WMB,1999-02-04,26.2951,26.3417,25.4483,25.6343,3764048,WMB
WMB,1999-02-05,25.8713,26.2951,25.8713,26.1987,3047485,WMB
WMB,1999-02-08,27.1419,27.9414,26.0591,26.0632,5753364,WMB
WMB,1999-02-09,26.4356,27.4236,26.2478,27.2825,2804069,WMB
WMB,1999-02-10,26.7655,27.048,26.2478,26.3417,1624324,WMB
WMB,1999-02-11,26.8594,27.048,26.5295,26.5299,3410218,WMB
WMB,1999-02-12,26.7181,27.0946,26.5777,26.861,1046211,WMB
WMB,1999-02-15,26.7181,27.0946,26.5777,26.861,0,WMB
WMB,1999-02-16,26.0126,26.9533,25.9652,26.5299,1697004,WMB
WMB,1999-02-17,25.9187,26.1538,25.8248,26.0106,1713878,WMB
WMB,1999-02-18,25.4483,25.9187,25.1184,25.9187,1909461,WMB
WMB,1999-02-19,25.4009,25.6835,24.8367,25.4009,1828145,WMB
WMB,1999-02-22,26.812,26.9059,25.4009,25.5439,2264753,WMB
WMB,1999-02-23,26.1538,27.048,25.8248,26.9062,1634422,WMB
WMB,1999-02-24,27.0946,27.1419,26.389,26.5299,1990379,WMB
WMB,1999-02-25,27.2358,27.3763,26.7655,26.9062,2064785,WMB
WMB,1999-02-26,27.8466,27.894,27.3297,27.4255,3207194,WMB
WMB,1999-03-01,26.7655,27.8466,26.6716,27.8466,2460469,WMB
WMB,1999-03-02,25.307,26.7181,25.1184,26.718,2658843,WMB
WMB,1999-03-03,25.6361,25.7309,25.2131,25.3106,1736599,WMB
WMB,1999-03-04,25.5888,25.8713,25.4009,25.7321,1562274,WMB
WMB,1999-03-05,25.6361,26.0591,25.5888,25.9654,1730620,WMB
WMB,1999-03-08,25.5888,25.9187,25.5888,25.8224,768647,WMB
WMB,1999-03-09,25.4949,26.2951,25.4009,25.6869,1488001,WMB
WMB,1999-03-10,27.3297,27.7527,25.3544,25.3558,2850839,WMB
WMB,1999-03-11,27.2824,27.9414,26.8594,27.704,2190479,WMB
WMB,1999-03-12,26.8594,27.7527,26.4356,27.6588,1605457,WMB
WMB,1999-03-15,26.812,27.6123,26.6716,27.4706,1996358,WMB
WMB,1999-03-16,27.894,27.9414,27.3297,27.4706,2971351,WMB
WMB,1999-03-17,29.7289,29.9167,28.2231,28.2233,5639761,WMB
WMB,1999-03-18,30.058,30.1519,29.0234,29.3522,2906910,WMB
WMB,1999-03-19,29.6815,29.7289,28.8821,29.3522,2621905,WMB
WMB,1999-03-22,29.1173,29.4937,28.5995,29.164,2508435,WMB
WMB,1999-03-23,29.1638,29.2577,28.0826,28.6974,2644095,WMB
WMB,1999-03-24,29.6815,29.9641,29.0234,29.164,2040736,WMB
WMB,1999-03-25,29.7289,30.1045,29.4937,29.9167,2019477,WMB
WMB,1999-03-26,29.2112,29.5403,29.0234,29.5403,1878769,WMB
WMB,1999-03-29,30.481,30.8574,29.6342,29.6834,2522519,WMB
