Symbol,Date,Close,High,Low,Open,Volume,Name
WYNN,2002-10-25,13.01,13.15,12.85,13.05,13965800,WYNN
WYNN,2002-10-28,13.01,13.05,12.963,13.01,5505900,WYNN
WYNN,2002-10-29,12.64,13.01,12.04,13.0,2235800,WYNN
WYNN,2002-10-30,12.5,12.62,12.13,12.61,905800,WYNN
WYNN,2002-10-31,12.61,13.02,12.502,12.56,296400,WYNN
WYNN,2002-11-01,12.61,12.7,12.57,12.59,268800,WYNN
WYNN,2002-11-04,12.91,12.95,12.65,12.66,1307600,WYNN
WYNN,2002-11-05,13.24,13.24,12.919,12.919,2384700,WYNN
WYNN,2002-11-06,13.0,13.2,13.0,13.03,204300,WYNN
WYNN,2002-11-07,13.05,13.16,12.36,13.08,724200,WYNN
WYNN,2002-11-08,12.93,13.039,12.83,13.02,106500,WYNN
WYNN,2002-11-11,12.71,13.0,12.65,13.0,110500,WYNN
WYNN,2002-11-12,11.96,12.74,11.86,12.73,540700,WYNN
WYNN,2002-11-13,11.1,12.09,10.76,12.05,695600,WYNN
WYNN,2002-11-14,11.09,11.25,10.88,11.13,462800,WYNN
WYNN,2002-11-15,11.55,11.56,11.08,11.1,460700,WYNN
WYNN,2002-11-18,12.18,13.05,11.57,11.58,325400,WYNN
WYNN,2002-11-19,12.6,12.8,12.02,12.36,211596,WYNN
WYNN,2002-11-20,12.6,12.6,12.41,12.561,92725,WYNN
WYNN,2002-11-21,12.85,12.85,12.54,12.54,91300,WYNN
WYNN,2002-11-22,12.65,12.86,12.5,12.85,55300,WYNN
WYNN,2002-11-25,12.93,13.0,12.66,12.8,111000,WYNN
WYNN,2002-11-26,12.74,12.94,12.74,12.94,59300,WYNN
WYNN,2002-11-27,12.5,12.9,12.5,12.9,94300,WYNN
WYNN,2002-11-28,12.5,12.9,12.5,12.9,0,WYNN
WYNN,2002-11-29,12.82,12.89,12.6,12.78,35400,WYNN
WYNN,2002-12-02,12.41,12.95,12.35,12.94,93600,WYNN
WYNN,2002-12-03,12.37,12.5,12.31,12.5,31100,WYNN
WYNN,2002-12-04,12.6,12.6,12.31,12.45,42300,WYNN
WYNN,2002-12-05,13.28,13.3,12.76,12.85,366100,WYNN
WYNN,2002-12-06,13.18,13.38,12.99,13.15,129300,WYNN
WYNN,2002-12-09,13.0,13.3,12.88,13.29,95900,WYNN
WYNN,2002-12-10,13.0,13.19,12.93,13.0,48300,WYNN
WYNN,2002-12-11,13.25,13.39,13.02,13.1,189700,WYNN
WYNN,2002-12-12,13.74,13.8,13.27,13.39,361400,WYNN
WYNN,2002-12-13,13.7,14.39,13.53,13.73,615664,WYNN
WYNN,2002-12-16,13.68,14.07,13.66,13.75,170900,WYNN
WYNN,2002-12-17,13.489,13.91,13.31,13.91,95100,WYNN
