Symbol,Date,Close,High,Low,Open,Volume,Name
XL,1998-05-29,75.25,75.375,74.813,,169000,XL
XL,1998-06-01,75.0,75.75,74.938,,166200,XL
XL,1998-06-02,74.938,75.188,74.875,,123400,XL
XL,1998-06-03,74.813,75.0,74.75,,71500,XL
XL,1998-06-04,74.938,75.5,74.75,,136600,XL
XL,1998-06-05,74.563,74.938,74.5,,134300,XL
XL,1998-06-08,75.438,75.438,74.438,,89700,XL
XL,1998-06-09,75.063,75.75,75.063,,82900,XL
XL,1998-06-10,74.75,75.0,74.75,,55600,XL
XL,1998-06-11,74.313,74.75,74.25,,121500,XL
XL,1998-06-12,74.375,74.75,74.063,,243500,XL
XL,1998-06-15,73.75,74.188,73.75,,167200,XL
XL,1998-06-16,74.25,74.25,73.5,,228300,XL
XL,1998-06-17,74.125,74.875,74.0,,219300,XL
XL,1998-06-18,72.25,74.0,72.25,,280200,XL
XL,1998-06-19,72.938,72.938,72.625,,181600,XL
XL,1998-06-22,72.688,73.875,72.688,,246500,XL
XL,1998-06-23,72.563,73.5,72.469,,334000,XL
XL,1998-06-24,73.25,73.875,72.438,,406200,XL
XL,1998-06-25,74.688,74.75,73.25,,389100,XL
XL,1998-06-26,76.813,77.0,74.625,,234300,XL
XL,1998-06-29,77.25,77.75,76.75,,256000,XL
XL,1998-06-30,77.75,78.25,76.688,,212000,XL
XL,1998-07-01,77.813,77.938,77.688,,149900,XL
XL,1998-07-02,77.813,77.813,77.5,,64500,XL
XL,1998-07-03,77.813,77.813,77.5,,0,XL
XL,1998-07-06,78.438,78.5,77.563,,101300,XL
XL,1998-07-07,80.375,80.625,78.438,,336200,XL
XL,1998-07-08,81.625,82.0,79.938,,269000,XL
XL,1998-07-09,81.875,82.313,81.0,,127000,XL
XL,1998-07-10,81.938,82.875,81.625,,180100,XL
XL,1998-07-13,83.0,85.313,81.25,,301500,XL
XL,1998-07-14,82.063,82.938,82.063,,65600,XL
XL,1998-07-15,83.188,84.0,82.25,,214100,XL
XL,1998-07-16,82.938,83.188,82.375,,94200,XL
XL,1998-07-17,82.438,82.625,82.125,,120200,XL
XL,1998-07-20,82.75,82.75,82.125,,136200,XL
XL,1998-07-21,83.25,83.5,83.188,,192300,XL
XL,1998-07-22,82.125,83.188,82.125,,111400,XL
XL,1998-07-23,82.063,82.313,82.0,,285600,XL
XL,1998-07-24,79.75,82.25,78.688,,330200,XL
XL,1998-07-27,77.75,79.25,77.375,,303100,XL
XL,1998-07-28,76.688,77.625,75.875,,665400,XL
XL,1998-07-29,75.813,77.188,75.563,,1171800,XL
XL,1998-07-30,75.938,76.125,75.375,,160400,XL
XL,1998-07-31,78.063,79.063,76.0,,226200,XL
XL,1998-08-03,81.5,83.25,78.0,,551400,XL
XL,1998-08-04,80.125,82.313,79.625,,500900,XL
XL,1998-08-05,79.688,80.438,79.125,,428000,XL
XL,1998-08-06,79.25,79.688,78.813,,517200,XL
XL,1998-08-07,79.188,79.375,79.0,,395500,XL
XL,1998-08-10,79.875,79.875,78.75,,142900,XL
XL,1998-08-11,77.625,79.875,76.938,,203200,XL
XL,1998-08-12,78.875,79.0,78.188,,64699,XL
XL,1998-08-13,79.875,79.875,78.688,,26800,XL
XL,1998-08-14,78.125,79.75,77.813,,52700,XL
XL,1998-08-17,77.125,77.875,77.063,,173600,XL
XL,1998-08-18,78.625,78.625,76.25,,316500,XL
XL,1998-08-19,77.813,78.625,77.813,,345400,XL
XL,1998-08-20,76.313,77.313,76.188,77.31,284900,XL
