Symbol,Date,Close,High,Low,Open,Volume,Name
ZBH,2001-07-25,29.76,30.95,29.5,29.5,2439400,ZBH
ZBH,2001-07-26,28.1,28.9,28.0,28.9,2675400,ZBH
ZBH,2001-07-27,28.4,29.01,28.2,28.2,1398200,ZBH
ZBH,2001-07-30,28.46,28.55,28.4,28.4,766900,ZBH
ZBH,2001-07-31,28.6,28.65,28.43,28.46,974600,ZBH
ZBH,2001-08-01,29.5,29.85,29.0,29.0,1863700,ZBH
ZBH,2001-08-02,28.65,29.7,28.5,29.48,785000,ZBH
ZBH,2001-08-03,28.0,28.45,27.9,28.4,1204500,ZBH
ZBH,2001-08-06,27.76,28.2,27.3,28.0,1565500,ZBH
ZBH,2001-08-07,29.94,30.5,28.2,28.5,7815800,ZBH
ZBH,2001-08-08,28.69,29.75,28.05,29.7,5274500,ZBH
ZBH,2001-08-09,28.36,28.45,27.55,28.1,2699800,ZBH
ZBH,2001-08-10,28.0,28.35,27.43,28.0,3193700,ZBH
ZBH,2001-08-13,27.3,27.85,26.85,27.75,4769800,ZBH
ZBH,2001-08-14,27.7,28.1,27.2,27.3,3653700,ZBH
ZBH,2001-08-15,28.08,28.4,27.7,27.75,2612900,ZBH
ZBH,2001-08-16,28.1,28.1,27.3,28.03,2127100,ZBH
ZBH,2001-08-17,28.0,28.0,26.53,27.7,1727200,ZBH
ZBH,2001-08-20,27.2,27.72,26.8,27.65,2066399,ZBH
ZBH,2001-08-21,27.34,27.44,27.1,27.2,1865500,ZBH
ZBH,2001-08-22,27.26,27.26,26.4,27.1,2549800,ZBH
ZBH,2001-08-23,26.75,27.19,26.75,27.15,2297900,ZBH
ZBH,2001-08-24,26.69,26.71,26.05,26.25,1909700,ZBH
ZBH,2001-08-27,26.66,26.8,26.3,26.6,1424100,ZBH
ZBH,2001-08-28,26.02,26.3,25.86,26.1,2378100,ZBH
ZBH,2001-08-29,26.4,26.75,25.95,26.02,2013999,ZBH
ZBH,2001-08-30,26.95,27.3,26.4,26.4,2438000,ZBH
ZBH,2001-08-31,27.2,27.2,26.5,26.8,1425000,ZBH
ZBH,2001-09-03,27.2,27.2,26.5,26.8,0,ZBH
ZBH,2001-09-04,27.78,28.0,27.1,27.1,1697200,ZBH
ZBH,2001-09-05,27.65,27.83,27.15,27.65,1654700,ZBH
ZBH,2001-09-06,27.24,27.6,27.0,27.55,2030900,ZBH
ZBH,2001-09-07,26.66,27.87,26.4,26.5,1748200,ZBH
ZBH,2001-09-10,26.44,26.8,26.3,26.5,1020100,ZBH
ZBH,2001-09-11,26.44,26.8,26.3,26.5,0,ZBH
ZBH,2001-09-12,26.44,26.8,26.3,26.5,0,ZBH
