Symbol,Date,Close,High,Low,Open,Volume,Name
ZION,1998-05-29,51.0,53.063,51.0,51.75,95500,ZION
ZION,1998-06-01,50.375,51.5,50.25,51.5,145000,ZION
ZION,1998-06-02,50.375,51.0,49.75,50.13,100300,ZION
ZION,1998-06-03,49.375,51.5,49.375,50.38,127099,ZION
ZION,1998-06-04,49.625,50.875,48.625,50.5,137300,ZION
ZION,1998-06-05,49.125,49.375,49.125,49.25,1081600,ZION
ZION,1998-06-08,49.625,50.5,49.125,49.5,266600,ZION
ZION,1998-06-09,49.375,49.938,49.125,49.69,145200,ZION
ZION,1998-06-10,49.0,49.438,49.0,49.38,163900,ZION
ZION,1998-06-11,49.375,49.375,49.0,49.31,95000,ZION
ZION,1998-06-12,48.875,49.563,48.125,49.38,113200,ZION
ZION,1998-06-15,48.5,49.0,48.188,48.63,54000,ZION
ZION,1998-06-16,49.0,49.0,48.188,48.5,184300,ZION
ZION,1998-06-17,50.375,50.75,48.688,48.88,451400,ZION
ZION,1998-06-18,51.188,51.188,50.25,50.31,277900,ZION
ZION,1998-06-19,51.813,51.813,50.875,51.19,241400,ZION
ZION,1998-06-22,52.063,52.5,51.5,52.0,316500,ZION
ZION,1998-06-23,52.063,52.25,51.75,51.75,167100,ZION
ZION,1998-06-24,51.75,52.125,51.625,51.94,161500,ZION
ZION,1998-06-25,51.938,52.188,51.75,52.13,167400,ZION
ZION,1998-06-26,52.0,52.125,51.875,52.125,66600,ZION
ZION,1998-06-29,52.625,52.875,51.75,52.13,90700,ZION
ZION,1998-06-30,53.125,53.75,52.0,52.5,254199,ZION
ZION,1998-07-01,53.75,54.0,52.25,53.13,147100,ZION
ZION,1998-07-02,53.625,53.875,52.75,53.56,57400,ZION
ZION,1998-07-03,53.625,53.875,52.75,53.56,0,ZION
ZION,1998-07-06,53.0,54.0,53.0,53.0,110200,ZION
ZION,1998-07-07,53.938,54.188,53.0,53.0,612700,ZION
ZION,1998-07-08,53.5,54.125,53.375,53.5,109300,ZION
ZION,1998-07-09,53.25,53.875,53.0,53.5,74400,ZION
ZION,1998-07-10,53.938,53.938,53.0,53.88,268300,ZION
ZION,1998-07-13,54.125,54.25,53.5,53.69,112900,ZION
ZION,1998-07-14,54.5,55.375,53.625,53.88,176100,ZION
ZION,1998-07-15,56.0,56.0,54.5,54.5,202500,ZION
ZION,1998-07-16,57.0,58.0,55.25,55.38,185000,ZION
ZION,1998-07-17,57.25,58.125,56.5,57.06,232800,ZION
ZION,1998-07-20,56.438,57.625,55.375,57.625,87300,ZION
ZION,1998-07-21,54.0,56.5,54.0,55.63,66300,ZION
ZION,1998-07-22,52.5,54.25,52.5,54.13,136600,ZION
ZION,1998-07-23,51.313,53.5,51.125,53.25,136800,ZION
ZION,1998-07-24,50.125,51.25,49.75,50.13,410500,ZION
ZION,1998-07-27,50.125,50.875,49.75,50.38,157900,ZION
ZION,1998-07-28,48.75,50.375,48.125,50.375,192400,ZION
ZION,1998-07-29,49.5,50.0,49.0,49.5,121200,ZION
ZION,1998-07-30,51.125,51.125,49.0,50.0,185300,ZION
ZION,1998-07-31,49.0,51.125,48.875,51.125,156600,ZION
ZION,1998-08-03,49.125,49.5,48.75,48.88,114800,ZION
ZION,1998-08-04,49.125,49.688,49.125,49.5,294500,ZION
ZION,1998-08-05,47.125,49.688,47.125,49.688,409800,ZION
ZION,1998-08-06,48.125,48.375,46.875,47.13,210300,ZION
ZION,1998-08-07,48.25,48.875,47.625,48.13,102600,ZION
ZION,1998-08-10,48.438,48.5,47.5,48.5,82500,ZION
ZION,1998-08-11,47.125,48.25,47.0,47.75,166800,ZION
ZION,1998-08-12,47.75,48.0,47.25,47.63,122900,ZION
ZION,1998-08-13,46.25,48.0,46.0,47.38,130500,ZION
ZION,1998-08-14,46.375,47.25,45.625,46.38,310400,ZION
ZION,1998-08-17,45.563,46.5,45.125,46.0,86100,ZION
ZION,1998-08-18,46.625,47.875,45.25,45.88,299600,ZION
ZION,1998-08-19,46.25,47.375,45.75,46.63,77100,ZION
ZION,1998-08-20,45.688,47.0,45.625,46.88,92200,ZION
ZION,1998-08-21,43.0,45.5,43.0,45.38,188400,ZION
ZION,1998-08-24,43.5,44.25,43.25,44.0,94500,ZION
ZION,1998-08-25,43.75,44.75,43.5,43.5,167600,ZION
ZION,1998-08-26,42.688,44.0,41.5,43.5,274600,ZION
ZION,1998-08-27,40.188,42.5,39.813,41.75,474400,ZION
ZION,1998-08-28,39.625,40.875,39.5,40.5,369800,ZION
ZION,1998-08-31,38.375,40.625,38.25,39.75,521599,ZION
ZION,1998-09-01,40.938,41.0,37.875,38.13,622900,ZION
ZION,1998-09-02,44.5,46.0,41.0,41.5,518800,ZION
ZION,1998-09-03,43.875,44.625,42.875,43.5,326900,ZION
ZION,1998-09-04,44.375,44.875,43.875,43.88,292500,ZION
ZION,1998-09-07,44.375,44.875,43.875,43.88,0,ZION
ZION,1998-09-08,46.5,46.875,45.0,45.63,250000,ZION
ZION,1998-09-09,45.563,46.875,45.125,46.13,201700,ZION
ZION,1998-09-10,43.5,45.0,43.5,44.94,526500,ZION
ZION,1998-09-11,45.625,46.0,42.938,44.38,366000,ZION
ZION,1998-09-14,46.0,47.25,45.375,45.88,185800,ZION
ZION,1998-09-15,45.75,46.375,44.375,46.13,188000,ZION
ZION,1998-09-16,46.375,47.375,45.625,45.63,294000,ZION
ZION,1998-09-17,43.375,45.5,43.125,45.0,247400,ZION
ZION,1998-09-18,47.875,48.0,43.438,43.63,314900,ZION
ZION,1998-09-21,45.25,47.125,44.0,45.88,408000,ZION
ZION,1998-09-22,44.375,45.938,44.063,45.938,147200,ZION
ZION,1998-09-23,45.75,46.125,44.25,44.88,348600,ZION
ZION,1998-09-24,45.563,46.875,45.0,45.63,415300,ZION
ZION,1998-09-25,45.625,46.375,45.0,45.38,212700,ZION
ZION,1998-09-28,46.375,46.875,45.375,45.5625,188200,ZION
ZION,1998-09-29,46.063,47.0,46.0,46.25,121900,ZION
ZION,1998-09-30,40.813,46.5,40.75,45.75,455000,ZION
ZION,1998-10-01,42.563,43.875,41.625,41.75,225900,ZION
ZION,1998-10-02,43.5,44.25,41.5,42.5,415600,ZION
ZION,1998-10-05,41.813,43.75,41.125,43.0,115100,ZION
ZION,1998-10-06,42.5,43.0,41.75,42.0,228000,ZION
ZION,1998-10-07,41.5,42.125,41.25,42.125,164700,ZION
ZION,1998-10-08,39.125,41.5,37.875,41.25,327700,ZION
ZION,1998-10-09,39.125,41.0,38.8125,39.125,532000,ZION
ZION,1998-10-12,42.813,43.188,39.25,39.5,901600,ZION
ZION,1998-10-13,43.5,44.0,41.375,43.0,274900,ZION
ZION,1998-10-14,44.75,44.75,42.813,42.813,243700,ZION
ZION,1998-10-15,43.625,44.75,42.625,44.75,359900,ZION
ZION,1998-10-16,46.75,47.75,44.5,44.88,831000,ZION
ZION,1998-10-19,48.188,48.375,46.625,46.69,569800,ZION
ZION,1998-10-20,50.063,51.25,47.813,48.13,727000,ZION
ZION,1998-10-21,50.125,50.313,49.25,49.88,541500,ZION
ZION,1998-10-22,49.938,50.125,49.25,50.0,493000,ZION
ZION,1998-10-23,50.0,50.125,49.5,49.75,356300,ZION
ZION,1998-10-26,51.063,51.25,49.75,50.13,668900,ZION
ZION,1998-10-27,51.625,52.5,50.875,51.38,489000,ZION
ZION,1998-10-28,51.625,52.125,51.5,51.75,322200,ZION
ZION,1998-10-29,51.625,51.688,51.375,51.688,259299,ZION
